Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2021-2023,62,3,59,0.02,,73.9,44.6
2022-2024,136,20,116,0.08,52.9,73.9,63.7
2023-2025,133,29,104,0.17,43.1,74.8,65.4
