Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,16,9,6,-0.04,0.7,61.5,41.2
2016-2018,5,-1,7,0.04,1.7,69.0,38.1
2017-2019,-5,4,-9,0.26,-0.6,71.3,47.7
2018-2020,13,26,-12,0.25,-0.8,72.6,65.8
2019-2021,42,29,14,0.29,0.9,72.6,68.1
2020-2022,-19,14,-34,0.34,-21.3,80.1,51.9
2021-2023,-30,18,-48,1.09,-7.8,80.1,45.5
2022-2024,-55,13,-68,1.03,-6.8,74.9,40.9
2023-2025,49,35,14,1.14,1.3,79.1,93.6
