Date,rate_IONQ_5D,rate_VOO_20D
2021-01,-5.8575,0.4988
2021-02,20.2844,4.0305
2021-03,-14.4543,10.5859
2021-04,-11.6003,18.6094
2021-05,-16.4891,18.7725
2021-06,-8.1083,21.7781
2021-07,-13.8483,25.1569
2021-08,-11.8141,29.5127
2021-09,-6.9972,19.6438
2021-10,36.0973,31.2134
2021-11,110.6998,28.7121
2021-12,44.0743,36.1671
2022-01,1.0628,24.83
2022-02,39.1793,18.3478
2022-03,9.6657,24.1636
2022-04,-30.4544,7.1187
2022-05,-45.1637,9.9167
2022-06,-56.0865,-9.3638
2022-07,-42.4503,3.8483
2022-08,-34.3487,-3.5673
2022-09,-43.4189,-18.3825
2022-10,-37.7068,-7.5067
2022-11,-49.1733,0.2992
2022-12,-63.3761,-9.4754
2023-01,-50.2165,-0.5804
2023-02,-45.1517,-5.1518
2023-03,-27.1116,-0.0022
2023-04,-33.8739,1.9263
2023-05,30.7798,2.0814
2023-06,62.7425,11.9629
2023-07,128.7339,16.8958
2023-08,100.6796,13.3097
2023-09,71.0919,4.4227
2023-10,36.6831,0.2555
2023-11,52.7877,14.2954
2023-12,53.0515,21.5477
2024-01,26.1597,23.6866
2024-02,26.2645,32.4336
2024-03,21.0432,37.8777
2024-04,3.1465,29.153
2024-05,-1.8121,37.7875
2024-06,-14.9469,43.9374
2024-07,-1.1119,45.3723
2024-08,-10.7186,45.1743
2024-09,5.5928,48.7336
2024-10,81.6131,45.8579
2024-11,249.2836,51.6829
2024-12,246.9803,44.7624
2025-01,234.6576,45.853
2025-02,96.2956,42.402
2025-03,74.9005,32.6563
2025-04,78.7175,13.1373
