Date,rate_ADBE_5D,rate_VOO_20D
2015-01,-5.0185,-3.5197
2015-02,7.5261,1.8044
2015-03,-1.2851,-0.4337
2015-04,1.0497,0.3137
2015-05,4.7013,1.1277
2015-06,6.3235,-1.1499
2015-07,6.5064,0.7758
2015-08,1.3061,-5.4229
2015-09,5.7847,-7.1738
2015-10,13.2426,1.0672
2015-11,15.5066,1.2476
2015-12,17.1478,-0.572
2016-01,10.3571,-4.925
2016-02,4.6484,-4.8231
2016-03,14.6483,1.7982
2016-04,14.2197,1.9719
2016-05,19.5355,3.5419
2016-06,14.0737,3.6524
2016-07,15.7384,7.2416
2016-08,20.1853,7.0197
2016-09,26.467,6.6568
2016-10,24.1118,4.4599
2016-11,17.9176,8.0958
2016-12,17.2063,9.9999
2017-01,28.1775,11.4564
2017-02,32.6635,15.2492
2017-03,44.2843,14.8019
2017-04,46.7129,15.441
2017-05,53.9047,16.5118
2017-06,51.7109,16.6668
2017-07,55.331,18.4843
2017-08,62.6081,18.2445
2017-09,54.5617,20.0845
2017-10,79.5304,22.2583
2017-11,83.6685,25.3046
2017-12,75.2782,26.2059
2018-01,97.3976,32.449
2018-02,96.3186,26.7739
2018-03,100.36,23.0189
2018-04,102.8199,22.8575
2018-05,125.2493,25.2441
2018-06,117.4338,25.5573
2018-07,115.4749,29.3514
2018-08,129.1491,32.7978
2018-09,131.8323,32.8363
2018-10,108.4989,23.2702
2018-11,110.4604,25.0563
2018-12,87.7358,13.5319
2019-01,103.709,22.1943
2019-02,113.6147,25.7013
2019-03,114.5995,27.5721
2019-04,130.5062,32.1369
2019-05,113.6722,23.323
2019-06,130.0516,31.3236
2019-07,130.935,32.644
2019-08,117.7173,29.9311
2019-09,109.4116,31.9602
2019-10,108.8048,34.2575
2019-11,130.4743,38.4965
2019-12,143.3305,41.933
2020-01,156.5124,41.1927
2020-02,149.5973,29.1327
2020-03,132.1904,15.0941
2020-04,155.8688,29.6087
2020-05,177.1653,35.3017
2020-06,209.0392,37.2398
2020-07,212.2279,44.6817
2020-08,257.0366,54.038
2020-09,237.5387,47.5315
2020-10,204.6839,43.1102
2020-11,222.8333,57.9789
2020-12,234.2156,63.0361
2021-01,203.784,60.507
2021-02,201.547,64.0387
2021-03,209.1169,70.5941
2021-04,227.6119,78.6176
2021-05,222.3138,78.7807
2021-06,270.8192,81.7862
2021-07,289.9701,85.165
2021-08,312.4201,89.5209
2021-09,254.5278,79.652
2021-10,296.9204,91.2215
2021-11,305.189,88.7203
2021-12,240.1665,96.1753
2022-01,218.0997,84.8382
2022-02,176.3049,78.356
2022-03,167.2254,84.1718
2022-04,130.6063,67.1269
2022-05,128.5181,69.9248
2022-06,100.8296,50.6444
2022-07,119.3749,63.8565
2022-08,98.6011,56.4409
2022-09,45.9239,41.6257
2022-10,68.119,52.5015
2022-11,81.2879,60.3073
2022-12,76.0566,50.5328
2023-01,92.8507,59.4277
2023-02,67.8899,54.8564
2023-03,98.749,60.006
2023-04,93.7758,61.9344
2023-05,113.4504,62.0896
2023-06,148.4968,71.9711
2023-07,175.8456,76.904
2023-08,180.7865,73.3179
2023-09,154.4479,64.4308
2023-10,157.9007,60.2637
2023-11,185.2941,74.3036
2023-12,176.9311,81.5558
2024-01,185.0768,83.6948
2024-02,157.0184,92.4418
2024-03,130.2595,97.8859
2024-04,110.1914,89.1612
2024-05,101.046,97.7957
2024-06,149.935,103.9456
2024-07,146.8628,105.3805
2024-08,147.7303,105.1825
2024-09,122.1955,108.7418
2024-10,97.7751,105.866
2024-11,112.53,111.6911
2024-12,82.3887,104.7706
2025-01,78.7877,105.8612
2025-02,77.7285,102.4101
2025-03,68.1815,92.6645
2025-04,60.749,73.1455
