Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,8,28,-19,0.07,-3.1,70.6,34.9
2016-2018,11,15,-5,0.08,-0.9,71.1,35.3
2017-2019,35,22,13,0.25,4.6,71.1,49.4
2018-2020,-4,24,-28,0.22,-5.6,80.1,41.6
2019-2021,-2,47,-49,0.38,-5.2,80.1,43.2
2020-2022,-15,-1,-14,0.4,-1.5,81.1,50.4
2021-2023,22,2,20,0.48,2.5,81.1,48.8
2022-2024,11,21,-10,0.59,-6.1,81.1,57.2
2023-2025,-10,59,-69,-0.16,-7.3,74.5,60.4
