Date,rate_TDOC_5D,rate_VOO_20D
2015-06,0.0,0.0
2015-07,5.0508,1.9257
2015-08,-10.6411,-4.273
2015-09,-15.2907,-6.0239
2015-10,-23.371,2.2171
2015-11,-13.635,2.3975
2015-12,-25.719,0.5779
2016-01,-31.0706,-3.7751
2016-02,-37.6718,-3.6732
2016-03,-54.3554,2.9481
2016-04,-37.1037,3.1218
2016-05,-37.8578,4.6918
2016-06,-9.3398,4.8023
2016-07,-0.6283,8.3915
2016-08,1.1468,8.1696
2016-09,3.4237,7.8067
2016-10,-7.7531,5.6098
2016-11,4.3818,9.2457
2016-12,-6.306,11.1498
2017-01,13.593,12.6063
2017-02,24.6044,16.399
2017-03,39.9438,15.9518
2017-04,37.1947,16.5908
2017-05,66.4661,17.6617
2017-06,85.7921,17.8167
2017-07,72.8191,19.6342
2017-08,74.1075,19.3944
2017-09,69.4108,21.2344
2017-10,66.4754,23.4082
2017-11,84.3832,26.4545
2017-12,70.8281,27.3558
2018-01,80.8281,33.5989
2018-02,78.3625,27.9238
2018-03,77.1032,24.1688
2018-04,86.5149,24.0073
2018-05,118.0025,26.394
2018-06,144.9005,26.7072
2018-07,148.3671,30.5013
2018-08,216.5417,33.9477
2018-09,246.5042,33.9862
2018-10,173.5897,24.4201
2018-11,142.7607,26.2062
2018-12,90.0591,14.6818
2019-01,143.6053,23.3442
2019-02,141.1066,26.8512
2019-03,105.7359,28.722
2019-04,108.0964,33.2868
2019-05,110.3282,24.4729
2019-06,137.7511,32.4735
2019-07,141.4785,33.7939
2019-08,102.8165,31.081
2019-09,134.7685,33.1101
2019-10,162.6485,35.4074
2019-11,183.8385,39.6464
2019-12,180.5295,43.0829
2020-01,236.9511,42.3426
2020-02,308.9358,30.2826
2020-03,264.329,16.244
2020-04,282.0572,30.7586
2020-05,299.0436,36.4515
2020-06,332.2084,38.3897
2020-07,431.5101,45.8316
2020-08,376.324,55.1879
2020-09,378.2141,48.6814
2020-10,323.3838,44.2601
2020-11,323.4432,59.1288
2020-12,321.2119,64.1859
2021-01,449.5607,61.6569
2021-02,355.146,65.1886
2021-03,270.184,71.744
2021-04,247.4743,79.7675
2021-05,200.8849,79.9306
2021-06,229.2477,82.9361
2021-07,191.2075,86.3149
2021-08,180.8175,90.6708
2021-09,144.5118,80.8018
2021-10,186.1778,92.3714
2021-11,92.1382,89.8702
2021-12,73.2403,97.3251
2022-01,43.9536,85.9881
2022-02,41.8639,79.5059
2022-03,34.3539,85.3217
2022-04,-37.2991,68.2768
2022-05,-36.2118,71.0747
2022-06,-37.4023,51.7943
2022-07,-30.1309,65.0064
2022-08,-40.9129,57.5908
2022-09,-49.7636,42.7755
2022-10,-46.1982,53.6514
2022-11,-47.734,61.4572
2022-12,-56.2119,51.6827
2023-01,-44.9111,60.5776
2023-02,-49.976,56.0063
2023-03,-50.5484,61.1559
2023-04,-48.7999,63.0843
2023-05,-54.9048,63.2395
2023-06,-50.1318,73.121
2023-07,-40.7902,78.0539
2023-08,-54.605,74.4677
2023-09,-62.2929,65.5807
2023-10,-65.9144,61.4136
2023-11,-61.972,75.4535
2023-12,-54.1728,82.7057
2024-01,-58.2328,84.8447
2024-02,-67.2015,93.5917
2024-03,-66.5644,99.0358
2024-04,-71.2377,90.3111
2024-05,-74.0859,98.9456
2024-06,-76.803,105.0955
2024-07,-76.9276,106.5304
2024-08,-81.8708,106.3324
2024-09,-75.9,109.8917
2024-10,-76.4566,107.0159
2024-11,-68.9279,112.841
2024-12,-75.9481,105.9205
2025-01,-73.304,107.0111
2025-02,-71.2435,103.56
2025-03,-73.9471,93.8144
2025-04,-75.6997,74.2954
