Date,rate_ETH-USD_5D,rate_VOO_20D
2017-11,16.1397,3.1372
2017-12,80.8207,4.0385
2018-01,128.2106,10.2816
2018-02,45.6387,4.6065
2018-03,-32.7084,0.8515
2018-04,19.9334,0.6901
2018-05,1.1165,3.0767
2018-06,-22.9991,3.3899
2018-07,-21.8812,7.184
2018-08,-44.5253,10.6304
2018-09,-53.373,10.669
2018-10,-55.1419,1.1028
2018-11,-71.7429,2.8889
2018-12,-58.5677,-8.6354
2019-01,-63.9782,0.0269
2019-02,-50.0663,3.5339
2019-03,-45.2542,5.4047
2019-04,-35.0065,9.9695
2019-05,9.3688,1.1556
2019-06,26.228,9.1562
2019-07,-10.7505,10.4766
2019-08,-30.6493,7.7637
2019-09,-25.0477,9.7928
2019-10,-22.3872,12.0901
2019-11,-33.6705,16.3291
2019-12,-43.4181,19.7656
2020-01,-19.3535,19.0253
2020-02,2.1272,6.9653
2020-03,-38.4342,-7.0733
2020-04,-2.6596,7.4413
2020-05,3.4417,13.1343
2020-06,5.6354,15.0724
2020-07,60.688,22.5143
2020-08,99.5862,31.8706
2020-09,62.7597,25.3641
2020-10,71.3079,20.9428
2020-11,171.2238,35.8115
2020-12,220.2426,40.8687
2021-01,488.7517,38.3396
2021-02,503.1647,41.8713
2021-03,682.5424,48.4267
2021-04,1006.6193,56.4502
2021-05,846.4361,56.6133
2021-06,771.0682,59.6188
2021-07,826.2519,62.9976
2021-08,1162.4692,67.3535
2021-09,983.4319,57.4846
2021-10,1461.4306,69.0541
2021-11,1507.1915,66.5529
2021-12,1155.7752,74.0079
2022-01,801.4283,62.6708
2022-02,862.1192,56.1886
2022-03,963.5274,62.0044
2022-04,795.0609,44.9595
2022-05,657.9255,47.7574
2022-06,310.3799,28.477
2022-07,555.4182,41.6891
2022-08,481.2266,34.2735
2022-09,389.9304,19.4583
2022-10,472.6219,30.3341
2022-11,391.885,38.1399
2022-12,349.5527,28.3654
2023-01,486.9087,37.2604
2023-02,486.2971,32.689
2023-03,556.5382,37.8386
2023-04,573.2703,39.767
2023-05,558.406,39.9222
2023-06,570.7735,49.8037
2023-07,536.3205,54.7366
2023-08,457.5985,51.1505
2023-09,458.7213,42.2635
2023-10,501.4678,38.0963
2023-11,571.9106,52.1362
2023-12,644.3499,59.3885
2024-01,629.8276,61.5274
2024-02,955.9703,70.2744
2024-03,1012.0578,75.7185
2024-04,804.6282,66.9938
2024-05,1016.0882,75.6283
2024-06,890.4889,81.7782
2024-07,838.536,83.2131
2024-08,626.1407,83.0151
2024-09,640.6337,86.5744
2024-10,571.6713,83.6987
2024-11,769.6141,89.5237
2024-12,743.0711,82.6032
2025-01,640.9507,83.6938
2025-02,414.7175,80.2427
2025-03,350.8609,70.4971
2025-04,286.7555,50.9781
