Date,rate_ALB_5D,rate_VOO_20D
2015-01,-19.036,-3.5197
2015-02,-1.6089,1.8044
2015-03,-6.8282,-0.4337
2015-04,6.7058,0.3137
2015-05,6.0901,1.1277
2015-06,-1.7193,-1.1499
2015-07,-3.1436,0.7758
2015-08,-18.7977,-5.4229
2015-09,-18.3021,-7.1738
2015-10,0.8026,1.0672
2015-11,0.6582,1.2476
2015-12,5.8703,-0.572
2016-01,-0.8659,-4.925
2016-02,5.8728,-4.8231
2016-03,20.2266,1.7982
2016-04,23.0355,1.9719
2016-05,43.6531,3.5419
2016-06,43.2544,3.6524
2016-07,49.4275,7.2416
2016-08,39.7118,7.0197
2016-09,47.8049,6.6568
2016-10,42.4353,4.4599
2016-11,47.7858,8.0958
2016-12,43.6111,9.9999
2017-01,52.5137,11.4564
2017-02,64.6116,15.2492
2017-03,69.3616,14.8019
2017-04,72.0263,15.441
2017-05,76.8841,16.5118
2017-06,62.5036,16.6668
2017-07,76.0376,18.4843
2017-08,74.227,18.2445
2017-09,102.1367,20.0845
2017-10,105.8906,22.2583
2017-11,93.6154,25.3046
2017-12,82.4423,26.2059
2018-01,57.2623,32.449
2018-02,40.2241,26.7739
2018-03,28.9205,23.0189
2018-04,33.9508,22.8575
2018-05,28.3255,25.2441
2018-06,29.2815,25.5573
2018-07,28.4484,29.3514
2018-08,29.491,32.7978
2018-09,35.0117,32.8363
2018-10,33.5153,23.2702
2018-11,28.8155,25.0563
2018-12,3.4264,13.5319
2019-01,8.2694,22.1943
2019-02,22.2091,25.7013
2019-03,9.84,27.5721
2019-04,0.3165,32.1369
2019-05,-15.1131,23.323
2019-06,-5.0672,31.3236
2019-07,-1.5433,32.644
2019-08,-16.4029,29.9311
2019-09,-5.1273,31.9602
2019-10,-17.0063,34.2575
2019-11,-10.5519,38.4965
2019-12,0.6602,41.933
2020-01,10.6263,41.1927
2020-02,12.438,29.1327
2020-03,-10.7034,15.0941
2020-04,-3.6529,29.6087
2020-05,20.2082,35.3017
2020-06,21.521,37.2398
2020-07,29.3031,44.6817
2020-08,42.0623,54.038
2020-09,39.22,47.5315
2020-10,44.6944,43.1102
2020-11,110.0211,57.9789
2020-12,126.8275,63.0361
2021-01,148.0646,60.507
2021-02,137.8942,64.0387
2021-03,119.9008,70.5941
2021-04,151.2483,78.6176
2021-05,147.704,78.7807
2021-06,148.3807,81.7862
2021-07,201.4495,85.165
2021-08,243.4737,89.5209
2021-09,215.5718,79.652
2021-10,257.8185,91.2215
2021-11,277.398,88.7203
2021-12,228.8857,96.1753
2022-01,208.023,84.8382
2022-02,171.2271,78.356
2022-03,204.7124,84.1718
2022-04,162.9188,67.1269
2022-05,212.4249,69.9248
2022-06,158.0017,50.6444
2022-07,196.4751,63.8565
2022-08,222.8558,56.4409
2022-09,219.1868,41.6257
2022-10,229.0929,52.5015
2022-11,224.5229,60.3073
2022-12,151.9991,50.5328
2023-01,224.9336,59.4277
2023-02,191.5283,54.8564
2023-03,152.3087,60.006
2023-04,110.4479,61.9344
2023-05,118.4615,62.0896
2023-06,150.8381,71.9711
2023-07,137.2577,76.904
2023-08,120.9746,73.3179
2023-09,88.5286,64.4308
2023-10,45.8571,60.2637
2023-11,39.6828,74.3036
2023-12,66.4088,81.5558
2024-01,31.6603,83.6948
2024-02,57.8055,92.4418
2024-03,50.768,97.8859
2024-04,33.091,89.1612
2024-05,35.3231,97.7957
2024-06,5.7828,103.9456
2024-07,3.601,105.3805
2024-08,-0.2108,105.1825
2024-09,5.264,108.7418
2024-10,7.1828,105.866
2024-11,17.6676,111.6911
2024-12,-5.7135,104.7706
2025-01,-8.0655,105.8612
2025-02,-15.7053,102.4101
2025-03,-24.9681,92.6645
2025-04,-30.977,73.1455
