Date,rate_AMZN_5D,rate_VOO_20D
2015-01,13.6507,-3.5197
2015-02,15.8163,1.8044
2015-03,10.0286,-0.4337
2015-04,20.8421,0.3137
2015-05,19.3103,1.1277
2015-06,17.2535,-1.1499
2015-07,41.3129,0.7758
2015-08,30.7722,-5.4229
2015-09,27.2132,-7.1738
2015-10,51.9371,1.0672
2015-11,56.6945,1.2476
2015-12,54.5029,-0.572
2016-01,31.182,-4.925
2016-02,21.6263,-4.8231
2016-03,28.8966,1.7982
2016-04,41.2393,1.9719
2016-05,52.0148,3.5419
2016-06,47.8488,3.6524
2016-07,53.8665,7.2416
2016-08,53.285,7.0197
2016-09,64.0798,6.6568
2016-10,52.1142,4.4599
2016-11,42.5256,8.0958
2016-12,40.7105,9.9999
2017-01,52.6109,11.4564
2017-02,54.5452,15.2492
2017-03,59.9437,14.8019
2017-04,64.6824,15.441
2017-05,74.6484,16.5118
2017-06,67.6131,16.6668
2017-07,68.7422,18.4843
2017-08,65.4552,18.2445
2017-09,60.3152,20.0845
2017-10,82.293,22.2583
2017-11,91.631,25.3046
2017-12,88.0015,26.2059
2018-01,129.9914,32.449
2018-02,122.4407,26.7739
2018-03,109.8354,23.0189
2018-04,124.04,22.8575
2018-05,130.0089,25.2441
2018-06,136.7254,25.5573
2018-07,144.1975,29.3514
2018-08,172.7274,32.7978
2018-09,167.6352,32.8363
2018-10,110.6752,23.2702
2018-11,120.179,25.0563
2018-12,93.4078,13.5319
2019-01,119.0965,22.1943
2019-02,106.8954,25.7013
2019-03,122.3812,27.5721
2019-04,138.0292,32.1369
2019-05,117.1168,23.323
2019-06,129.1435,31.3236
2019-07,123.5884,32.644
2019-08,110.7213,29.9311
2019-09,104.0464,31.9602
2019-10,107.0192,34.2575
2019-11,108.0,38.4965
2019-12,111.6253,41.933
2020-01,128.0314,41.1927
2020-02,111.9407,29.1327
2020-03,104.6572,15.0941
2020-04,157.6821,29.6087
2020-05,152.0485,35.3017
2020-06,181.917,37.2398
2020-07,220.2361,44.6817
2020-08,245.665,54.038
2020-09,212.1889,47.5315
2020-10,198.111,43.1102
2020-11,208.056,57.9789
2020-12,213.7382,63.0361
2021-01,206.032,60.507
2021-02,192.5157,64.0387
2021-03,190.0849,70.5941
2021-04,222.2756,78.6176
2021-05,196.9421,78.7807
2021-06,214.254,81.7862
2021-07,201.3606,85.165
2021-08,211.7414,89.5209
2021-09,192.615,79.652
2021-10,198.0008,91.2215
2021-11,207.4541,88.7203
2021-12,190.0571,96.1753
2022-01,158.5038,84.8382
2022-02,163.4825,78.356
2022-03,177.7088,84.1718
2022-04,110.2336,67.1269
2022-05,102.3285,69.9248
2022-06,67.1063,50.6444
2022-07,111.3231,63.8565
2022-08,97.3803,56.4409
2022-09,76.5729,41.6257
2022-10,44.5125,52.5015
2022-11,35.7879,60.3073
2022-12,17.8429,50.5328
2023-01,44.4153,59.4277
2023-02,31.5285,54.8564
2023-03,43.7978,60.006
2023-04,46.3636,61.9344
2023-05,66.7774,62.0896
2023-06,79.5714,71.9711
2023-07,83.3148,76.904
2023-08,88.3869,73.3179
2023-09,72.7538,64.4308
2023-10,68.4321,60.2637
2023-11,84.1171,74.3036
2023-12,90.6339,81.5558
2024-01,93.86,83.6948
2024-02,119.7924,92.4418
2024-03,123.1917,97.8859
2024-04,114.5457,89.1612
2024-05,106.9321,97.7957
2024-06,125.573,103.9456
2024-07,117.1884,105.3805
2024-08,106.4241,105.1825
2024-09,114.5391,108.7418
2024-10,106.901,105.866
2024-11,129.6865,111.6911
2024-12,144.1334,104.7706
2025-01,151.8588,105.8612
2025-02,123.8583,102.4101
2025-03,99.6735,92.6645
2025-04,82.5495,73.1455
