Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2021-2023,-3,10,-13,0.03,,73.2,11.3
2022-2024,128,30,98,0.04,33.4,74.3,33.1
2023-2025,291,43,248,-0.01,79.8,74.3,93.6
