Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,0,0,0,1.0,,0.0,78.4
2016-2018,0,0,0,1.0,,0.0,66.3
2017-2019,0,0,0,1.0,,0.0,82.3
2018-2020,0,0,0,1.0,,0.0,122.4
2019-2021,0,0,0,1.0,,0.0,159.1
2020-2022,0,0,0,1.0,,0.0,133.3
2021-2023,0,0,0,1.0,,0.0,125.4
2022-2024,0,0,0,1.0,,0.0,105.4
2023-2025,0,0,0,1.0,,0.0,84.6
