Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,47,28,19,0.02,1.9,66.7,34.0
2016-2018,39,15,24,0.04,9.8,69.9,35.1
2017-2019,36,22,13,0.18,30.1,69.9,44.9
2018-2020,15,24,-9,0.19,-19.3,81.4,46.5
2019-2021,54,47,7,0.26,16.7,81.4,65.8
2020-2022,19,-1,19,0.26,43.5,81.4,61.8
2021-2023,52,1,50,0.2,115.4,81.0,70.5
2022-2024,23,21,3,0.19,8.1,81.0,79.5
2023-2025,11,61,-50,0.14,-142.7,71.5,85.9
