Date,rate_LLY_5D,rate_VOO_20D
2015-01,-1.1195,-3.5197
2015-02,-2.5963,1.8044
2015-03,1.0359,-0.4337
2015-04,-0.6508,0.3137
2015-05,9.5023,1.1277
2015-06,14.5,-1.1499
2015-07,13.2208,0.7758
2015-08,9.1128,-5.4229
2015-09,9.9676,-7.1738
2015-10,5.8951,1.0672
2015-11,6.5893,1.2476
2015-12,8.5178,-0.572
2016-01,1.4817,-4.925
2016-02,-6.6129,-4.8231
2016-03,-6.2807,1.7982
2016-04,-1.4618,1.9719
2016-05,-1.6231,3.5419
2016-06,3.321,3.6524
2016-07,8.5228,7.2416
2016-08,2.0371,7.0197
2016-09,5.0781,6.6568
2016-10,-3.5732,4.4599
2016-11,-11.8775,8.0958
2016-12,-3.0495,9.9999
2017-01,1.5787,11.4564
2017-02,9.7964,15.2492
2017-03,11.1397,14.8019
2017-04,8.1433,15.441
2017-05,5.2056,16.5118
2017-06,8.6064,16.6668
2017-07,8.7219,18.4843
2017-08,7.3877,18.2445
2017-09,12.7989,20.0845
2017-10,7.6666,22.2583
2017-11,11.6153,25.3046
2017-12,11.0305,26.2059
2018-01,6.7402,32.449
2018-02,1.6191,26.7739
2018-03,2.0441,23.0189
2018-04,6.8133,22.8575
2018-05,12.6888,25.2441
2018-06,12.7701,25.5573
2018-07,30.1527,29.3514
2018-08,39.1981,32.7978
2018-09,40.4848,32.8363
2018-10,40.8601,23.2702
2018-11,53.8524,25.0563
2018-12,48.9887,13.5319
2019-01,53.3014,22.1943
2019-02,61.2541,25.7013
2019-03,64.4553,27.5721
2019-04,47.255,32.1369
2019-05,45.832,23.323
2019-06,38.5412,31.3236
2019-07,35.5046,32.644
2019-08,40.6024,29.9311
2019-09,38.47,31.9602
2019-10,40.4704,34.2575
2019-11,44.8072,38.4965
2019-12,61.3503,41.933
2020-01,70.2841,41.1927
2020-02,53.5199,29.1327
2020-03,54.9506,15.0941
2020-04,71.8091,29.6087
2020-05,69.661,35.3017
2020-06,80.7628,37.2398
2020-07,64.3853,44.6817
2020-08,62.1484,54.038
2020-09,60.8404,47.5315
2020-10,40.9816,43.1102
2020-11,57.3519,57.9789
2020-12,81.4826,63.0361
2021-01,122.002,60.507
2021-02,118.0446,64.0387
2021-03,97.5324,70.5941
2021-04,92.0322,78.6176
2021-05,109.4508,78.7807
2021-06,139.057,81.7862
2021-07,151.6643,85.165
2021-08,165.7322,89.5209
2021-09,136.0568,79.652
2021-10,158.4497,91.2215
2021-11,150.6307,88.7203
2021-12,176.9952,96.1753
2022-01,144.2819,84.8382
2022-02,148.1288,78.356
2022-03,182.3187,84.1718
2022-04,185.8174,67.1269
2022-05,198.8464,69.9248
2022-06,192.5415,50.6444
2022-07,195.3317,63.8565
2022-08,168.8351,56.4409
2022-09,186.5793,41.6257
2022-10,218.6833,52.5015
2022-11,225.1839,60.3073
2022-12,218.2882,50.5328
2023-01,197.3887,59.4277
2023-02,168.0051,54.8564
2023-03,193.8478,60.006
2023-04,236.4601,61.9344
2023-05,263.3955,62.0896
2023-06,293.9232,71.9711
2023-07,279.0904,76.904
2023-08,359.6923,73.3179
2023-09,342.1709,64.4308
2023-10,358.1597,60.2637
2023-11,362.3205,74.3036
2023-12,352.7036,81.5558
2024-01,397.8032,83.6948
2024-02,477.8711,92.4418
2024-03,492.0415,97.8859
2024-04,473.091,89.1612
2024-05,498.5151,97.7957
2024-06,555.6932,103.9456
2024-07,478.253,105.3805
2024-08,527.4811,105.1825
2024-09,474.9576,108.7418
2024-10,424.2295,105.866
2024-11,399.9853,111.6911
2024-12,382.1089,104.7706
2025-01,403.1964,105.8612
2025-02,468.3771,102.4101
2025-03,420.9633,92.6645
2025-04,392.6636,73.1455
