Date,rate_RXRX_5D,rate_VOO_20D
2021-04,0.0,-0.0279
2021-05,-19.0811,0.1351
2021-06,15.9041,3.1407
2021-07,-6.0405,6.5195
2021-08,-16.2527,10.8754
2021-09,-21.2958,1.0064
2021-10,-29.83,12.576
2021-11,-27.2452,10.0748
2021-12,-31.5758,17.5297
2022-01,-47.8936,6.1926
2022-02,-48.0853,-0.2896
2022-03,-63.5596,5.5262
2022-04,-64.9674,-11.5187
2022-05,-63.3611,-8.7207
2022-06,-45.9189,-28.0012
2022-07,-41.2253,-14.789
2022-08,-25.1025,-22.2047
2022-09,-23.4155,-37.0199
2022-10,-28.2266,-26.144
2022-11,-38.7073,-18.3382
2022-12,-48.1905,-28.1128
2023-01,-41.8511,-19.2178
2023-02,-41.525,-23.7892
2023-03,-50.9267,-18.6395
2023-04,-63.4724,-16.7111
2023-05,-29.0765,-16.556
2023-06,-38.7186,-6.6745
2023-07,15.8488,-1.7416
2023-08,-27.6601,-5.3277
2023-09,-35.6335,-14.2147
2023-10,-53.8355,-18.3818
2023-11,-38.8666,-4.342
2023-12,-10.6926,2.9103
2024-01,-14.9576,5.0492
2024-02,21.6636,13.7962
2024-03,-10.2193,19.2403
2024-04,-28.8168,10.5156
2024-05,-24.0291,19.1502
2024-06,-30.8994,25.3001
2024-07,-23.8664,26.735
2024-08,-36.0411,26.5369
2024-09,-41.1551,30.0963
2024-10,-45.1428,27.2205
2024-11,-37.6492,33.0455
2024-12,-48.0405,26.1251
2025-01,-47.4234,27.2156
2025-02,-43.9233,23.7646
2025-03,-54.528,14.0189
2025-04,-56.9189,-5.5
