Date,rate_PANW_5D,rate_VOO_20D
2015-01,-0.8257,-3.5197
2015-02,10.1767,1.8044
2015-03,10.1923,-0.4337
2015-04,9.0113,0.3137
2015-05,22.3512,1.1277
2015-06,22.8302,-1.1499
2015-07,26.801,0.7758
2015-08,10.7371,-5.4229
2015-09,14.4672,-7.1738
2015-10,6.502,1.0672
2015-11,22.4526,1.2476
2015-12,13.3658,-0.572
2016-01,-3.5154,-4.925
2016-02,-6.0799,-4.8231
2016-03,6.0171,1.7982
2016-04,-2.2322,1.9719
2016-05,-15.4024,3.5419
2016-06,-20.0859,3.6524
2016-07,-13.8076,7.2416
2016-08,-11.5728,7.0197
2016-09,6.1065,6.6568
2016-10,2.1757,4.4599
2016-11,-10.9652,8.0958
2016-12,-16.5777,9.9999
2017-01,-0.9085,11.4564
2017-02,2.0586,15.2492
2017-03,-23.4042,14.8019
2017-04,-25.4961,15.441
2017-05,-17.5936,16.5118
2017-06,-6.9334,16.6668
2017-07,-8.3009,18.4843
2017-08,-7.4459,18.2445
2017-09,0.4325,20.0845
2017-10,2.5368,22.2583
2017-11,1.4034,25.3046
2017-12,0.826,26.2059
2018-01,9.7109,32.449
2018-02,16.4996,26.7739
2018-03,21.4253,23.0189
2018-04,27.8686,22.8575
2018-05,37.4065,25.2441
2018-06,34.7299,25.5573
2018-07,29.1741,29.3514
2018-08,49.6642,32.7978
2018-09,44.8079,32.8363
2018-10,17.2949,23.2702
2018-11,10.3399,25.0563
2018-12,19.8427,13.5319
2019-01,36.2831,22.1943
2019-02,55.3619,25.7013
2019-03,52.1708,27.5721
2019-04,54.8378,32.1369
2019-05,23.7309,23.323
2019-06,25.4726,31.3236
2019-07,38.9659,32.644
2019-08,24.2959,29.9311
2019-09,23.9282,31.9602
2019-10,37.7279,34.2575
2019-11,36.9457,38.4965
2019-12,38.7289,41.933
2020-01,40.1745,41.1927
2020-02,9.6681,29.1327
2020-03,-2.5632,15.0941
2020-04,16.8148,29.6087
2020-05,39.5585,35.3017
2020-06,35.6958,37.2398
2020-07,50.4267,44.6817
2020-08,50.5684,54.038
2020-09,42.5346,47.5315
2020-10,28.2411,43.1102
2020-11,69.6966,57.9789
2020-12,104.013,63.0361
2021-01,99.9802,60.507
2021-02,102.6909,64.0387
2021-03,81.1081,70.5941
2021-04,97.5032,78.6176
2021-05,101.6895,78.7807
2021-06,104.7094,81.7862
2021-07,118.6709,85.165
2021-08,150.7972,89.5209
2021-09,158.5975,79.652
2021-10,172.7392,91.2215
2021-11,190.7744,88.7203
2021-12,193.7444,96.1753
2022-01,170.9095,84.8382
2022-02,208.8909,78.356
2022-03,221.1191,84.1718
2022-04,186.4515,67.1269
2022-05,180.8713,69.9248
2022-06,166.1048,50.6444
2022-07,167.0231,63.8565
2022-08,195.8538,56.4409
2022-09,159.2692,41.6257
2022-10,163.5667,52.5015
2022-11,147.3687,60.3073
2022-12,101.8837,50.5328
2023-01,128.3517,59.4277
2023-02,169.5818,54.8564
2023-03,184.0568,60.006
2023-04,157.9056,61.9344
2023-05,199.64,62.0896
2023-06,256.4253,71.9711
2023-07,246.2937,76.904
2023-08,234.847,73.3179
2023-09,220.5176,64.4308
2023-10,236.402,60.2637
2023-11,292.4506,74.3036
2023-12,289.482,81.5558
2024-01,343.9827,83.6948
2024-02,304.417,92.4418
2024-03,267.5949,97.8859
2024-04,273.9264,89.1612
2024-05,276.6643,97.7957
2024-06,330.1389,103.9456
2024-07,309.2859,105.3805
2024-08,329.5985,105.1825
2024-09,302.2038,108.7418
2024-10,321.4424,105.866
2024-11,330.747,111.6911
2024-12,310.6497,104.7706
2025-01,309.7087,105.8612
2025-02,316.0124,102.4101
2025-03,274.8629,92.6645
2025-04,256.8823,73.1455
