Date,rate_DUK_5D,rate_VOO_20D
2015-01,-2.1421,-3.5197
2015-02,-7.2205,1.8044
2015-03,-5.5338,-0.4337
2015-04,-3.564,0.3137
2015-05,-4.3092,1.1277
2015-06,-10.267,-1.1499
2015-07,-4.7722,0.7758
2015-08,-8.4686,-5.4229
2015-09,-5.3362,-7.1738
2015-10,-5.3539,1.0672
2015-11,-8.4636,1.2476
2015-12,-2.9609,-0.572
2016-01,2.5569,-4.925
2016-02,1.8873,-4.8231
2016-03,10.2105,1.7982
2016-04,6.9724,1.9719
2016-05,6.8368,3.5419
2016-06,16.6583,3.6524
2016-07,15.5398,7.2416
2016-08,8.228,7.0197
2016-09,8.1934,6.6568
2016-10,7.9064,4.4599
2016-11,0.3687,8.0958
2016-12,5.5562,9.9999
2017-01,6.5642,11.4564
2017-02,12.9949,15.2492
2017-03,11.8047,14.8019
2017-04,12.0418,15.441
2017-05,17.0241,16.5118
2017-06,13.6167,16.6668
2017-07,15.2162,18.4843
2017-08,18.8933,18.2445
2017-09,13.7547,20.0845
2017-10,19.2048,22.2583
2017-11,21.0297,25.3046
2017-12,13.7673,26.2059
2018-01,6.145,32.449
2018-02,2.9776,26.7739
2018-03,5.7906,23.0189
2018-04,9.3149,22.8575
2018-05,6.2525,25.2441
2018-06,8.7676,25.5573
2018-07,12.0566,29.3514
2018-08,12.5045,32.7978
2018-09,10.4861,32.8363
2018-10,13.8092,23.2702
2018-11,23.0146,25.0563
2018-12,19.3743,13.5319
2019-01,21.0322,22.1943
2019-02,24.481,25.7013
2019-03,24.4661,27.5721
2019-04,25.5282,32.1369
2019-05,18.7718,23.323
2019-06,22.0126,31.3236
2019-07,19.5205,32.644
2019-08,28.7634,29.9311
2019-09,32.5543,31.9602
2019-10,29.8288,34.2575
2019-11,22.4351,38.4965
2019-12,26.2826,41.933
2020-01,34.725,41.1927
2020-02,27.2655,29.1327
2020-03,20.5181,15.0941
2020-04,25.9442,29.6087
2020-05,28.4412,35.3017
2020-06,19.401,37.2398
2020-07,26.3092,44.6817
2020-08,20.7815,54.038
2020-09,32.7944,47.5315
2020-10,37.6047,43.1102
2020-11,39.2029,57.9789
2020-12,37.03,63.0361
2021-01,40.1874,60.507
2021-02,28.4881,64.0387
2021-03,44.4016,70.5941
2021-04,50.0183,78.6176
2021-05,50.0675,78.7807
2021-06,47.1569,81.7862
2021-07,56.0203,85.165
2021-08,56.0798,89.5209
2021-09,44.9821,79.652
2021-10,50.8893,91.2215
2021-11,44.3022,88.7203
2021-12,55.4148,96.1753
2022-01,55.0165,84.8382
2022-02,49.0386,78.356
2022-03,65.1132,84.1718
2022-04,62.1569,67.1269
2022-05,64.9872,69.9248
2022-06,56.5276,50.6444
2022-07,59.8368,63.8565
2022-08,56.242,56.4409
2022-09,44.2716,41.6257
2022-10,47.5386,52.5015
2022-11,59.3142,60.3073
2022-12,63.5518,50.5328
2023-01,62.0279,59.4277
2023-02,50.0945,54.8564
2023-03,53.0713,60.006
2023-04,56.3639,61.9344
2023-05,42.1409,62.0896
2023-06,42.416,71.9711
2023-07,48.1306,76.904
2023-08,41.6654,73.3179
2023-09,40.3771,64.4308
2023-10,40.9896,60.2637
2023-11,47.6486,74.3036
2023-12,54.7946,81.5558
2024-01,52.3844,83.6948
2024-02,47.2544,92.4418
2024-03,54.6209,97.8859
2024-04,50.6067,89.1612
2024-05,59.8414,97.7957
2024-06,54.2121,103.9456
2024-07,67.5528,105.3805
2024-08,75.7186,105.1825
2024-09,77.1252,108.7418
2024-10,74.7243,105.866
2024-11,78.5045,111.6911
2024-12,63.7233,104.7706
2025-01,69.6333,105.8612
2025-02,78.9949,102.4101
2025-03,80.6814,92.6645
2025-04,70.8359,73.1455
