Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,3,3,0,1.05,,0.0,551.9
2016-2018,-5,-5,0,1.0,,60.1,517.0
2017-2019,23,23,0,1.0,,60.1,665.5
2018-2020,27,27,0,1.0,0.0,60.1,773.3
2019-2021,49,49,0,1.0,0.0,59.4,982.2
2020-2022,7,7,0,1.0,0.0,66.4,790.5
2021-2023,20,20,0,1.0,0.0,70.3,982.8
2022-2024,27,27,0,1.0,0.0,70.4,1212.3
2023-2025,51,51,0,1.0,0.0,70.4,1331.0
