Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2021-2023,79,17,62,1.0,12.6,22.0,118
2022-2024,120,29,91,1.0,18.8,22.0,167
2023-2025,114,37,77,1.0,148.8,9.5,161
