Date,rate_NTRA_5D,rate_VOO_20D
2015-07,0.0,1.1348
2015-08,-1.5497,-5.0638
2015-09,-32.1301,-6.8148
2015-10,-39.4541,1.4262
2015-11,-28.2968,1.6066
2015-12,-8.2447,-0.2129
2016-01,-23.9203,-4.566
2016-02,-34.0132,-4.464
2016-03,-3.2722,2.1572
2016-04,-0.0239,2.331
2016-05,38.5334,3.9009
2016-06,19.507,4.0114
2016-07,27.7373,7.6006
2016-08,-4.3755,7.3787
2016-09,6.9638,7.0159
2016-10,-18.7855,4.8189
2016-11,15.4825,8.4548
2016-12,11.9848,10.3589
2017-01,-13.5844,11.8154
2017-02,-7.3708,15.6082
2017-03,-13.8877,15.1609
2017-04,-11.4229,15.8
2017-05,0.6395,16.8708
2017-06,6.0824,17.0258
2017-07,-20.3561,18.8433
2017-08,20.4935,18.6036
2017-09,24.958,20.4436
2017-10,5.6012,22.6173
2017-11,-6.3572,25.6637
2017-12,-13.289,26.5649
2018-01,0.6873,32.808
2018-02,-9.5674,27.1329
2018-03,-8.319,23.378
2018-04,10.0233,23.2165
2018-05,14.9322,25.6031
2018-06,84.6121,25.9164
2018-07,122.4868,29.7104
2018-08,163.5014,33.1568
2018-09,125.0317,33.1954
2018-10,104.0522,23.6292
2018-11,58.9639,25.4153
2018-12,26.8985,13.891
2019-01,23.1103,22.5533
2019-02,42.7424,26.0603
2019-03,84.4792,27.9311
2019-04,69.3098,32.496
2019-05,100.8464,23.682
2019-06,139.1997,31.6827
2019-07,136.4486,33.003
2019-08,179.2361,30.2901
2019-09,174.5836,32.3192
2019-10,218.3366,34.6165
2019-11,197.6784,38.8555
2019-12,171.4517,42.292
2020-01,178.8588,41.5517
2020-02,198.4524,29.4917
2020-03,141.1136,15.4531
2020-04,196.8422,29.9677
2020-05,247.6258,35.6607
2020-06,290.5559,37.5989
2020-07,271.632,45.0407
2020-08,387.183,54.397
2020-09,445.4065,47.8905
2020-10,401.4121,43.4692
2020-11,549.7891,58.338
2020-12,623.2834,63.3951
2021-01,665.0034,60.8661
2021-02,722.07,64.3977
2021-03,610.1957,70.9531
2021-04,660.1344,78.9767
2021-05,542.5839,79.1397
2021-06,665.9926,82.1453
2021-07,663.5586,85.5241
2021-08,680.4069,89.8799
2021-09,625.9153,80.011
2021-10,637.9118,91.5806
2021-11,482.5186,89.0793
2021-12,488.5437,96.5343
2022-01,340.6467,85.1972
2022-02,306.1324,78.715
2022-03,149.0023,84.5308
2022-04,113.3643,67.4859
2022-05,95.4159,70.2839
2022-06,65.7106,51.0034
2022-07,118.6748,64.2156
2022-08,127.7346,56.7999
2022-09,100.1238,41.9847
2022-10,99.9139,52.8605
2022-11,74.087,60.6664
2022-12,69.2615,50.8918
2023-01,80.0622,59.7868
2023-02,102.6231,55.2154
2023-03,130.3271,60.3651
2023-04,109.1657,62.2935
2023-05,93.1785,62.4486
2023-06,98.5082,72.3301
2023-07,83.4938,77.263
2023-08,137.0594,73.6769
2023-09,77.5325,64.7899
2023-10,57.6562,60.6227
2023-11,122.6614,74.6626
2023-12,147.9014,81.9149
2024-01,159.4057,84.0538
2024-02,238.1665,92.8008
2024-03,255.187,98.2449
2024-04,251.5635,89.5202
2024-05,297.2557,98.1548
2024-06,301.0309,104.3047
2024-07,276.4998,105.7396
2024-08,311.863,105.5415
2024-09,339.0753,109.1009
2024-10,321.9704,106.2251
2024-11,469.2234,112.0501
2024-12,431.2218,105.1297
2025-01,437.3624,106.2202
2025-02,369.3039,102.7692
2025-03,323.73,93.0235
2025-04,310.0146,73.5046
