Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2020-2022,-39,-5,-34,-0.04,,70.8,1.6
2021-2023,0,18,-18,-0.06,-2.1,71.5,2.4
2022-2024,189,25,164,-0.05,12.3,74.7,11.2
2023-2025,328,53,276,-0.06,19.5,74.7,19.7
