Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,-42,18,-59,-0.07,-8.3,50.4,21.7
2016-2018,-47,6,-53,-0.12,-10.3,50.4,17.7
2017-2019,-19,19,-39,-0.08,-39.3,50.4,11.2
2018-2020,-5,34,-39,-0.07,-55.2,48.3,11.1
2019-2021,-19,73,-92,-0.06,-181.9,41.2,9.2
2020-2022,9,11,-2,-0.08,-6.0,57.9,10.4
2021-2023,11,18,-7,-0.41,-16.9,57.9,11.9
2022-2024,96,23,74,-0.32,7.3,57.9,25.2
2023-2025,56,41,15,-0.07,1.3,75.6,17.5
