Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2021-2023,-51,1,-52,0.68,-0.1,83.1,0.3
2022-2024,286,19,267,1.1,0.3,83.1,3.0
2023-2025,779,62,717,2.72,1.5,62.2,9.5
