Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2020-2022,-46,1,-47,-0.05,,70.5,46.5
2021-2023,-33,18,-51,-0.03,-8.9,70.5,64.5
2022-2024,-13,25,-39,-0.02,-19.7,73.9,50.1
2023-2025,54,53,1,-0.04,0.3,73.9,64.3
