Date,rate_BTC-USD_5D,rate_VOO_20D
2015-01,-3.0474,-2.7065
2015-02,8.7054,3.1558
2015-03,1.9199,0.6227
2015-04,-3.1098,1.5462
2015-05,-2.0174,2.3537
2015-06,9.4782,0.0434
2015-07,17.043,2.0843
2015-08,-4.3824,-4.3182
2015-09,-1.4624,-5.9353
2015-10,36.1912,2.458
2015-11,52.9216,2.5845
2015-12,70.0399,0.5576
2016-01,61.6814,-4.2897
2016-02,78.1894,-4.1945
2016-03,65.0514,2.4537
2016-04,75.8215,2.6275
2016-05,99.7753,4.2216
2016-06,145.988,4.3212
2016-07,133.0496,7.9005
2016-08,99.7424,7.6567
2016-09,106.7363,7.3421
2016-10,132.1798,5.1359
2016-11,140.8844,8.8243
2016-12,202.3551,10.7181
2017-01,197.137,12.2292
2017-02,251.8422,16.0774
2017-03,211.262,15.6062
2017-04,273.1167,16.2583
2017-05,529.127,17.3218
2017-06,563.4883,17.4698
2017-07,647.1063,19.3157
2017-08,1087.2793,19.0668
2017-09,923.3988,20.9084
2017-10,1443.7085,23.0856
2017-11,2271.6932,26.1569
2017-12,3202.393,27.0535
2018-01,2149.4001,33.3237
2018-02,2090.4044,27.557
2018-03,1465.4241,23.7897
2018-04,1918.2495,23.6939
2018-05,1502.5106,26.0843
2018-06,1202.116,26.4022
2018-07,1494.3239,30.2615
2018-08,1312.5447,33.7431
2018-09,1207.0317,33.7743
2018-10,1118.8251,24.0059
2018-11,664.2023,25.7976
2018-12,595.1564,14.2266
2019-01,531.4,22.9173
2019-02,591.8164,26.422
2019-03,623.0634,28.3091
2019-04,826.334,32.8802
2019-05,1354.2973,23.9212
2019-06,1963.8329,32.0773
2019-07,1551.4875,33.399
2019-08,1446.4468,30.6596
2019-09,1216.867,32.6926
2019-10,1337.5132,35.0272
2019-11,1094.6756,39.2767
2019-12,991.1182,42.752
2020-01,1295.193,41.9993
2020-02,1175.614,29.9266
2020-03,1053.038,13.3632
2020-04,1424.6485,27.6469
2020-05,1537.8887,33.2701
2020-06,1463.6979,35.2029
2020-07,1808.5612,42.554
2020-08,1841.3912,51.7791
2020-09,1669.112,45.3812
2020-10,2089.0844,41.0587
2020-11,3022.6273,55.7791
2020-12,4445.4008,60.777
2021-01,5204.0736,58.3477
2021-02,6962.239,61.884
2021-03,8757.4911,68.3693
2021-04,8470.7356,76.2864
2021-05,5139.0685,76.4702
2021-06,4979.2426,79.457
2021-07,5942.2484,82.8075
2021-08,6562.8997,87.1348
2021-09,6013.5468,77.4346
2021-10,8473.4149,88.8578
2021-11,7663.7678,86.4265
2021-12,6138.6837,93.8486
2022-01,5030.2589,82.6961
2022-02,5589.6266,76.3379
2022-03,5541.9207,82.1199
2022-04,4825.8635,65.3417
2022-05,4339.3795,65.0316
2022-06,3127.6781,50.7878
2022-07,3740.3622,63.998
2022-08,3232.2933,56.6028
2022-09,2893.0616,41.7137
2022-10,3023.886,52.6532
2022-11,2690.6276,60.4428
2022-12,2572.109,50.693
2023-01,3586.3985,59.5882
2023-02,3427.6179,55.0141
2023-03,4020.3566,60.1692
2023-04,3887.9488,62.0949
2023-05,3565.0055,62.2611
2023-06,3963.6854,72.1219
2023-07,3836.0899,77.0453
2023-08,3314.4705,73.4561
2023-09,3410.8191,64.5903
2023-10,4168.4489,60.4422
2023-11,4324.6902,74.473
2023-12,4604.8243,81.707
2024-01,4582.5979,83.8702
2024-02,6119.6569,92.6066
2024-03,6920.191,98.04
2024-04,6480.9823,89.2981
2024-05,6876.3521,97.9519
2024-06,6268.9144,104.1006
2024-07,6703.9081,105.5479
2024-08,6190.8539,109.5362
2024-09,6473.0851,113.1478
2024-10,6671.4028,110.2014
2024-11,8169.4177,121.5602
2024-12,7750.0471,115.4204
2025-01,7628.6624,120.2402
2025-02,6308.6191,116.5003
2025-03,6267.4126,103.5294
2025-04,6324.9588,83.6902
