Date,rate_PPG_5D,rate_VOO_20D
2015-01,-4.0407,-3.5197
2015-02,1.6253,1.8044
2015-03,-3.2922,-0.4337
2015-04,-4.5019,0.3137
2015-05,-0.6616,1.1277
2015-06,-0.409,-1.1499
2015-07,-6.08,0.7758
2015-08,-16.4486,-5.4229
2015-09,-21.7284,-7.1738
2015-10,-5.3193,1.0672
2015-11,-3.2125,1.2476
2015-12,-9.4149,-0.572
2016-01,-11.7017,-4.925
2016-02,-9.3239,-4.8231
2016-03,5.0994,1.7982
2016-04,3.6622,1.9719
2016-05,1.39,3.5419
2016-06,-2.0361,3.6524
2016-07,-1.5362,7.2416
2016-08,-0.0255,7.0197
2016-09,-2.426,6.6568
2016-10,-11.9862,4.4599
2016-11,-8.443,8.0958
2016-12,-9.2162,9.9999
2017-01,-3.9034,11.4564
2017-02,-1.0845,15.2492
2017-03,1.46,14.8019
2017-04,5.8791,15.441
2017-05,2.7091,16.5118
2017-06,5.9853,16.6668
2017-07,1.1943,18.4843
2017-08,0.751,18.2445
2017-09,4.8908,20.0845
2017-10,11.9673,22.2583
2017-11,12.6038,25.3046
2017-12,12.2424,26.2059
2018-01,13.7095,32.449
2018-02,4.8457,26.7739
2018-03,3.866,23.0189
2018-04,-1.5152,22.8575
2018-05,-5.7405,25.2441
2018-06,-3.028,25.5573
2018-07,3.5027,29.3514
2018-08,3.7758,32.7978
2018-09,2.3337,32.8363
2018-10,-1.3381,23.2702
2018-11,3.0765,25.0563
2018-12,-3.7046,13.5319
2019-01,-0.6046,22.1943
2019-02,6.0033,25.7013
2019-03,6.7147,27.5721
2019-04,10.9252,32.1369
2019-05,-0.7702,23.323
2019-06,10.3963,31.3236
2019-07,10.8119,32.644
2019-08,4.9459,29.9311
2019-09,12.1627,31.9602
2019-10,18.1923,34.2575
2019-11,21.8584,38.4965
2019-12,25.8282,41.933
2020-01,12.7614,41.1927
2020-02,-1.0692,29.1327
2020-03,-21.5012,15.0941
2020-04,-14.2833,29.6087
2020-05,-3.2218,35.3017
2020-06,0.9708,37.2398
2020-07,2.4089,44.6817
2020-08,14.948,54.038
2020-09,16.2885,47.5315
2020-10,23.2279,43.1102
2020-11,39.4866,57.9789
2020-12,36.5011,63.0361
2021-01,26.9984,60.507
2021-02,27.2383,64.0387
2021-03,41.3178,70.5941
2021-04,60.3925,78.6176
2021-05,67.9966,78.7807
2021-06,57.9632,81.7862
2021-07,51.403,85.165
2021-08,47.6379,89.5209
2021-09,31.921,79.652
2021-10,47.6587,91.2215
2021-11,41.7509,88.7203
2021-12,57.8893,96.1753
2022-01,42.4311,84.8382
2022-02,21.7497,78.356
2022-03,19.3826,84.1718
2022-04,16.3348,67.1269
2022-05,13.5171,69.9248
2022-06,-2.139,50.6444
2022-07,10.6371,63.8565
2022-08,9.0703,56.4409
2022-09,-4.8651,41.6257
2022-10,-1.976,52.5015
2022-11,16.7304,60.3073
2022-12,8.3912,50.5328
2023-01,12.2258,59.4277
2023-02,14.1016,54.8564
2023-03,15.2573,60.006
2023-04,20.8065,61.9344
2023-05,13.3726,62.0896
2023-06,27.842,71.9711
2023-07,23.7813,76.904
2023-08,22.2968,73.3179
2023-09,11.7802,64.4308
2023-10,5.7575,60.2637
2023-11,21.219,74.3036
2023-12,27.4446,81.5558
2024-01,20.0148,83.6948
2024-02,20.8344,92.4418
2024-03,23.4676,97.8859
2024-04,12.4665,89.1612
2024-05,12.6024,97.7957
2024-06,7.7517,103.9456
2024-07,8.6053,105.3805
2024-08,11.5399,105.1825
2024-09,13.7947,108.7418
2024-10,7.5408,105.866
2024-11,6.6058,111.6911
2024-12,2.3241,104.7706
2025-01,-1.1825,105.8612
2025-02,-5.8259,102.4101
2025-03,-12.3264,92.6645
2025-04,-22.1042,73.1455
