Date,rate_PYPL_5D,rate_VOO_20D
2015-07,3.9881,1.4471
2015-08,-7.7004,-4.7516
2015-09,-16.0332,-6.5025
2015-10,-0.0105,1.7385
2015-11,-2.5955,1.9189
2015-12,-0.1296,0.0993
2016-01,0.3685,-4.2538
2016-02,5.5233,-4.1518
2016-03,5.9626,2.4695
2016-04,6.6152,2.6432
2016-05,2.0754,4.2132
2016-06,-1.2744,4.3237
2016-07,0.7792,7.9129
2016-08,0.308,7.691
2016-09,10.2945,7.3281
2016-10,11.5618,5.1312
2016-11,4.5743,8.7671
2016-12,4.7628,10.6712
2017-01,5.222,12.1277
2017-02,10.6369,15.9204
2017-03,12.7568,15.4732
2017-04,24.3538,16.1122
2017-05,34.9331,17.1831
2017-06,37.1742,17.338
2017-07,47.8381,19.1555
2017-08,53.6474,18.9158
2017-09,57.5007,20.7558
2017-10,76.0743,22.9296
2017-11,81.1063,25.9759
2017-12,73.6097,26.8772
2018-01,98.1899,33.1203
2018-02,74.4106,27.4452
2018-03,64.563,23.6902
2018-04,59.9449,23.5287
2018-05,73.9902,25.9154
2018-06,74.4523,26.2286
2018-07,70.0575,30.0227
2018-08,88.926,33.4691
2018-09,77.6029,33.5076
2018-10,68.4873,23.9415
2018-11,70.0293,25.7276
2018-12,64.962,14.2032
2019-01,72.5033,22.8656
2019-02,88.6609,26.3726
2019-03,97.7311,28.2434
2019-04,112.4191,32.8082
2019-05,104.4762,23.9943
2019-06,110.935,31.9949
2019-07,101.247,33.3153
2019-08,96.8651,30.6024
2019-09,85.2713,32.6315
2019-10,84.5886,34.9288
2019-11,89.8676,39.1677
2019-12,88.533,42.6042
2020-01,96.779,41.864
2020-02,84.8987,29.8039
2020-03,74.93,15.7653
2020-04,123.32,30.28
2020-05,178.8531,35.9729
2020-06,209.9241,37.9111
2020-07,244.8544,45.353
2020-08,254.9785,54.7093
2020-09,238.7286,48.2028
2020-10,216.519,43.7815
2020-11,260.2556,58.6502
2020-12,289.7618,63.7073
2021-01,285.5973,61.1783
2021-02,322.7713,64.71
2021-03,290.8957,71.2654
2021-04,317.6873,79.2889
2021-05,309.721,79.452
2021-06,354.5184,82.4575
2021-07,325.1386,85.8363
2021-08,340.8199,90.1922
2021-09,293.3628,80.3232
2021-10,248.1912,91.8928
2021-11,174.56,89.3916
2021-12,177.7702,96.8465
2022-01,151.2078,85.5095
2022-02,62.3285,79.0273
2022-03,66.9993,84.8431
2022-04,26.3667,67.7982
2022-05,16.2256,70.5961
2022-06,-8.0063,51.3157
2022-07,13.9992,64.5278
2022-08,22.8932,57.1122
2022-09,13.4207,42.2969
2022-10,-0.6988,53.1728
2022-11,-13.9393,60.9786
2022-12,-21.5795,51.2041
2023-01,-10.0672,60.099
2023-02,-18.6955,55.5277
2023-03,-15.9439,60.6773
2023-04,-15.7059,62.6057
2023-05,-31.0926,62.7608
2023-06,-25.506,72.6424
2023-07,-15.0967,77.5753
2023-08,-29.8687,73.9891
2023-09,-34.1523,65.1021
2023-10,-41.3436,60.935
2023-11,-34.3875,74.9749
2023-12,-29.7462,82.2271
2024-01,-29.5974,84.366
2024-02,-30.4663,93.1131
2024-03,-22.4955,98.5572
2024-04,-24.0783,89.8325
2024-05,-29.3632,98.467
2024-06,-34.6817,104.6169
2024-07,-25.6299,106.0518
2024-08,-17.8604,105.8538
2024-09,-11.34,109.4131
2024-10,-8.4365,106.5373
2024-11,-5.374,112.3624
2024-12,-7.1513,105.4419
2025-01,-6.8154,106.5325
2025-02,-23.4103,103.0814
2025-03,-28.4369,93.3357
2025-04,-35.5991,73.8168
