Date,rate_HOOD_5D,rate_VOO_20D
2021-07,0.0,-0.908
2021-08,0.0,3.4479
2021-09,-10.5775,-6.4211
2021-10,-23.8008,5.1485
2021-11,-41.5915,2.6473
2021-12,-52.3426,10.1022
2022-01,-57.1938,-1.2349
2022-02,-58.6289,-7.7171
2022-03,-46.7039,-1.9013
2022-04,-58.3846,-18.9462
2022-05,-58.0817,-16.1482
2022-06,-61.6667,-35.4287
2022-07,-52.9526,-22.2165
2022-08,-46.6583,-29.6322
2022-09,-43.6669,-44.4474
2022-10,-38.3599,-33.5715
2022-11,-51.7335,-25.7657
2022-12,-57.5897,-35.5403
2023-01,-42.2901,-26.6453
2023-02,-42.4085,-31.2167
2023-03,-42.3494,-26.067
2023-04,-45.8166,-24.1386
2023-05,-43.5857,-23.9835
2023-06,-35.0039,-14.102
2023-07,-14.8565,-9.1691
2023-08,-26.9249,-12.7552
2023-09,-33.3843,-21.6422
2023-10,-37.9695,-25.8093
2023-11,-39.0467,-11.7695
2023-12,-10.2248,-4.5172
2024-01,-23.5553,-2.3783
2024-02,16.7218,6.3687
2024-03,43.52,11.8128
2024-04,17.067,3.0881
2024-05,47.2299,11.7227
2024-06,58.5238,17.8726
2024-07,41.9916,19.3075
2024-08,37.9489,19.1094
2024-09,59.5664,22.6688
2024-10,58.2157,19.793
2024-11,119.5413,25.618
2024-12,113.6537,18.6976
2025-01,155.6094,19.7881
2025-02,146.7724,16.3371
2025-03,117.612,6.5914
2025-04,79.0858,-12.9275
