Date,rate_PSA_5D,rate_VOO_20D
2015-01,-1.3765,-3.5197
2015-02,-2.0539,1.8044
2015-03,-0.5866,-0.4337
2015-04,-5.0751,0.3137
2015-05,-2.1905,1.1277
2015-06,-5.7716,-1.1499
2015-07,5.3632,0.7758
2015-08,2.6823,-5.4229
2015-09,6.2548,-7.1738
2015-10,14.3696,1.0672
2015-11,18.1103,1.2476
2015-12,21.1201,-0.572
2016-01,22.2196,-4.925
2016-02,18.7744,-4.8231
2016-03,30.639,1.7982
2016-04,14.3964,1.9719
2016-05,17.2916,3.5419
2016-06,18.0179,3.6524
2016-07,9.4934,7.2416
2016-08,2.4492,7.0197
2016-09,2.7532,6.6568
2016-10,-1.5826,4.4599
2016-11,-3.5279,8.0958
2016-12,4.1053,9.9999
2017-01,-0.0089,11.4564
2017-02,5.6963,15.2492
2017-03,2.4147,14.8019
2017-04,-2.2015,15.441
2017-05,0.5835,16.5118
2017-06,-1.6387,16.6668
2017-07,-3.0515,18.4843
2017-08,-3.0215,18.2445
2017-09,2.07,20.0845
2017-10,-1.2821,22.2583
2017-11,1.457,25.3046
2017-12,0.4088,26.2059
2018-01,-5.7888,32.449
2018-02,-6.2242,26.7739
2018-03,-2.2563,23.0189
2018-04,-1.5233,22.8575
2018-05,3.3721,25.2441
2018-06,11.615,25.5573
2018-07,6.9208,29.3514
2018-08,4.174,32.7978
2018-09,-0.3578,32.8363
2018-10,1.5403,23.2702
2018-11,5.3348,25.0563
2018-12,0.8201,13.5319
2019-01,5.8307,22.1943
2019-02,5.2249,25.7013
2019-03,9.2333,27.5721
2019-04,10.7317,32.1369
2019-05,18.8309,23.323
2019-06,19.5883,31.3236
2019-07,21.4605,32.644
2019-08,31.9697,29.9311
2019-09,22.8494,31.9602
2019-10,11.2466,34.2575
2019-11,5.0509,38.4965
2019-12,7.1291,41.933
2020-01,12.4314,41.1927
2020-02,4.8879,29.1327
2020-03,-1.1361,15.0941
2020-04,-7.6468,29.6087
2020-05,1.0567,35.3017
2020-06,-3.3948,37.2398
2020-07,0.6089,44.6817
2020-08,6.9107,54.038
2020-09,13.0028,47.5315
2020-10,15.9765,43.1102
2020-11,13.4571,57.9789
2020-12,17.5525,63.0361
2021-01,15.6631,60.507
2021-02,18.6185,64.0387
2021-03,25.8421,70.5941
2021-04,42.9462,78.6176
2021-05,43.0576,78.7807
2021-06,52.6762,81.7862
2021-07,57.9093,85.165
2021-08,62.7613,89.5209
2021-09,49.6517,79.652
2021-10,66.6023,91.2215
2021-11,63.4092,88.7203
2021-12,87.0863,96.1753
2022-01,78.1671,84.8382
2022-02,75.4558,78.356
2022-03,92.9561,84.1718
2022-04,82.6693,67.1269
2022-05,61.9284,69.9248
2022-06,53.5109,50.6444
2022-07,66.094,63.8565
2022-08,67.6242,56.4409
2022-09,48.7162,41.6257
2022-10,56.781,52.5015
2022-11,41.9622,60.3073
2022-12,33.9875,50.5328
2023-01,45.0961,59.4277
2023-02,42.0739,54.8564
2023-03,44.6309,60.006
2023-04,40.6866,61.9344
2023-05,34.7918,62.0896
2023-06,39.9473,71.9711
2023-07,34.7198,76.904
2023-08,31.8356,73.3179
2023-09,26.7918,64.4308
2023-10,17.8314,60.2637
2023-11,22.6916,74.3036
2023-12,45.888,81.5558
2024-01,35.0705,83.6948
2024-02,35.0716,92.4418
2024-03,39.1221,97.8859
2024-04,25.5692,89.1612
2024-05,30.53,97.7957
2024-06,38.3195,103.9456
2024-07,41.9224,105.3805
2024-08,64.3545,105.1825
2024-09,74.8706,108.7418
2024-10,62.1573,105.866
2024-11,67.2874,111.6911
2024-12,44.8095,104.7706
2025-01,43.9788,105.8612
2025-02,46.094,102.4101
2025-03,44.2907,92.6645
2025-04,32.3836,73.1455
