Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,65,9,57,1.5,,48.7,15.0
2017-2019,79,25,54,1.62,0.4,51.1,20.0
2018-2020,81,24,58,1.47,0.4,56.9,38.3
2019-2021,166,64,101,1.46,0.7,53.3,47.1
2020-2022,-70,5,-74,1.51,-0.3,73.3,15.1
2021-2023,-195,18,-213,1.72,-0.5,73.3,19.6
2022-2024,-169,29,-198,1.67,-0.0,65.1,14.9
2023-2025,-62,75,-138,1.5,-0.0,60.0,11.2
