Date,rate_CAT_5D,rate_VOO_20D
2015-01,-7.4895,-3.5197
2015-02,-3.1573,1.8044
2015-03,-5.8936,-0.4337
2015-04,4.2517,0.3137
2015-05,1.5079,1.1277
2015-06,0.2445,-1.1499
2015-07,-6.2163,0.7758
2015-08,-11.1112,-5.4229
2015-09,-22.8561,-7.1738
2015-10,-11.425,1.0672
2015-11,-11.081,1.2476
2015-12,-15.9458,-0.572
2016-01,-21.0184,-4.925
2016-02,-12.6686,-4.8231
2016-03,-0.5638,1.7982
2016-04,1.7536,1.9719
2016-05,-4.7806,3.5419
2016-06,-0.1942,3.6524
2016-07,9.8549,7.2416
2016-08,8.3406,7.0197
2016-09,16.819,6.6568
2016-10,10.1111,4.4599
2016-11,25.1584,8.0958
2016-12,20.4518,9.9999
2017-01,24.3178,11.4564
2017-02,24.71,15.2492
2017-03,18.9436,14.8019
2017-04,31.4618,15.441
2017-05,34.4429,16.5118
2017-06,35.8726,16.6668
2017-07,43.8897,18.4843
2017-08,46.9957,18.2445
2017-09,54.5241,20.0845
2017-10,67.4055,22.2583
2017-11,72.0227,25.3046
2017-12,89.8153,26.2059
2018-01,94.5274,32.449
2018-02,82.5423,26.7739
2018-03,71.9454,23.0189
2018-04,67.5451,22.8575
2018-05,74.4976,25.2441
2018-06,54.2057,25.5573
2018-07,63.0258,29.3514
2018-08,56.1346,32.7978
2018-09,70.1075,32.8363
2018-10,35.0209,23.2702
2018-11,50.0563,25.0563
2018-12,39.5467,13.5319
2019-01,46.3314,22.1943
2019-02,49.9827,25.7013
2019-03,47.0056,27.5721
2019-04,51.1871,32.1369
2019-05,29.394,23.323
2019-06,46.4403,31.3236
2019-07,41.7708,32.644
2019-08,27.6589,29.9311
2019-09,35.0048,31.9602
2019-10,47.7398,34.2575
2019-11,54.2389,38.4965
2019-12,56.447,41.933
2020-01,39.2758,41.1927
2020-02,31.0523,29.1327
2020-03,18.2173,15.0941
2020-04,19.43,29.6087
2020-05,23.0441,35.3017
2020-06,29.1923,37.2398
2020-07,36.1432,44.6817
2020-08,45.13,54.038
2020-09,51.3786,47.5315
2020-10,59.5689,43.1102
2020-11,75.3082,57.9789
2020-12,82.6582,63.0361
2021-01,83.2326,60.507
2021-02,114.8957,64.0387
2021-03,129.1488,70.5941
2021-04,124.811,78.6176
2021-05,135.7723,78.7807
2021-06,111.293,81.7862
2021-07,100.4864,85.165
2021-08,103.2201,89.5209
2021-09,83.9304,79.652
2021-10,95.4232,91.2215
2021-11,84.1344,88.7203
2021-12,95.741,96.1753
2022-01,90.6664,84.8382
2022-02,76.5563,78.356
2022-03,108.5617,84.1718
2022-04,96.2407,67.1269
2022-05,100.2047,69.9248
2022-06,79.7449,50.6444
2022-07,102.9444,63.8565
2022-08,88.0777,56.4409
2022-09,66.3588,41.6257
2022-10,112.6478,52.5015
2022-11,130.9323,60.3073
2022-12,132.6013,50.5328
2023-01,144.6506,59.4277
2023-02,130.9632,54.8564
2023-03,119.2881,60.006
2023-04,109.6714,61.9344
2023-05,96.1653,62.0896
2023-06,133.3384,71.9711
2023-07,151.2871,76.904
2023-08,164.7984,73.3179
2023-09,155.6639,64.4308
2023-10,121.8969,60.2637
2023-11,135.461,74.3036
2023-12,176.1679,81.5558
2024-01,180.1675,83.6948
2024-02,209.7002,92.4418
2024-03,237.7195,97.8859
2024-04,221.9922,89.1612
2024-05,211.4868,97.7957
2024-06,204.7175,103.9456
2024-07,216.1573,105.3805
2024-08,220.5937,105.1825
2024-09,250.068,108.7418
2024-10,240.0925,105.866
2024-11,242.3847,111.6911
2024-12,204.0817,104.7706
2025-01,210.7476,105.8612
2025-02,194.0571,102.4101
2025-03,176.8053,92.6645
2025-04,133.8721,73.1455
