Date,rate_NKE_5D,rate_VOO_20D
2015-01,-4.4782,-3.5197
2015-02,1.6929,1.8044
2015-03,4.2461,-0.4337
2015-04,1.9281,0.3137
2015-05,4.0918,1.1277
2015-06,9.5709,-1.1499
2015-07,15.3405,0.7758
2015-08,10.0326,-5.4229
2015-09,20.1649,-7.1738
2015-10,25.9545,1.0672
2015-11,24.8341,1.2476
2015-12,16.3607,-0.572
2016-01,14.4402,-4.925
2016-02,12.5632,-4.8231
2016-03,11.6818,1.7982
2016-04,6.5847,1.9719
2016-05,-0.5521,3.5419
2016-06,-0.3001,3.6524
2016-07,0.1937,7.2416
2016-08,3.936,7.0197
2016-09,-4.5764,6.6568
2016-10,-8.7638,4.4599
2016-11,-8.6807,8.0958
2016-12,-6.6884,9.9999
2017-01,-2.8163,11.4564
2017-02,4.9211,15.2492
2017-03,2.3795,14.8019
2017-04,1.6718,15.441
2017-05,-2.6826,16.5118
2017-06,8.831,16.6668
2017-07,8.6498,18.4843
2017-08,-2.4064,18.2445
2017-09,-4.2021,20.0845
2017-10,1.6746,22.2583
2017-11,11.6415,25.3046
2017-12,15.635,26.2059
2018-01,25.485,32.449
2018-02,17.7697,26.7739
2018-03,16.6473,23.0189
2018-04,19.6268,22.8575
2018-05,25.0933,25.2441
2018-06,38.4969,25.5573
2018-07,32.8655,29.3514
2018-08,41.4977,32.7978
2018-09,44.8567,32.8363
2018-10,27.7052,23.2702
2018-11,27.5833,25.0563
2018-12,25.2867,13.5319
2019-01,37.7947,22.1943
2019-02,43.4943,25.7013
2019-03,40.5192,27.5721
2019-04,45.6487,32.1369
2019-05,27.7561,23.323
2019-06,38.2089,31.3236
2019-07,40.8907,32.644
2019-08,38.0848,29.9311
2019-09,52.7247,31.9602
2019-10,44.7891,34.2575
2019-11,50.6974,38.4965
2019-12,62.3811,41.933
2020-01,53.3739,41.1927
2020-02,41.8641,29.1327
2020-03,30.8053,15.0941
2020-04,37.3828,29.6087
2020-05,55.0192,35.3017
2020-06,53.3491,37.2398
2020-07,51.8668,44.6817
2020-08,73.5297,54.038
2020-09,93.4564,47.5315
2020-10,83.7643,43.1102
2020-11,104.7037,57.9789
2020-12,113.8932,63.0361
2021-01,100.4716,60.507
2021-02,101.2042,64.0387
2021-03,97.01,70.5941
2021-04,95.3099,78.6176
2021-05,100.0988,78.7807
2021-06,125.1164,81.7862
2021-07,142.3497,85.165
2021-08,136.9559,89.5209
2021-09,107.5793,79.652
2021-10,137.4696,91.2215
2021-11,138.5815,88.7203
2021-12,133.7858,96.1753
2022-01,106.3265,84.8382
2022-02,89.1442,78.356
2022-03,85.8503,84.1718
2022-04,70.8272,67.1269
2022-05,71.6711,69.9248
2022-06,51.1024,50.6444
2022-07,63.2795,63.8565
2022-08,50.6214,56.4409
2022-09,28.8491,41.6257
2022-10,38.0433,52.5015
2022-11,62.8801,60.3073
2022-12,73.563,50.5328
2023-01,88.0254,59.4277
2023-02,74.6574,54.8564
2023-03,80.009,60.006
2023-04,85.1821,61.9344
2023-05,53.1177,62.0896
2023-06,60.5198,71.9711
2023-07,59.9736,76.904
2023-08,46.8758,73.3179
2023-09,38.117,64.4308
2023-10,48.0661,60.2637
2023-11,58.3676,74.3036
2023-12,55.8938,81.5558
2024-01,45.3599,83.6948
2024-02,48.3689,92.4418
2024-03,34.277,97.8859
2024-04,31.5362,89.1612
2024-05,35.2424,97.7957
2024-06,7.4147,103.9456
2024-07,6.6261,105.3805
2024-08,18.62,105.1825
2024-09,26.2562,108.7418
2024-10,12.8312,105.866
2024-11,15.1991,111.6911
2024-12,11.0986,104.7706
2025-01,12.8266,105.8612
2025-02,16.4314,102.4101
2025-03,2.5243,92.6645
2025-04,-2.0983,73.1455
