Date,rate_FSLR_5D,rate_VOO_20D
2015-01,-4.6594,-3.5197
2015-02,32.8685,1.8044
2015-03,24.2401,-0.4337
2015-04,17.5718,0.3137
2015-05,-1.6249,1.1277
2015-06,-7.3303,-1.1499
2015-07,-11.225,0.7758
2015-08,-8.0668,-5.4229
2015-09,-18.6892,-7.1738
2015-10,9.6872,1.0672
2015-11,7.6744,1.2476
2015-12,24.6938,-0.572
2016-01,27.7746,-4.925
2016-02,31.7104,-4.8231
2016-03,23.8221,1.7982
2016-04,0.3844,1.9719
2016-05,-10.2436,3.5419
2016-06,-11.8995,3.6524
2016-07,-14.6148,7.2416
2016-08,-30.2979,7.0197
2016-09,-25.866,6.6568
2016-10,-22.758,4.4599
2016-11,-41.4636,8.0958
2016-12,-36.2894,9.9999
2017-01,-36.9002,11.4564
2017-02,-25.4399,15.2492
2017-03,-43.391,14.8019
2017-04,-36.7822,15.441
2017-05,-16.0401,16.5118
2017-06,-12.6371,16.6668
2017-07,8.445,18.4843
2017-08,3.0048,18.2445
2017-09,0.3362,20.0845
2017-10,19.716,22.2583
2017-11,34.8356,25.3046
2017-12,45.2839,26.2059
2018-01,43.0347,32.449
2018-02,32.8419,26.7739
2018-03,48.9412,23.0189
2018-04,47.3805,22.8575
2018-05,39.3632,25.2441
2018-06,8.3631,25.5573
2018-07,7.5086,29.3514
2018-08,6.7338,32.7978
2018-09,-0.8785,32.8363
2018-10,-14.4419,23.2702
2018-11,-8.8162,25.0563
2018-12,-12.8198,13.5319
2019-01,4.1537,22.1943
2019-02,8.1789,25.7013
2019-03,8.5761,27.5721
2019-04,26.1249,32.1369
2019-05,18.6223,23.323
2019-06,33.6396,31.3236
2019-07,30.6082,32.644
2019-08,25.2226,29.9311
2019-09,16.6134,31.9602
2019-10,3.9062,34.2575
2019-11,10.6782,38.4965
2019-12,11.9504,41.933
2020-01,-1.0144,41.1927
2020-02,-8.7083,29.1327
2020-03,-27.6628,15.0941
2020-04,-11.0737,29.6087
2020-05,-5.5525,35.3017
2020-06,0.3148,37.2398
2020-07,20.3958,44.6817
2020-08,54.0989,54.038
2020-09,32.7242,47.5315
2020-10,73.7644,43.1102
2020-11,85.3586,57.9789
2020-12,95.0403,63.0361
2021-01,94.1681,60.507
2021-02,57.8854,64.0387
2021-03,69.2531,70.5941
2021-04,47.5942,78.6176
2021-05,46.1708,78.7807
2021-06,73.0928,81.7862
2021-07,63.6791,85.165
2021-08,77.8563,89.5209
2021-09,79.5803,79.652
2021-10,123.6971,91.2215
2021-11,92.5082,88.7203
2021-12,61.2477,96.1753
2022-01,44.3243,84.8382
2022-02,38.1507,78.356
2022-03,53.1567,84.1718
2022-04,33.0435,67.1269
2022-05,28.2093,69.9248
2022-06,14.5374,50.6444
2022-07,66.4667,63.8565
2022-08,113.1653,56.4409
2022-09,116.7385,41.6257
2022-10,137.7808,52.5015
2022-11,180.0706,60.3073
2022-12,141.6895,50.5328
2023-01,184.6719,59.4277
2023-02,169.318,54.8564
2023-03,243.9443,60.006
2023-04,186.8672,61.9344
2023-05,216.379,62.0896
2023-06,194.3345,71.9711
2023-07,219.0836,76.904
2023-08,189.0864,73.3179
2023-09,145.4984,64.4308
2023-10,115.2764,60.2637
2023-11,137.2139,74.3036
2023-12,157.607,81.5558
2024-01,117.5545,83.6948
2024-02,127.6856,92.4418
2024-03,148.458,97.8859
2024-04,156.2268,89.1612
2024-05,272.9968,97.7957
2024-06,207.5087,103.9456
2024-07,192.878,105.3805
2024-08,206.5527,105.1825
2024-09,234.326,108.7418
2024-10,186.3157,105.866
2024-11,180.7731,111.6911
2024-12,153.9398,104.7706
2025-01,126.0275,105.8612
2025-02,82.9292,102.4101
2025-03,73.1993,92.6645
2025-04,77.5411,73.1455
