Date,rate_UBER_5D,rate_VOO_20D
2019-05,0.0,-5.5863
2019-06,7.8574,2.4143
2019-07,-2.773,3.7347
2019-08,-19.8272,1.0218
2019-09,-21.7382,3.0509
2019-10,-15.7919,5.3482
2019-11,-19.0059,9.5872
2019-12,-16.3158,13.0237
2020-01,3.5337,12.2834
2020-02,-4.5768,0.2234
2020-03,-20.621,-13.8152
2020-04,-11.3816,0.6994
2020-05,7.7998,6.3924
2020-06,-8.1357,8.3305
2020-07,-10.5936,15.7724
2020-08,-0.5671,25.1287
2020-09,7.7363,18.6222
2020-10,-1.8663,14.2009
2020-11,44.5414,29.0696
2020-12,46.1341,34.1267
2021-01,42.6306,31.5977
2021-02,42.501,35.1294
2021-03,47.6742,41.6848
2021-04,46.2449,49.7083
2021-05,34.4551,49.8714
2021-06,31.2898,52.8769
2021-07,12.8548,56.2557
2021-08,1.371,60.6116
2021-09,15.8123,50.7426
2021-10,12.6175,62.3122
2021-11,-2.254,59.811
2021-12,7.943,67.266
2022-01,-4.0603,55.9289
2022-02,-7.4836,49.4467
2022-03,-7.8985,55.2625
2022-04,-18.5719,38.2176
2022-05,-30.0412,41.0155
2022-06,-41.1432,21.7351
2022-07,-31.4998,34.9472
2022-08,-15.2106,27.5316
2022-09,-19.6638,12.7163
2022-10,-21.7203,23.5922
2022-11,-13.8819,31.398
2022-12,-26.3134,21.6235
2023-01,-7.401,30.5184
2023-02,-0.3108,25.9471
2023-03,-4.8803,31.0967
2023-04,-6.678,33.0251
2023-05,14.022,33.1803
2023-06,29.2447,43.0618
2023-07,47.2985,47.9947
2023-08,39.913,44.4086
2023-09,35.5187,35.5215
2023-10,26.0327,31.3544
2023-11,61.832,45.3943
2023-12,75.3595,52.6465
2024-01,84.4497,54.7855
2024-02,122.8439,63.5325
2024-03,113.8815,68.9766
2024-04,94.8007,60.2519
2024-05,79.2078,68.8864
2024-06,100.3364,75.0363
2024-07,76.3462,76.4712
2024-08,90.5391,76.2732
2024-09,94.402,79.8325
2024-10,87.0861,76.9567
2024-11,82.8537,82.7818
2024-12,52.2531,75.8613
2025-01,67.8205,76.9519
2025-02,87.5508,73.5008
2025-03,77.389,63.7552
2025-04,64.4507,44.2362
