Date,rate_META_5D,rate_VOO_20D
2015-01,-2.6478,-3.5197
2015-02,1.6688,1.8044
2015-03,4.9946,-0.4337
2015-04,-1.0077,0.3137
2015-05,-0.9157,1.1277
2015-06,7.0985,-1.1499
2015-07,16.1253,0.7758
2015-08,9.3192,-5.4229
2015-09,8.6332,-7.1738
2015-10,21.9296,1.0672
2015-11,22.6183,1.2476
2015-12,21.0917,-0.572
2016-01,27.8536,-4.925
2016-02,19.9317,-4.8231
2016-03,26.4432,1.7982
2016-04,28.5584,1.9719
2016-05,28.2193,3.5419
2016-06,22.1066,3.6524
2016-07,31.1513,7.2416
2016-08,31.9034,7.0197
2016-09,32.634,6.6568
2016-10,33.8386,4.4599
2016-11,20.0258,8.0958
2016-12,15.9287,9.9999
2017-01,30.4432,11.4564
2017-02,34.3804,15.2492
2017-03,39.3276,14.8019
2017-04,45.8515,15.441
2017-05,45.4518,16.5118
2017-06,43.4748,16.6668
2017-07,59.1673,18.4843
2017-08,59.8747,18.2445
2017-09,57.0854,20.0845
2017-10,63.7595,22.2583
2017-11,59.3423,25.3046
2017-12,57.0469,26.2059
2018-01,64.6325,32.449
2018-02,48.6308,26.7739
2018-03,32.0627,23.0189
2018-04,41.2108,22.8575
2018-05,56.2752,25.2441
2018-06,56.9758,25.5573
2018-07,38.2287,29.3514
2018-08,39.8038,32.7978
2018-09,30.0862,32.8363
2018-10,19.5071,23.2702
2018-11,10.3273,25.0563
2018-12,2.6548,13.5319
2019-01,30.276,22.1943
2019-02,25.614,25.7013
2019-03,29.0365,27.5721
2019-04,48.9597,32.1369
2019-05,35.8625,23.323
2019-06,47.0061,31.3236
2019-07,47.0877,32.644
2019-08,39.8869,29.9311
2019-09,33.5407,31.9602
2019-10,43.0193,34.2575
2019-11,49.6856,38.4965
2019-12,51.5412,41.933
2020-01,48.2147,41.1927
2020-02,40.4669,29.1327
2020-03,24.6175,15.0941
2020-04,52.5314,29.6087
2020-05,66.8366,35.3017
2020-06,67.2833,37.2398
2020-07,85.5143,44.6817
2020-08,112.9592,54.038
2020-09,88.8104,47.5315
2020-10,88.3906,43.1102
2020-11,96.8689,57.9789
2020-12,92.8112,63.0361
2021-01,81.1591,60.507
2021-02,79.5558,64.0387
2021-03,103.9977,70.5941
2021-04,123.6262,78.6176
2021-05,124.5365,78.7807
2021-06,135.8173,81.7862
2021-07,139.8698,85.165
2021-08,153.4979,89.5209
2021-09,125.1067,79.652
2021-10,113.1929,91.2215
2021-11,112.3988,88.7203
2021-12,118.7792,96.1753
2022-01,102.4732,84.8382
2022-02,35.6448,78.356
2022-03,42.5297,84.1718
2022-04,27.6701,67.1269
2022-05,18.9139,69.9248
2022-06,-0.7991,50.6444
2022-07,-2.1088,63.8565
2022-08,0.1875,56.4409
2022-09,-16.5943,41.6257
2022-10,-44.7559,52.5015
2022-11,-29.6274,60.3073
2022-12,-28.0092,50.5328
2023-01,-10.5795,59.4277
2023-02,5.0849,54.8564
2023-03,27.0852,60.006
2023-04,43.7823,61.9344
2023-05,57.8846,62.0896
2023-06,70.5507,71.9711
2023-07,88.5051,76.904
2023-08,74.2776,73.3179
2023-09,76.1025,64.4308
2023-10,79.3763,60.2637
2023-11,87.9925,74.3036
2023-12,102.4844,81.5558
2024-01,122.1602,83.6948
2024-02,177.9165,92.4418
2024-03,173.7739,97.8859
2024-04,163.5348,89.1612
2024-05,167.4274,97.7957
2024-06,187.5173,103.9456
2024-07,169.1824,105.3805
2024-08,193.8993,105.1825
2024-09,221.1886,108.7418
2024-10,217.5883,105.866
2024-11,217.2553,111.6911
2024-12,217.1478,104.7706
2025-01,258.6229,105.8612
2025-02,249.3552,102.4101
2025-03,210.8696,92.6645
2025-04,177.0599,73.1455
