Date,rate_SDGR_5D,rate_VOO_20D
2020-02,8.6895,-16.668
2020-03,-6.5429,-30.7066
2020-04,4.8779,-16.192
2020-05,52.6208,-10.4991
2020-06,91.6678,-8.5609
2020-07,41.7082,-1.119
2020-08,16.0816,8.2373
2020-09,-8.8481,1.7308
2020-10,-6.3847,-2.6905
2020-11,32.0864,12.1782
2020-12,47.4339,17.2353
2021-01,62.6592,14.7063
2021-02,78.3286,18.238
2021-03,30.6458,24.7934
2021-04,28.4325,32.8169
2021-05,16.8343,32.98
2021-06,24.7058,35.9855
2021-07,11.0358,39.3643
2021-08,-2.7263,43.7202
2021-09,-10.9873,33.8512
2021-10,-10.7006,45.4208
2021-11,-35.7156,42.9196
2021-12,-41.7101,50.3745
2022-01,-51.2529,39.0375
2022-02,-38.0458,32.5553
2022-03,-37.9509,38.3711
2022-04,-54.1444,21.3262
2022-05,-50.143,24.1241
2022-06,-51.3881,4.8437
2022-07,-40.6258,18.0558
2022-08,-47.0206,10.6402
2022-09,-51.7073,-4.1751
2022-10,-53.874,6.7008
2022-11,-66.0052,14.5066
2022-12,-63.1652,4.7321
2023-01,-50.0946,13.627
2023-02,-54.0679,9.0557
2023-03,-43.2064,14.2053
2023-04,-35.1875,16.1337
2023-05,-25.7248,16.2889
2023-06,11.5497,26.1704
2023-07,16.6535,31.1033
2023-08,-17.2923,27.5172
2023-09,-36.3129,18.6301
2023-10,-50.4855,14.463
2023-11,-27.5566,28.5029
2023-12,-16.0411,35.7551
2024-01,-37.1805,37.8941
2024-02,-38.8629,46.6411
2024-03,-34.5231,52.0852
2024-04,-40.5491,43.3605
2024-05,-48.1294,51.995
2024-06,-52.7237,58.1449
2024-07,-44.5498,59.5798
2024-08,-49.0838,59.3818
2024-09,-54.298,62.9411
2024-10,-55.6874,60.0653
2024-11,-42.0161,65.8904
2024-12,-49.2068,58.9699
2025-01,-40.8444,60.0605
2025-02,-46.4597,56.6094
2025-03,-52.3673,46.8638
2025-04,-52.9858,27.3448
