Date,rate_NEM_5D,rate_VOO_20D
2015-01,3.0024,-3.5197
2015-02,6.6396,1.8044
2015-03,-8.8968,-0.4337
2015-04,11.1633,0.3137
2015-05,12.3109,1.1277
2015-06,-3.0783,-1.1499
2015-07,-21.851,0.7758
2015-08,-19.7859,-5.4229
2015-09,-22.3492,-7.1738
2015-10,-3.4072,1.0672
2015-11,-8.4568,1.2476
2015-12,-9.8213,-0.572
2016-01,0.5519,-4.925
2016-02,29.7846,-4.8231
2016-03,31.5738,1.7982
2016-04,69.2461,1.9719
2016-05,53.3654,3.5419
2016-06,81.2604,3.6524
2016-07,99.0869,7.2416
2016-08,68.8913,7.0197
2016-09,70.1059,6.6568
2016-10,57.6044,4.4599
2016-11,35.8362,8.0958
2016-12,41.2002,9.9999
2017-01,48.5844,11.4564
2017-02,38.554,15.2492
2017-03,32.2506,14.8019
2017-04,34.4044,15.441
2017-05,34.6131,16.5118
2017-06,26.8022,16.6668
2017-07,44.4508,18.4843
2017-08,47.6067,18.2445
2017-09,43.2854,20.0845
2017-10,36.8441,22.2583
2017-11,38.9293,25.3046
2017-12,40.1173,26.2059
2018-01,50.1012,32.449
2018-02,36.5335,26.7739
2018-03,39.1548,23.0189
2018-04,38.9534,22.8575
2018-05,36.7835,25.2441
2018-06,32.1366,25.5573
2018-07,27.81,29.3514
2018-08,7.9424,32.7978
2018-09,5.4568,32.8363
2018-10,7.8301,23.2702
2018-11,12.4991,25.0563
2018-12,20.6554,13.5319
2019-01,18.3698,22.1943
2019-02,18.0499,25.7013
2019-03,23.8565,27.5721
2019-04,9.8311,32.1369
2019-05,16.8202,23.323
2019-06,35.9657,31.3236
2019-07,28.4817,32.644
2019-08,39.6572,29.9311
2019-09,32.5709,31.9602
2019-10,38.2884,34.2575
2019-11,33.0397,38.4965
2019-12,50.4274,41.933
2020-01,55.1566,41.1927
2020-02,52.7828,29.1327
2020-03,47.9358,15.0941
2020-04,93.2598,29.6087
2020-05,88.6158,35.3017
2020-06,98.5978,37.2398
2020-07,120.9645,44.6817
2020-08,113.1454,54.038
2020-09,100.2414,47.5315
2020-10,96.9231,43.1102
2020-11,83.023,57.9789
2020-12,86.3686,63.0361
2021-01,84.2302,60.507
2021-02,67.19,64.0387
2021-03,85.952,70.5941
2021-04,91.3569,78.6176
2021-05,123.8005,78.7807
2021-06,93.2904,81.7862
2021-07,90.4056,85.165
2021-08,74.7461,89.5209
2021-09,64.3226,79.652
2021-10,62.6297,91.2215
2021-11,64.5793,88.7203
2021-12,86.7603,96.1753
2022-01,83.22,84.8382
2022-02,97.1804,78.356
2022-03,136.9359,84.1718
2022-04,115.8006,67.1269
2022-05,99.8456,69.9248
2022-06,76.2177,50.6444
2022-07,33.3679,63.8565
2022-08,21.4855,56.4409
2022-09,24.8739,41.6257
2022-10,21.5476,52.5015
2022-11,24.1924,60.3073
2022-12,24.6652,50.5328
2023-01,39.4533,59.4277
2023-02,14.7547,54.8564
2023-03,29.9363,60.006
2023-04,25.342,61.9344
2023-05,8.2197,62.0896
2023-06,13.6876,71.9711
2023-07,14.2349,76.904
2023-08,4.8776,73.3179
2023-09,-0.7152,64.4308
2023-10,0.3615,60.2637
2023-11,10.0077,74.3036
2023-12,13.1995,81.5558
2024-01,-5.5623,83.6948
2024-02,-14.393,92.4418
2024-03,-0.9241,97.8859
2024-04,12.3325,89.1612
2024-05,15.8108,97.7957
2024-06,16.1471,103.9456
2024-07,35.9132,105.3805
2024-08,42.0924,105.1825
2024-09,42.5992,108.7418
2024-10,20.2409,105.866
2024-11,14.4893,111.6911
2024-12,2.9355,104.7706
2025-01,15.6167,105.8612
2025-02,17.39,102.4101
2025-03,25.9661,92.6645
2025-04,16.848,73.1455
