Date,rate_TSM_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,4.3019,-0.6039
2016-03,12.6873,5.2168
2016-04,-1.4294,3.9893
2016-05,3.3964,4.6886
2016-06,12.485,4.1237
2016-07,16.9271,7.1795
2016-08,18.3291,6.3603
2016-09,23.6164,5.6281
2016-10,23.1808,3.196
2016-11,15.656,6.7601
2016-12,11.0154,8.3626
2017-01,19.3494,10.2536
2017-02,19.9132,13.6522
2017-03,23.5788,12.7005
2017-04,22.8166,12.9818
2017-05,29.6876,13.693
2017-06,30.5658,13.5288
2017-07,32.5253,15.0481
2017-08,34.4779,14.5515
2017-09,34.7766,16.1037
2017-10,49.9373,17.9557
2017-11,38.1518,20.6805
2017-12,36.6327,21.3029
2018-01,56.1228,28.0338
2018-02,47.103,22.1441
2018-03,46.6299,18.3021
2018-04,27.3489,18.0902
2018-05,27.0938,20.2208
2018-06,23.4722,20.3415
2018-07,38.2146,23.8746
2018-08,44.8189,27.0072
2018-09,46.6781,27.7347
2018-10,25.2208,18.1437
2018-11,22.6757,19.7418
2018-12,19.6786,8.5778
2019-01,21.9808,17.1263
2019-02,25.9334,20.3748
2019-03,31.2715,22.0514
2019-04,39.4581,26.2651
2019-05,21.1106,17.5943
2019-06,27.0955,25.308
2019-07,37.1541,26.4355
2019-08,36.2583,23.7232
2019-09,49.5879,26.1617
2019-10,64.7389,28.2707
2019-11,67.7774,32.1761
2019-12,83.1602,35.3247
2020-01,70.1384,35.2749
2020-02,68.1619,23.5454
2020-03,49.1256,7.7105
2020-04,64.6752,21.425
2020-05,54.7661,26.7132
2020-06,74.5104,28.4357
2020-07,140.3238,35.3124
2020-08,138.5891,43.9511
2020-09,142.4917,37.6938
2020-10,147.9521,33.4637
2020-11,183.5214,47.2943
2020-12,215.9976,51.8455
2021-01,252.0047,50.305
2021-02,259.9114,53.4604
2021-03,234.8801,59.4101
2021-04,226.28,66.6882
2021-05,224.0931,66.6274
2021-06,229.1397,69.2184
2021-07,215.82,72.1455
2021-08,218.6148,75.992
2021-09,196.8974,66.6118
2021-10,199.152,77.1553
2021-11,205.0071,74.6519
2021-12,211.2185,81.397
2022-01,213.758,70.7122
2022-02,171.0157,64.6001
2022-03,162.8076,69.8532
2022-04,132.1794,54.0273
2022-05,136.1416,53.6333
2022-06,102.0706,40.2902
2022-07,117.3183,52.5094
2022-08,103.2356,45.531
2022-09,67.1325,31.5965
2022-10,49.2092,41.7445
2022-11,100.2686,48.9584
2022-12,79.6919,39.838
2023-01,123.4206,48.5632
2023-02,108.2445,44.2258
2023-03,122.045,48.9578
2023-04,99.8459,50.6836
2023-05,132.2727,50.7741
2023-06,137.1483,59.884
2023-07,131.3078,64.3798
2023-08,116.8207,60.953
2023-09,101.1729,52.6248
2023-10,98.6105,48.7132
2023-11,122.6113,61.6976
2023-12,137.4915,68.3392
2024-01,157.8552,71.0275
2024-02,191.6659,79.0476
2024-03,207.3331,83.99
2024-04,207.8438,75.7344
2024-05,236.0821,83.6813
2024-06,284.9797,89.2836
2024-07,264.3595,90.5002
2024-08,274.4952,94.0822
2024-09,280.1573,98.2932
2024-10,313.8885,95.412
2024-11,297.9659,105.8418
2024-12,323.615,99.9875
2025-01,348.9047,105.351
2025-02,284.2309,101.7087
2025-03,252.186,89.4719
2025-04,251.0904,87.0451
2025-05,304.2763,97.8575
2025-06,371.781,107.0685
2025-07,399.4772,110.7404
2025-08,373.6448,114.0337
2025-09,474.6612,121.6081
2025-10,513.2306,125.7153
2025-11,490.3607,125.0226
2025-12,512.3815,124.0393
2026-01,589.5571,128.5087
