Date,rate_RGTI_5D,rate_VOO_20D
2021-04,0.0,1.98
2021-05,-2.1965,2.065
2021-06,-1.9969,4.7936
2021-07,-1.6305,7.8602
2021-08,-1.6774,11.8473
2021-09,-0.6168,2.5978
2021-10,7.0287,13.279
2021-11,8.9093,10.9018
2021-12,3.1068,17.7875
2022-01,-0.6275,7.1976
2022-02,-1.0424,1.1456
2022-03,-37.2132,6.509
2022-04,-27.5155,-9.3466
2022-05,-3.9706,-9.6635
2022-06,-60.6854,-23.0558
2022-07,-48.1486,-10.674
2022-08,-50.486,-17.6524
2022-09,-74.944,-31.6213
2022-10,-67.7875,-21.3529
2022-11,-77.613,-14.0258
2022-12,-85.0656,-23.1873
2023-01,-79.8757,-14.8274
2023-02,-77.4588,-19.12
2023-03,-75.2315,-14.3018
2023-04,-81.7541,-12.5066
2023-05,-56.3935,-12.3594
2023-06,-42.916,-3.1205
2023-07,23.2496,1.4752
2023-08,-12.0742,-1.9146
2023-09,-34.7998,-10.2541
2023-10,-47.0745,-14.1621
2023-11,-45.5894,-1.0086
2023-12,-48.496,5.7679
2024-01,-33.1419,7.77
2024-02,2.517,15.935
2024-03,-16.6121,20.9994
2024-04,-29.7651,12.7662
2024-05,-41.8022,20.8534
2024-06,-39.5639,26.5862
2024-07,-40.7129,27.9014
2024-08,-46.2157,31.6107
2024-09,-52.8872,34.9448
2024-10,-18.3676,32.1477
2024-11,89.9398,42.7599
2024-12,840.3594,36.9804
2025-01,695.3618,41.4419
2025-02,401.3756,37.9055
2025-03,361.7267,25.7459
2025-04,408.8619,23.3983
2025-05,583.4749,34.3364
2025-06,558.1281,43.6759
2025-07,691.5987,47.4644
2025-08,771.4817,50.8913
2025-09,1473.4892,57.5135
2025-10,2198.4611,61.7539
2025-11,1205.0316,61.1874
2025-12,1012.3003,60.3254
2026-01,1058.9825,61.6805
