Date,rate_MU_5D,rate_VOO_20D
2016-01,0.0,0.7475
2016-02,-2.1793,0.5732
2016-03,-5.6463,6.1122
2016-04,-7.067,5.1669
2016-05,3.9289,5.01
2016-06,1.7762,3.7643
2016-07,-6.1914,5.7707
2016-08,-1.4428,5.2042
2016-09,0.3227,4.314
2016-10,-0.3661,3.1133
2016-11,1.9752,5.5589
2016-12,3.9742,6.7166
2017-01,5.5206,7.5179
2017-02,4.6299,9.6627
2017-03,8.3332,9.1439
2017-04,6.9965,9.2546
2017-05,8.6228,9.5761
2017-06,7.6086,9.4332
2017-07,6.2103,10.0836
2017-08,11.3938,9.7575
2017-09,25.4287,10.3465
2017-10,29.1687,11.0407
2017-11,26.774,12.0547
2017-12,24.9563,12.1849
2018-01,25.4665,14.2981
2018-02,38.3722,10.7423
2018-03,49.0051,7.7377
2018-04,37.0922,7.1663
2018-05,39.1064,9.4342
2018-06,37.4868,9.9109
2018-07,36.5625,13.185
2018-08,35.313,16.0378
2018-09,30.5651,16.1493
2018-10,13.8106,10.1359
2018-11,11.8252,10.9525
2018-12,-1.5583,0.9755
2019-01,7.4357,8.6536
2019-02,11.6854,11.8003
2019-03,11.6404,10.9644
2019-04,12.7954,11.9994
2019-05,7.9552,9.7929
2019-06,23.038,13.2837
2019-07,41.9676,14.5748
2019-08,41.2962,12.0445
2019-09,41.6893,13.9283
2019-10,46.4323,13.8242
2019-11,44.8017,15.2406
2019-12,48.151,16.3477
2020-01,46.9678,16.0
2020-02,37.1245,8.5928
2020-03,23.2969,2.2428
2020-04,39.967,15.3065
2020-05,31.9643,20.5007
2020-06,38.1698,20.6291
2020-07,32.7577,25.1907
2020-08,25.8521,33.3535
2020-09,28.7516,26.8002
2020-10,29.2929,22.3781
2020-11,54.0987,31.0342
2020-12,75.8821,35.3489
2021-01,78.6366,32.969
2021-02,94.0332,31.3421
2021-03,73.4912,33.5115
2021-04,62.8533,39.9579
2021-05,63.0755,36.6678
2021-06,63.7547,39.0487
2021-07,47.0712,41.822
2021-08,33.8098,45.3402
2021-09,28.5616,37.9657
2021-10,26.3724,45.0363
2021-11,52.9981,42.8984
2021-12,58.2916,45.8776
2022-01,54.5372,37.2576
2022-02,54.4233,30.0426
2022-03,37.8111,34.0335
2022-04,21.4562,26.1433
2022-05,29.3989,27.4163
2022-06,7.505,14.032
2022-07,16.2559,24.1716
2022-08,8.3735,22.3837
2022-09,5.817,19.8311
2022-10,9.3834,25.5829
2022-11,16.9835,32.1735
2022-12,10.7397,26.2075
2023-01,25.9082,32.0065
2023-02,23.1016,28.5111
2023-03,27.5958,32.0763
2023-04,29.2686,33.7937
2023-05,32.6738,34.0419
2023-06,28.0532,42.2913
2023-07,40.3918,46.4427
2023-08,31.3015,42.2085
2023-09,27.7213,35.0408
2023-10,23.4526,31.7156
2023-11,34.2689,43.3533
2023-12,41.9678,49.4187
2024-01,33.6963,45.9225
2024-02,34.1808,52.9775
2024-03,50.175,57.4105
2024-04,50.0774,51.7233
2024-05,58.5409,56.0692
2024-06,55.372,61.0314
2024-07,49.7567,60.1437
2024-08,36.5773,63.097
2024-09,46.5312,62.2106
2024-10,45.8239,60.0887
2024-11,35.4096,68.8548
2024-12,15.1999,63.7125
2025-01,17.6311,64.5325
2025-02,15.6359,63.2827
2025-03,8.898,58.1497
2025-04,4.2879,54.0822
2025-05,27.8941,63.2308
2025-06,65.8775,71.0368
2025-07,61.2231,74.3035
2025-08,57.0349,77.2429
2025-09,92.6947,82.8085
2025-10,101.547,86.4244
2025-11,102.4894,81.8929
2025-12,109.6247,81.1479
2026-01,136.2446,82.5351
