Date,rate_JST-USD_5D,rate_VOO_20D
2020-05,-1.6304,-0.2254
2020-06,-34.0141,1.6438
2020-07,80.4444,6.4719
2020-08,664.8907,12.0007
2020-09,297.1377,6.348
2020-10,124.2905,2.6858
2020-11,121.0041,10.1718
2020-12,95.3006,13.2207
2021-01,153.8047,10.2911
2021-02,254.616,9.013
2021-03,750.4486,13.1001
2021-04,668.4096,17.835
2021-05,397.5121,14.8345
2021-06,255.0728,16.6223
2021-07,229.9734,18.3223
2021-08,356.3644,20.5718
2021-09,283.4183,14.1867
2021-10,357.0014,21.1887
2021-11,301.3127,19.1697
2021-12,222.1557,20.7504
2022-01,144.2518,13.527
2022-02,173.1194,8.045
2022-03,308.613,11.5495
2022-04,219.0217,4.9173
2022-05,187.02,7.063
2022-06,94.2055,-4.8253
2022-07,111.1517,4.0355
2022-08,94.5942,1.8713
2022-09,69.4359,-1.624
2022-10,94.6948,2.4987
2022-11,71.6597,8.0063
2022-12,44.9542,2.9714
2023-01,88.7763,7.9292
2023-02,86.8479,5.1228
2023-03,79.8183,8.1507
2023-04,72.2251,9.6218
2023-05,56.9898,9.8652
2023-06,48.2647,16.9933
2023-07,58.6117,20.3727
2023-08,42.3543,16.9156
2023-09,92.6263,11.2784
2023-10,107.4138,8.5964
2023-11,106.5358,18.1846
2023-12,98.0193,23.4889
2024-01,65.9709,21.6146
2024-02,103.1334,27.4082
2024-03,122.6316,31.249
2024-04,65.2463,26.527
2024-05,54.8365,30.1112
2024-06,45.9665,34.4028
2024-07,31.9086,33.1621
2024-08,55.8974,36.2153
2024-09,45.729,34.2019
2024-10,42.7448,32.3281
2024-11,83.2722,35.4938
2024-12,95.2335,31.1348
2025-01,66.3812,31.6629
2025-02,50.1211,29.0887
2025-03,42.8255,25.2047
2025-04,73.2374,23.8642
