Date,rate_SOXX_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return,sma60_ta,sma240_ta,is_uptrend,Wave_Stage,Elliott_Factor,EMA_Max_Divergence,Normalized_Max_Divergence
2015-01-02 00:00:00,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,
2015-03-03 00:00:00,7.47,4.16,3.31,90.54,14.52,4.88,0.06,,,,,,,
2015-04-29 00:00:00,2.97,3.8,-0.83,65.58,-15.07,4.88,0.0,,,,,,,
2015-06-25 00:00:00,6.34,3.4,2.94,77.93,-22.07,7.09,0.62,,,,,,,
2015-08-21 00:00:00,-13.72,-2.77,-10.95,4.04,-21.33,7.09,0.0,,,,,,,
2015-10-19 00:00:00,-2.92,0.19,-3.11,45.74,14.25,7.09,0.0,,,,,,,
2015-12-15 00:00:00,-0.55,0.99,-1.54,54.1,14.26,7.09,0.0,,,,,,,
2016-02-12 00:00:00,-14.65,-8.03,-6.62,27.07,-8.83,7.09,0.0,,,,,,,
2016-04-12 00:00:00,-0.08,1.51,-1.59,53.83,-0.48,7.09,0.0,,,,,,,
2016-06-08 00:00:00,6.25,4.64,1.61,70.85,43.08,7.09,0.62,,,,,,,
2016-08-04 00:00:00,13.98,6.55,7.43,92.29,37.56,9.03,0.11,,,,,,,
2016-09-30 00:00:00,24.17,6.55,17.62,100.0,0.0,17.62,0.0,,,,,,,
2016-11-28 00:00:00,31.79,8.53,23.26,99.74,4.65,23.35,0.01,,,,,,,
2017-01-26 00:00:00,40.36,12.65,27.71,98.26,-1.74,28.41,0.07,,,,,,,
2017-03-24 00:00:00,47.6,14.65,32.95,100.0,8.1,32.95,0.0,,,,,,,
2017-05-22 00:00:00,56.98,17.16,39.82,99.4,3.37,40.13,0.04,,,,,,,
2017-07-19 00:00:00,62.06,20.55,41.51,90.17,6.18,47.31,0.7,,,,,,,
2017-09-14 00:00:00,63.46,21.78,41.68,90.46,4.2,47.31,0.68,,,,,,,
2017-11-09 00:00:00,86.12,25.33,60.79,95.6,-3.83,64.13,0.43,,,,,,,
2018-01-09 00:00:00,88.89,32.87,56.02,86.5,8.8,66.59,1.35,,,,,,,
2018-03-08 00:00:00,99.29,32.18,67.11,99.46,17.95,67.54,0.05,,,,,,,
2018-05-04 00:00:00,82.9,27.87,55.03,80.46,1.21,71.24,2.09,,,,,,,
2018-07-02 00:00:00,85.36,30.25,55.11,80.55,-16.09,71.24,2.08,,,,,,,
2018-08-28 00:00:00,96.21,38.61,57.6,83.56,0.75,71.24,1.76,,,,,,,
2018-10-24 00:00:00,59.02,26.38,32.64,53.47,-20.57,71.24,9.95,,,,,,,
2018-12-21 00:00:00,51.97,14.29,37.68,59.54,0.49,71.24,5.76,,,,,,,
2019-02-21 00:00:00,85.69,31.47,54.22,79.48,19.12,71.24,2.92,,,,,,,
2019-04-18 00:00:00,112.82,36.81,76.01,99.74,9.66,76.24,0.02,,,,,,,
2019-06-17 00:00:00,82.67,36.1,46.57,64.26,-10.97,78.99,5.65,,,,,,,
2019-08-13 00:00:00,100.98,37.04,63.94,83.41,1.75,78.99,1.31,,,,,,,
2019-10-09 00:00:00,106.1,35.98,70.12,90.22,-6.32,78.99,0.77,,,,,,,
2019-12-05 00:00:00,126.2,45.14,81.06,93.38,-4.99,87.64,0.58,,,,,,,
2020-02-04 00:00:00,146.32,52.49,93.83,91.85,-2.14,103.2,0.84,,,,,,,
2020-04-01 00:00:00,87.32,13.74,73.58,73.48,-15.02,104.36,5.54,,,,,,,
2020-05-29 00:00:00,142.41,40.47,101.94,97.92,8.01,104.36,0.22,,,,,,,
2020-07-27 00:00:00,172.97,48.57,124.4,99.66,2.13,124.86,0.06,,,,,,,
2020-09-22 00:00:00,181.28,51.8,129.48,91.93,-5.26,141.88,1.72,,,,,,,
2020-11-17 00:00:00,225.94,64.37,161.57,98.92,0.46,163.46,0.27,,,,,,,
2021-01-15 00:00:00,278.8,70.52,208.28,97.07,-0.06,214.93,0.97,,,,,,,
2021-03-16 00:00:00,285.68,78.86,206.82,90.24,-9.76,230.46,3.37,,,,,,,
2021-05-12 00:00:00,255.46,82.17,173.29,76.39,-17.89,230.46,16.32,,,,,,,
2021-07-09 00:00:00,304.04,94.62,209.42,91.31,1.41,230.46,3.0,,,,,,,
2021-09-03 00:00:00,324.6,101.38,223.22,97.01,-0.55,230.46,1.03,,,,,,,
2021-11-01 00:00:00,331.34,103.4,227.94,98.74,11.41,231.01,0.44,,,,,,,
2021-12-29 00:00:00,390.0,110.49,279.51,98.38,-0.06,284.32,0.69,,,,,,,
2022-02-25 00:00:00,321.18,91.86,229.32,81.42,7.8,284.32,7.92,,,,,,,
2022-04-25 00:00:00,265.63,86.8,178.83,64.37,-16.89,284.32,20.26,,,,,,,
2022-06-22 00:00:00,212.45,63.12,149.33,54.4,-8.73,284.32,25.93,,,,,,,
2022-08-18 00:00:00,260.81,84.98,175.83,63.35,0.53,284.32,20.84,,,,,,,
2022-10-14 00:00:00,160.16,53.85,106.31,39.87,-10.56,284.32,34.19,,,,,,,
2022-12-12 00:00:00,210.64,70.93,139.71,51.15,0.31,284.32,27.78,,,,,,,
2023-02-09 00:00:00,237.17,73.66,163.51,59.19,8.0,284.32,23.21,,,,,,,
2023-04-10 00:00:00,239.13,73.97,165.16,59.75,2.46,284.32,68.66,,,,,,,
2023-06-06 00:00:00,273.11,81.01,192.1,68.85,13.1,284.32,53.14,,,,,,,
2023-08-03 00:00:00,292.61,88.91,203.7,72.77,3.0,284.32,46.45,,,,,,,
2023-09-29 00:00:00,263.18,79.47,183.71,66.01,-5.79,284.32,57.98,,,,,,,
2023-11-27 00:00:00,289.09,90.05,199.04,71.19,9.99,284.32,49.15,,,,,,,
