Date,rate_ASTS_5D,rate_VOO_20D
2019-11,0.4872,3.4057
2019-12,0.8111,6.5543
2020-01,2.1285,6.5044
2020-02,1.3682,-5.225
2020-03,-1.0177,-21.0599
2020-04,-0.2896,-7.3455
2020-05,-0.4057,-2.0572
2020-06,1.6765,-0.3348
2020-07,2.4149,6.5419
2020-08,1.3703,15.1806
2020-09,0.9462,8.9234
2020-10,0.6761,4.6932
2020-11,1.3749,18.5239
2020-12,35.5704,23.0751
2021-01,34.775,21.5346
2021-02,35.3311,24.69
2021-03,11.866,30.6397
2021-04,-16.2203,37.9178
2021-05,-29.8616,37.857
2021-06,28.2907,40.4479
2021-07,5.7798,43.3751
2021-08,20.5539,47.2216
2021-09,4.8952,37.8414
2021-10,8.3643,48.3848
2021-11,-3.9657,45.8814
2021-12,-23.0566,52.6265
2022-01,-43.5937,41.9417
2022-02,-28.8563,35.8296
2022-03,1.5164,41.0827
2022-04,-23.4703,25.2569
2022-05,-14.8276,24.8629
2022-06,-35.2103,11.5198
2022-07,-26.3299,23.739
2022-08,27.0514,16.7606
2022-09,-23.8662,2.8261
2022-10,-23.0549,12.974
2022-11,-37.8631,20.188
2022-12,-47.147,11.0675
2023-01,-41.0114,19.7927
2023-02,-28.3671,15.4553
2023-03,-42.6628,20.1874
2023-04,-38.8404,21.9131
2023-05,-36.295,22.0037
2023-06,-44.0083,31.1136
2023-07,-47.8965,35.6093
2023-08,-51.3327,32.1826
2023-09,-51.7392,23.8544
2023-10,-56.8773,19.9427
2023-11,-35.4172,32.9271
2023-12,-19.0731,39.5687
2024-01,-61.2196,42.2571
2024-02,-55.8612,50.2772
2024-03,-58.579,55.2196
2024-04,-67.2881,46.9639
2024-05,25.8017,54.9109
2024-06,75.5808,60.5132
2024-07,210.0936,61.7298
2024-08,329.9011,65.3117
2024-09,287.1711,69.5228
2024-10,248.0406,66.6416
2024-11,243.6863,77.0713
2024-12,200.9437,71.217
2025-01,188.6991,76.5805
2025-02,282.1066,72.9382
2025-03,216.7345,60.7014
2025-04,219.7121,58.2747
2025-05,214.2776,69.0871
2025-06,529.0143,78.2981
2025-07,606.2851,81.97
2025-08,541.5718,85.2633
2025-09,543.4057,92.8377
2025-10,937.8658,96.9449
2025-11,617.3308,96.2522
2025-12,815.274,95.2689
2026-01,1302.7923,99.7382
