Date,rate_WDC_5D,rate_VOO_20D
2016-01,0.0,0.7475
2016-02,-16.6926,0.3631
2016-03,-5.9478,6.1635
2016-04,-16.0868,4.8532
2016-05,-0.4474,5.5092
2016-06,1.6817,4.9516
2016-07,1.2597,8.0529
2016-08,-0.4943,7.2728
2016-09,25.7822,6.525
2016-10,23.2741,4.0384
2016-11,27.6313,7.3996
2016-12,35.1395,9.0221
2017-01,54.5108,10.0556
2017-02,45.5055,13.4646
2017-03,53.9177,12.6934
2017-04,62.6629,13.0265
2017-05,61.0088,13.8264
2017-06,55.9604,13.7461
2017-07,46.8577,15.2839
2017-08,49.9161,14.8547
2017-09,45.2323,16.4705
2017-10,48.0184,18.391
2017-11,28.9864,21.1572
2017-12,29.5091,21.8357
2018-01,43.4851,27.5767
2018-02,31.6887,19.4887
2018-03,38.1427,15.9328
2018-04,30.9951,14.9578
2018-05,34.033,17.1859
2018-06,23.9288,17.444
2018-07,11.5293,20.9505
2018-08,0.4491,24.1299
2018-09,-6.1091,24.1209
2018-10,-30.7789,14.1084
2018-11,-26.4754,15.0224
2018-12,-38.7224,4.4886
2019-01,-24.3329,12.5608
2019-02,-14.8515,15.8612
2019-03,-17.9973,17.612
2019-04,-17.3144,21.8639
2019-05,-38.8406,16.0646
2019-06,-20.3384,19.9808
2019-07,-9.6357,21.2252
2019-08,-8.2638,18.3328
2019-09,-8.1207,20.1882
2019-10,-20.1887,20.3259
2019-11,-21.7771,24.2116
2019-12,-0.711,27.349
2020-01,2.8977,26.2815
2020-02,-1.728,19.8213
2020-03,-11.1969,15.7478
2020-04,0.1616,30.3559
2020-05,-9.8169,35.9447
2020-06,-12.3727,35.2146
2020-07,-14.3334,39.5903
2020-08,-23.4585,48.5304
2020-09,-26.7748,40.6583
2020-10,-26.6604,35.284
2020-11,-18.5412,43.8758
2020-12,-6.7834,48.4488
2021-01,-6.2967,45.6177
2021-02,12.617,42.6536
2021-03,5.5302,44.2697
2021-04,5.2551,51.1309
2021-05,3.6119,46.9645
2021-06,-2.0423,49.5312
2021-07,-10.5772,52.4159
2021-08,-17.0565,56.1018
2021-09,-26.2954,48.0813
2021-10,-31.3928,56.0144
2021-11,-23.7324,53.5374
2021-12,-18.6289,55.8343
2022-01,-24.7223,46.4571
2022-02,-28.1629,38.1483
2022-03,-29.6699,42.2675
2022-04,-24.3954,34.5494
2022-05,-18.3902,36.0289
2022-06,-26.007,21.1749
2022-07,-19.8195,31.8752
2022-08,-30.7823,26.0562
2022-09,-46.115,14.2993
2022-10,-42.802,23.2183
2022-11,-38.3345,29.7022
2022-12,-44.4524,24.5108
2023-01,-26.1662,29.2932
2023-02,-29.9088,25.9536
2023-03,-26.5991,29.4041
2023-04,-35.1858,31.1074
2023-05,-25.7071,31.3785
2023-06,-26.9907,39.5074
2023-07,-17.8033,43.6112
2023-08,-18.7505,39.288
2023-09,-17.7077,32.2789
2023-10,-22.6627,29.0551
2023-11,-11.6901,40.4823
2023-12,-4.1438,46.4584
2024-01,4.7957,48.2956
2024-02,2.8811,55.4714
2024-03,16.6535,59.9707
2024-04,20.7213,54.3559
2024-05,22.3476,58.7198
2024-06,22.8551,63.7565
2024-07,13.6848,62.4775
2024-08,16.2207,65.2821
2024-09,20.8808,63.7333
2024-10,10.6877,61.5953
2024-11,9.9752,70.4058
2024-12,-10.227,65.7986
2025-01,-1.9442,69.6123
2025-02,-1.2666,66.3646
2025-03,-13.2304,60.3871
2025-04,3.028,59.1236
2025-05,20.9878,68.5307
2025-06,33.8414,76.5585
2025-07,43.3645,79.9077
2025-08,37.5785,82.9229
2025-09,105.287,88.6543
2025-10,131.4704,92.3724
2025-11,150.442,92.0168
2025-12,162.984,91.3981
2026-01,226.3206,92.8862
