Date,rate_OKE_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-03-03,-1.61,4.16,-5.77,43.67,-45.07,1.79,1.75,0.0
2015-04-29,5.64,3.8,1.84,71.19,-28.81,7.29,1.47,-0.05
2015-06-25,-14.48,3.4,-17.88,5.48,5.48,7.29,1.88,0.0
2015-08-21,-25.44,-2.77,-22.67,13.68,12.5,7.29,2.26,0.0
2015-10-19,-15.79,0.19,-15.98,32.96,2.45,7.29,2.38,0.0
2015-12-15,-52.7,0.99,-53.69,1.53,-4.88,7.29,2.71,0.0
2016-02-12,-54.6,-8.03,-46.57,16.33,-4.53,7.29,2.8,0.0
2016-04-12,-26.41,1.51,-27.92,45.3,12.55,7.29,2.74,0.0
2016-06-08,4.03,4.64,-0.61,87.73,16.77,7.29,2.41,0.0
2016-08-04,2.46,6.55,-4.09,82.32,-12.21,7.29,2.29,0.0
2016-09-30,16.92,6.55,10.37,100.0,10.64,10.37,2.1,-0.02
2016-11-28,19.96,8.53,11.43,96.49,4.83,13.92,1.96,-0.01
2017-01-26,24.3,12.65,11.65,86.23,-13.77,22.63,1.87,-0.03
2017-03-24,19.78,14.65,5.13,78.05,1.55,22.63,1.85,-0.02
2017-05-22,16.2,17.16,-0.96,70.41,-7.74,22.63,1.69,0.0
2017-07-19,22.1,20.55,1.55,73.55,17.68,22.63,1.56,-0.19
2017-09-14,27.3,21.78,5.52,78.53,15.61,22.63,1.47,-0.32
2017-11-09,18.26,25.33,-7.07,62.74,-11.73,22.63,1.35,0.0
2018-01-09,25.76,32.87,-7.11,62.69,4.23,22.63,1.29,0.0
2018-03-08,25.6,32.18,-6.58,63.35,-3.84,22.63,1.24,0.0
2018-05-04,40.33,27.87,12.46,87.24,14.89,22.63,1.24,0.22
2018-07-02,51.75,30.25,21.5,96.56,1.35,24.3,1.24,0.2
2018-08-28,47.81,38.61,9.2,80.95,-13.55,24.8,1.24,0.54
2018-10-24,39.11,26.38,12.73,85.26,1.45,24.8,1.24,0.57
2018-12-21,17.39,14.29,3.1,73.5,-4.75,24.8,1.21,0.45
2019-02-21,47.19,31.47,15.72,88.91,5.59,24.8,1.21,0.46
2019-04-18,49.46,36.81,12.65,85.16,-5.08,24.8,1.2,0.75
2019-06-17,39.55,36.1,3.45,73.93,-10.94,24.8,1.18,0.93
2019-08-13,49.3,37.04,12.26,84.68,2.69,24.8,1.17,1.03
2019-10-09,46.44,35.98,10.46,82.49,-9.16,24.8,1.17,1.26
2019-12-05,50.85,45.14,5.71,76.69,-2.27,24.8,1.14,1.51
2020-02-04,58.45,52.49,5.96,76.99,-8.38,24.8,1.13,1.68
2020-04-01,-59.1,13.74,-72.84,5.63,-69.57,24.8,1.16,0.0
2020-05-29,-21.62,40.47,-62.09,16.02,8.25,24.8,1.22,0.0
2020-07-27,-39.9,48.57,-88.47,0.18,-5.3,24.8,1.32,0.0
2020-09-22,-44.51,51.8,-96.31,6.49,6.49,24.8,1.46,0.0
2020-11-17,-36.4,64.37,-100.77,3.04,-1.18,24.8,1.62,0.0
2021-01-15,-19.93,70.52,-90.45,11.01,2.79,24.8,1.82,0.0
2021-03-16,-11.1,78.86,-89.96,11.39,3.58,24.8,2.03,0.0
2021-05-12,-6.19,82.17,-88.36,12.62,3.77,24.8,2.36,0.0
2021-07-09,1.79,94.62,-92.83,9.17,-0.32,24.8,2.79,0.0
2021-09-03,-5.13,101.38,-106.51,0.92,-0.11,24.8,3.51,0.0
2021-11-01,12.44,103.4,-90.96,12.65,-5.16,24.8,4.53,0.0
2021-12-29,3.76,110.49,-106.73,0.75,-8.13,24.8,1.52,0.0
2022-02-25,12.09,91.86,-79.77,21.1,2.9,24.8,1.95,0.0
2022-04-25,15.59,86.8,-71.21,27.56,1.04,24.8,2.19,0.0
2022-06-22,-4.64,63.12,-67.76,30.16,-4.7,24.8,2.53,0.0
2022-08-18,12.21,84.98,-72.77,26.38,-2.1,24.8,2.21,0.0
2022-10-14,-4.28,53.85,-58.13,37.43,2.4,24.8,2.05,0.0
2022-12-12,14.75,70.93,-56.18,38.9,1.62,24.8,1.93,0.0
2023-02-09,17.84,73.66,-55.82,39.17,-6.1,24.8,1.79,0.0
2023-04-10,14.63,73.97,-59.34,36.51,-5.33,24.8,1.68,0.0
2023-06-06,3.69,81.01,-77.32,22.95,-9.72,24.8,1.56,0.0
2023-08-03,14.27,88.91,-74.64,24.97,3.4,24.8,1.46,0.0
2023-09-29,10.14,79.47,-69.33,28.97,5.42,24.8,1.4,0.0
2023-11-27,16.11,90.05,-73.94,25.5,-11.47,24.8,1.31,0.0
2024-01-25,20.85,103.14,-82.29,19.2,-4.66,24.8,1.28,0.0
2024-03-22,34.64,115.96,-81.32,19.93,3.41,24.8,1.31,0.0
2024-05-20,40.21,118.46,-78.25,22.24,-5.87,24.8,1.35,0.0
2024-07-18,41.02,126.6,-85.58,16.71,3.15,24.8,1.4,0.0
2024-09-13,53.23,129.28,-76.05,23.9,2.8,24.8,1.44,0.0
2024-10-22,62.33,136.39,-74.06,25.41,0.18,24.8,1.47,0.0
