Date,rate_ABT_5D,rate_VOO_20D
2015-01-02,0.0,0.0
2015-03-03,5.04,4.16
2015-04-29,5.73,4.33
2015-06-25,10.42,4.4
2015-08-21,5.78,-1.85
2015-10-19,-4.76,1.66
2015-12-15,2.96,2.44
2016-02-12,-15.48,-6.18
2016-04-12,-2.41,4.06
2016-06-08,-10.61,7.23
2016-08-04,3.61,9.68
2016-09-30,-2.2,10.15
2016-11-28,-9.76,12.13
2017-01-26,-3.81,17.06
2017-03-24,4.99,19.63
2017-05-22,3.21,22.18
2017-07-19,17.1,26.22
2017-09-14,22.16,27.43
2017-11-09,31.24,31.74
2018-01-09,38.92,40.26
2018-03-08,45.93,39.45
2018-05-04,38.66,35.44
2018-07-02,43.35,38.51
2018-08-28,57.28,47.37
2018-10-24,57.42,34.89
2018-12-21,57.33,22.56
2019-02-21,75.61,40.89
2019-04-18,72.42,47.33
2019-06-17,90.25,46.47
2019-08-13,100.94,48.14
2019-10-09,82.74,47.59
2019-12-05,95.52,57.43
2020-02-04,101.98,66.08
2020-04-01,74.33,24.36
2020-05-29,116.32,53.53
2020-07-27,127.31,63.11
2020-09-22,136.62,66.54
2020-11-17,154.34,80.97
2021-01-15,149.66,88.39
2021-03-16,163.26,97.48
2021-05-12,158.21,101.72
2021-07-09,163.95,116.12
2021-09-03,183.29,123.5
2021-11-01,182.43,126.35
2021-12-29,208.17,135.04
2022-02-25,166.23,114.12
2022-04-25,160.34,109.06
2022-06-22,127.29,82.44
2022-08-18,136.65,107.6
2022-10-14,116.96,73.3
2022-12-12,134.09,92.41
2023-02-09,130.73,96.29
2023-04-10,120.2,97.31
2023-06-06,117.77,105.16
2023-08-03,128.03,114.82
2023-09-29,104.82,104.81
2023-11-27,117.34,116.73
2024-01-25,137.82,132.47
2024-03-22,132.52,147.79
2024-05-20,116.96,150.52
2024-07-18,110.41,160.64
2024-09-13,143.44,163.58
2024-11-08,143.67,179.86
2024-11-13,141.89,179.47
