Date,rate_160580.KS_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,6.2947,-0.6039
2016-03,3.7247,5.2168
2016-04,1.5244,3.9893
2016-05,0.3116,4.6886
2016-06,-1.5053,4.1237
2016-07,-2.7803,7.1795
2016-08,-7.6376,6.3603
2016-09,-4.6872,5.6281
2016-10,-2.0397,3.196
2016-11,19.3559,6.7601
2016-12,17.4445,8.7294
2017-01,18.0461,10.2536
2017-02,13.9322,13.6522
2017-03,11.5753,12.7005
2017-04,9.2972,12.9818
2017-05,6.2664,13.693
2017-06,13.8115,13.5288
2017-07,18.0127,15.0481
2017-08,26.0934,14.5515
2017-09,19.0291,16.1037
2017-10,24.1308,17.9557
2017-11,17.6552,20.6805
2017-12,20.7248,21.7205
2018-01,19.1655,28.0338
2018-02,17.9522,22.1441
2018-03,10.5503,18.3021
2018-04,13.4767,18.0902
2018-05,13.9623,20.2208
2018-06,15.0655,20.3415
2018-07,6.5793,23.8746
2018-08,2.9608,27.0072
2018-09,5.5643,27.7347
2018-10,6.7428,18.1437
2018-11,7.4101,19.7418
2018-12,1.2643,7.6149
2019-01,3.0867,17.1263
2019-02,10.4476,20.3748
2019-03,10.764,22.0514
2019-04,12.1041,26.2651
2019-05,4.3785,17.5943
2019-06,3.6206,25.308
2019-07,5.4034,26.4355
2019-08,2.9647,23.7232
2019-09,2.6523,26.1617
2019-10,1.9974,28.2707
2019-11,3.2119,32.1761
2019-12,6.7086,34.9801
2020-01,-0.5716,35.2749
2020-02,-1.7583,23.5454
2020-03,-12.734,7.7105
2020-04,-6.2164,22.4927
2020-05,-2.839,26.7132
2020-06,6.3647,28.4357
2020-07,13.3874,35.3124
2020-08,17.0638,43.9511
2020-09,11.7195,36.6478
2020-10,10.7846,33.4637
2020-11,21.0275,47.2943
2020-12,23.1328,51.038
2021-01,24.6806,50.305
2021-02,56.5186,53.4604
2021-03,42.9628,59.4101
2021-04,58.9644,66.6882
2021-05,64.0536,66.6274
2021-06,49.0568,69.2184
2021-07,53.3113,72.1455
2021-08,49.4485,75.992
2021-09,47.7804,66.6118
2021-10,55.7881,77.1553
2021-11,52.7897,74.6519
2021-12,51.1301,81.8936
2022-01,54.6836,67.6501
2022-02,58.6721,64.6001
2022-03,65.3439,69.8532
2022-04,62.616,54.0273
2022-05,54.694,53.6333
2022-06,42.0189,40.2902
2022-07,30.3167,52.5094
2022-08,36.6278,45.531
2022-09,38.8911,31.5965
2022-10,37.825,41.7445
2022-11,34.9309,48.9584
2022-12,35.9515,40.2209
2023-01,42.1074,48.5632
2023-02,45.7529,44.2258
2023-03,47.5678,48.9578
2023-04,42.9348,50.6836
2023-05,33.8368,50.7741
2023-06,34.6978,59.884
2023-07,35.3896,64.0636
2023-08,38.6409,60.953
2023-09,38.2807,52.105
2023-10,36.076,48.7132
2023-11,33.6971,61.6976
2023-12,37.9803,68.7872
2024-01,38.2538,71.0275
2024-02,34.2877,79.0476
2024-03,44.3661,83.99
2024-04,69.482,75.7344
2024-05,70.2955,83.6813
2024-06,57.9978,89.2836
2024-07,47.3987,90.5002
2024-08,45.0163,94.0822
2024-09,52.5915,98.2932
2024-10,52.7909,95.412
2024-11,45.6083,105.8418
2024-12,52.0676,100.7927
2025-01,53.8473,105.351
2025-02,58.4136,101.7087
2025-03,68.3883,89.4719
2025-04,56.5564,87.0451
2025-05,52.3128,97.8575
2025-06,59.3122,107.0685
2025-07,51.4528,110.7404
2025-08,51.1429,114.0337
2025-09,60.269,121.6081
2025-10,73.0197,125.7153
2025-11,74.8794,125.0226
2025-12,95.4371,125.6713
2026-01,99.167,127.5807
