Date,rate_KKR_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-03-03,-0.15,4.16,-4.31,20.28,-45.27,5.28,2.21,0.0
2015-04-29,-1.12,3.8,-4.92,19.11,2.32,5.28,2.58,0.0
2015-06-25,-0.99,3.4,-4.39,27.13,18.24,5.28,3.04,0.0
2015-08-21,-16.78,-2.77,-14.01,0.62,-61.47,5.28,2.41,0.0
2015-10-19,-26.26,0.19,-26.45,0.0,-7.36,5.28,2.55,0.0
2015-12-15,-35.9,0.99,-36.89,2.43,-12.23,5.28,2.51,0.0
2016-02-12,-42.44,-8.03,-34.41,8.17,-0.62,5.28,2.58,0.0
2016-04-12,-41.18,1.51,-42.69,0.04,-0.2,5.28,2.76,0.0
2016-06-08,-39.84,4.64,-44.48,0.0,0.0,5.28,2.72,0.0
2016-08-04,-38.42,6.55,-44.97,4.58,4.22,5.28,2.61,0.0
2016-09-30,-39.6,6.55,-46.15,2.34,-2.67,5.28,2.6,0.0
2016-11-28,-35.38,8.53,-43.91,7.21,-0.75,5.28,2.46,0.0
2017-01-26,-26.62,12.65,-39.27,15.96,9.81,5.28,2.39,0.0
2017-03-24,-24.94,14.65,-39.59,15.36,4.42,5.28,2.0,0.0
2017-05-22,-22.26,17.16,-39.42,15.68,8.62,5.28,1.85,0.0
2017-07-19,-19.81,20.55,-40.36,13.9,3.37,5.28,2.03,0.0
2017-09-14,-22.09,21.78,-43.87,7.28,-0.23,5.28,1.92,0.0
2017-11-09,-19.05,25.33,-44.38,6.32,-6.22,5.28,1.82,0.0
2018-01-09,-7.59,32.87,-40.46,13.71,10.14,5.28,1.87,0.0
2018-03-08,-9.44,32.18,-41.62,11.53,-5.81,5.28,1.71,0.0
2018-05-04,-6.06,27.87,-33.93,26.03,14.99,5.28,1.57,0.0
2018-07-02,4.49,30.25,-25.76,41.45,26.13,5.28,1.45,0.0
2018-08-28,5.81,38.61,-32.8,28.16,-14.62,5.28,1.87,0.0
2018-10-24,-9.4,26.38,-35.78,22.54,-17.47,5.28,2.04,0.0
2018-12-21,-20.53,14.29,-34.82,24.35,3.79,5.28,1.93,0.0
2019-02-21,-3.61,31.47,-35.08,23.86,-2.95,5.28,1.83,0.0
2019-04-18,-3.19,36.81,-40.0,14.58,-9.49,5.28,1.79,0.0
2019-06-17,-4.03,36.1,-40.13,14.34,-10.56,5.28,1.73,0.0
2019-08-13,1.41,37.04,-35.63,22.83,-0.18,5.28,1.64,0.0
2019-10-09,5.72,35.98,-30.26,32.96,1.74,5.28,1.64,0.0
2019-12-05,16.0,45.14,-29.14,35.07,-5.28,5.28,1.59,0.0
2020-02-04,28.42,52.49,-24.07,44.63,19.79,5.28,1.51,0.0
2020-04-01,-10.42,13.74,-24.16,44.46,7.05,5.28,1.5,0.0
2020-05-29,10.78,40.47,-29.69,34.03,5.85,5.28,1.47,0.0
2020-07-27,37.64,48.57,-10.93,69.42,19.96,5.28,1.49,0.0
2020-09-22,35.17,51.8,-16.63,58.67,9.02,5.28,1.62,0.0
2020-11-17,46.73,64.37,-17.64,56.76,-11.34,5.28,1.68,0.0
2021-01-15,56.05,70.52,-14.47,62.74,-1.25,5.28,1.59,0.0
2021-03-16,84.79,78.86,5.93,97.55,3.4,7.28,1.53,-0.24
2021-05-12,102.18,82.17,20.01,87.47,-12.53,29.71,1.85,-0.04
2021-07-09,118.7,94.62,24.08,88.41,2.74,33.49,1.69,-0.15
2021-09-03,136.12,101.38,34.74,83.73,-16.27,50.76,1.58,-0.19
2021-11-01,180.84,103.4,77.44,94.02,14.42,85.4,1.48,-0.07
2021-12-29,168.88,110.49,58.39,74.05,-6.82,95.57,1.39,0.41
2022-02-25,120.29,91.86,28.43,53.15,-14.22,95.57,1.36,1.74
2022-04-25,91.42,86.8,4.62,36.53,-6.3,95.57,1.35,5.18
2022-06-22,65.78,63.12,2.66,35.16,-8.39,95.57,1.37,6.1
2022-08-18,99.2,84.98,14.22,43.23,-0.84,95.57,1.4,5.37
2022-10-14,61.17,53.85,7.32,38.42,0.29,95.57,1.43,3.8
2022-12-12,67.72,70.93,-3.21,31.07,-11.34,95.57,1.48,0.0
2023-02-09,87.38,73.66,13.72,42.88,5.78,95.57,1.55,1.65
2023-04-10,67.89,73.97,-6.08,29.06,-6.84,95.57,1.62,0.0
2023-06-06,77.72,81.01,-3.29,31.01,4.79,95.57,1.67,0.0
2023-08-03,88.89,88.91,-0.02,33.29,6.74,95.57,1.74,0.0
2023-09-29,94.42,79.47,14.95,43.74,4.57,95.57,1.64,0.5
2023-11-27,112.43,90.05,22.38,48.93,13.61,95.57,1.2,5.28
2024-01-25,152.3,103.14,49.16,67.61,1.81,95.57,1.2,3.02
2024-03-22,189.39,115.96,73.43,84.55,4.54,95.57,1.56,0.28
2024-05-20,197.91,118.46,79.45,88.75,9.09,95.57,1.74,0.04
2024-07-18,220.93,126.6,94.33,99.13,6.26,95.57,1.67,0.12
2024-09-13,238.31,129.28,109.03,95.52,1.36,116.38,1.64,0.16
2024-10-24,287.34,135.48,151.86,100.0,3.48,151.86,1.62,0.2
