Date,rate_COF_5D,rate_VOO_20D
2016-01,-0.2461,0.7475
2016-02,1.31,0.3631
2016-03,5.2908,6.1635
2016-04,8.0888,4.8532
2016-05,8.5492,5.5092
2016-06,-1.7767,4.9516
2016-07,1.9549,8.0529
2016-08,9.1291,7.2728
2016-09,8.5818,6.525
2016-10,10.8381,4.0384
2016-11,17.1006,7.3996
2016-12,19.9173,9.0221
2017-01,18.5522,10.0556
2017-02,26.2981,13.4646
2017-03,15.0522,12.6934
2017-04,6.0761,13.0265
2017-05,1.5948,13.8264
2017-06,8.8429,13.7461
2017-07,12.9916,15.2839
2017-08,4.314,14.8547
2017-09,10.6536,16.4705
2017-10,19.8821,18.391
2017-11,19.3319,21.1572
2017-12,28.2353,21.8357
2018-01,32.5153,27.5767
2018-02,24.3309,19.4887
2018-03,19.7627,15.9328
2018-04,11.2223,14.9578
2018-05,15.3706,17.1859
2018-06,12.2719,17.444
2018-07,14.6813,20.9505
2018-08,20.3612,24.1299
2018-09,14.8682,24.1209
2018-10,6.6146,14.1084
2018-11,7.294,15.0224
2018-12,-9.7035,4.4886
2019-01,-3.5419,12.5608
2019-02,0.592,15.8612
2019-03,-3.4841,17.612
2019-04,6.6842,21.8639
2019-05,0.1251,16.0646
2019-06,0.8945,19.9808
2019-07,2.6977,21.2252
2019-08,-1.2892,18.3328
2019-09,3.6529,20.1882
2019-10,6.1693,20.3259
2019-11,14.1282,24.2116
2019-12,17.1422,27.349
2020-01,12.7898,26.2815
2020-02,5.7209,19.8213
2020-03,-5.7531,15.7478
2020-04,12.5693,30.3559
2020-05,18.8888,35.9447
2020-06,19.674,35.2146
2020-07,21.2959,39.5903
2020-08,22.3423,48.5304
2020-09,21.8046,40.6583
2020-10,17.0424,35.284
2020-11,25.2838,43.8758
2020-12,35.2705,48.4488
2021-01,39.7059,45.6177
2021-02,48.6222,42.6536
2021-03,56.7926,44.2697
2021-04,76.5314,51.1309
2021-05,89.5757,46.9645
2021-06,81.1761,49.5312
2021-07,87.9312,52.4159
2021-08,92.9659,56.1018
2021-09,87.0186,48.0813
2021-10,73.2184,56.0144
2021-11,60.7859,53.5374
2021-12,61.6869,55.8343
2022-01,62.0204,46.4571
2022-02,56.6783,38.1483
2022-03,45.437,42.2675
2022-04,40.6408,34.5494
2022-05,44.9336,36.0289
2022-06,19.595,21.1749
2022-07,23.148,31.8752
2022-08,19.0011,26.0562
2022-09,3.4439,14.2993
2022-10,18.8096,23.2183
2022-11,12.2438,29.7022
2022-12,9.632,24.5108
2023-01,39.5583,29.2932
2023-02,33.5354,25.9536
2023-03,31.4001,29.4041
2023-04,32.5334,31.1074
2023-05,36.7199,31.3785
2023-06,43.0117,39.5074
2023-07,47.5093,43.6112
2023-08,37.6672,39.288
2023-09,30.9328,32.2789
2023-10,25.3645,29.0551
2023-11,38.4303,40.4823
2023-12,62.0397,46.4584
2024-01,66.512,48.2956
2024-02,65.3437,55.4714
2024-03,75.2121,59.9707
2024-04,60.7684,54.3559
2024-05,54.4169,58.7198
2024-06,54.7414,63.7565
2024-07,68.6198,62.4775
2024-08,57.0967,65.2821
2024-09,49.4166,63.7333
2024-10,61.9259,61.5953
2024-11,82.3971,70.4058
2024-12,77.6095,65.7986
2025-01,96.04,69.6123
2025-02,89.5495,66.3646
2025-03,83.596,60.3871
2025-04,73.2299,59.1236
2025-05,81.6449,68.5307
2025-06,96.4059,76.5585
2025-07,97.4827,79.9077
2025-08,104.3347,82.9229
2025-09,90.3586,88.6543
2025-10,96.1826,92.3724
2025-11,95.2669,92.0168
2025-12,115.142,91.3981
2026-01,104.4902,93.9446
