Date,rate_MS_5D,rate_VOO_20D
2016-01,-17.1675,-3.28
2016-02,-15.2378,-2.376
2016-03,-11.6639,4.071
2016-04,-1.8611,3.4463
2016-05,-0.5597,4.5141
2016-06,-5.5688,4.1644
2016-07,5.8868,7.3333
2016-08,17.4598,6.6525
2016-09,15.7604,6.013
2016-10,20.4215,3.6115
2016-11,46.1673,7.182
2016-12,45.5209,8.8567
2017-01,43.6121,10.0774
2017-02,51.1398,13.6125
2017-03,38.6589,12.8284
2017-04,38.7172,13.2286
2017-05,31.4047,14.0432
2017-06,38.3592,13.9758
2017-07,44.212,15.5728
2017-08,37.8478,15.1519
2017-09,44.0072,16.7674
2017-10,48.1333,18.6971
2017-11,50.8497,21.4906
2017-12,51.2599,22.1742
2018-01,61.5827,28.0253
2018-02,57.7463,22.3109
2018-03,50.0778,18.5822
2018-04,42.7026,18.439
2018-05,37.2258,20.6342
2018-06,28.5617,20.8295
2018-07,36.9251,24.4195
2018-08,31.2019,27.64
2018-09,24.2892,27.5571
2018-10,21.9789,18.148
2018-11,17.9892,19.8158
2018-12,4.9645,8.7803
2019-01,12.5397,17.0692
2019-02,11.4073,20.3898
2019-03,11.6715,22.1512
2019-04,27.977,26.4471
2019-05,7.4802,17.8766
2019-06,15.4887,25.6026
2019-07,18.0067,26.8029
2019-08,9.6475,24.165
2019-09,12.5633,26.0707
2019-10,22.1393,28.2682
2019-11,30.6116,32.2632
2019-12,34.2941,35.5066
2020-01,37.4502,34.7146
2020-02,17.852,23.2206
2020-03,-11.1853,7.5857
2020-04,4.2409,21.2139
2020-05,16.7738,26.5664
2020-06,27.1984,28.3643
2020-07,29.1681,35.3077
2020-08,37.4793,44.0007
2020-09,26.6228,37.8818
2020-10,26.6004,33.7409
2020-11,61.771,47.6567
2020-12,78.0772,52.3191
2021-01,73.9154,49.9619
2021-02,97.9353,53.2489
2021-03,98.3745,59.3139
2021-04,110.0947,66.7128
2021-05,129.5776,66.7978
2021-06,129.4722,69.5264
2021-07,139.9141,72.593
2021-08,158.7615,76.58
2021-09,139.0514,67.3306
2021-10,152.0644,78.0118
2021-11,130.5945,75.6346
2021-12,136.8387,82.5203
2022-01,147.0922,71.9304
2022-02,116.9524,65.8784
2022-03,107.5517,71.2418
2022-04,91.7906,55.3862
2022-05,103.6415,55.0693
2022-06,78.7289,41.677
2022-07,98.7385,54.0588
2022-08,99.6681,47.0803
2022-09,84.0209,33.1115
2022-10,92.0752,43.3799
2022-11,116.1687,50.707
2022-12,96.2688,41.5455
2023-01,125.084,49.9054
2023-02,121.7093,45.6128
2023-03,100.5177,50.431
2023-04,106.0675,52.2262
2023-05,86.2911,52.3734
2023-06,93.5668,61.6123
2023-07,108.2952,66.208
2023-08,92.681,62.8182
2023-09,83.8756,54.4786
2023-10,60.6623,50.5707
2023-11,79.2036,63.7242
2023-12,109.5437,70.5007
2024-01,96.9137,72.5028
2024-02,93.252,80.6678
2024-03,110.4135,85.7322
2024-04,103.8489,77.499
2024-05,118.3858,85.5862
2024-06,115.8012,91.319
2024-07,129.9678,92.6342
2024-08,129.6471,96.3435
2024-09,129.8509,99.6776
2024-10,156.936,96.8805
2024-11,189.1361,107.4927
2024-12,174.5657,101.7132
2025-01,202.5363,106.1747
2025-02,189.192,102.6383
2025-03,152.0823,90.4787
2025-04,150.0464,88.1311
2025-05,175.7988,99.0692
2025-06,201.7013,108.4087
2025-07,205.4885,112.1972
2025-08,220.8595,115.6241
2025-09,236.9418,122.2463
2025-10,247.6656,126.4867
2025-11,257.5069,125.9202
2025-12,271.8465,125.0582
2026-01,272.6564,126.4133
