Date,rate_SPGI_5D,rate_VOO_20D
2016-01,0.0,0.7475
2016-02,6.286,0.3631
2016-03,14.4623,6.1635
2016-04,20.1876,4.8532
2016-05,22.5027,5.5092
2016-06,14.1292,4.9516
2016-07,27.2883,8.0529
2016-08,26.0208,7.2728
2016-09,26.2906,6.525
2016-10,19.6615,4.0384
2016-11,15.0447,7.3996
2016-12,3.7586,9.0221
2017-01,14.8802,10.0556
2017-02,23.0659,13.4646
2017-03,22.7514,12.6934
2017-04,24.549,13.0265
2017-05,31.3933,13.8264
2017-06,32.5581,13.7461
2017-07,37.5542,15.2839
2017-08,36.7305,14.8547
2017-09,36.7863,16.4705
2017-10,35.2725,18.391
2017-11,41.6878,21.1572
2017-12,43.2871,21.8357
2018-01,51.2042,27.5767
2018-02,53.3137,19.4887
2018-03,49.2675,15.9328
2018-04,45.2025,14.9578
2018-05,50.72,17.1859
2018-06,53.7757,17.444
2018-07,49.4222,20.9505
2018-08,53.1094,24.1299
2018-09,43.0167,24.1209
2018-10,29.1367,14.1084
2018-11,28.3692,15.0224
2018-12,18.6024,4.4886
2019-01,33.1981,12.5608
2019-02,38.7127,15.8612
2019-03,44.6385,17.612
2019-04,50.3878,21.8639
2019-05,42.3719,16.0646
2019-06,48.377,19.9808
2019-07,58.2834,21.2252
2019-08,66.9884,18.3328
2019-09,58.658,20.1882
2019-10,61.9709,20.3259
2019-11,65.1501,24.2116
2019-12,68.9474,27.349
2020-01,80.1804,26.2815
2020-02,67.7244,19.8213
2020-03,63.9875,15.7478
2020-04,94.6788,30.3559
2020-05,114.4733,35.9447
2020-06,103.781,35.2146
2020-07,106.3782,39.5903
2020-08,109.5741,48.5304
2020-09,96.9162,40.6583
2020-10,83.3439,35.284
2020-11,86.414,43.8758
2020-12,71.5001,48.4488
2021-01,59.1498,45.6177
2021-02,64.4714,42.6536
2021-03,68.4877,44.2697
2021-04,85.1522,51.1309
2021-05,78.2702,46.9645
2021-06,89.275,49.5312
2021-07,88.8826,52.4159
2021-08,93.9997,56.1018
2021-09,90.0123,48.0813
2021-10,104.0141,56.0144
2021-11,95.0635,53.5374
2021-12,91.2968,55.8343
2022-01,66.8862,46.4571
2022-02,49.2912,38.1483
2022-03,60.9394,42.2675
2022-04,52.1278,34.5494
2022-05,49.0308,36.0289
2022-06,37.805,21.1749
2022-07,53.4475,31.8752
2022-08,43.1136,26.0562
2022-09,23.8559,14.2993
2022-10,30.0508,23.2183
2022-11,42.7493,29.7022
2022-12,39.7694,24.5108
2023-01,49.4391,29.2932
2023-02,42.4854,25.9536
2023-03,44.5196,29.4041
2023-04,51.4125,31.1074
2023-05,53.2255,31.3785
2023-06,66.472,39.5074
2023-07,63.0669,43.6112
2023-08,61.1459,39.288
2023-09,50.0546,32.2789
2023-10,42.4087,29.0551
2023-11,59.3686,40.4823
2023-12,68.1197,46.4584
2024-01,70.3724,48.2956
2024-02,60.0863,55.4714
2024-03,57.867,59.9707
2024-04,50.9489,54.3559
2024-05,54.9638,58.7198
2024-06,61.0556,63.7565
2024-07,74.3543,62.4775
2024-08,75.2235,65.2821
2024-09,74.6284,63.7333
2024-10,61.3058,61.5953
2024-11,68.6566,70.4058
2024-12,60.1607,65.7986
2025-01,67.0778,69.6123
2025-02,70.7127,66.3646
2025-03,67.0487,60.3871
2025-04,63.2766,59.1236
2025-05,67.1816,68.5307
2025-06,66.7352,76.5585
2025-07,73.5959,79.9077
2025-08,72.429,82.9229
2025-09,64.763,88.6543
2025-10,63.5842,92.3724
2025-11,67.2395,92.0168
2025-12,74.6186,91.3981
2026-01,80.5317,93.9446
