Date,rate_KR_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return,sma60_ta,sma120_ta,sma240_ta,Mean_Relative_Divergence_240,Percentile_90_Relative_Divergence_240,Difference_Percentile_vs_Mean,Rolling_Divergence_480
2018-07-02,-18.76,30.25,-49.01,15.68,10.54,32.22,2.243578022311988,0.0,,,,,,,
2018-08-28,-11.62,38.61,-50.23,14.42,1.42,32.22,2.0186748175455387,0.0,,,,,,,
2018-10-24,-19.17,26.38,-45.55,19.28,8.88,32.22,1.9660478384486062,0.0,,,,,,,
2018-12-21,-20.34,14.29,-34.63,30.61,6.9,32.22,2.0385518267482228,0.0,,,,,,,
2019-02-21,-17.17,31.47,-48.64,16.07,-8.34,32.22,2.129091982231059,0.0,,,,,,,
2019-04-18,-25.54,36.81,-62.35,2.96,0.92,32.22,2.1184005011312546,0.0,,,,,,,
2019-06-17,-27.82,36.1,-63.92,1.52,-1.0,32.22,2.1158674001765863,0.0,,,,,,,
2019-08-13,-31.98,37.04,-69.02,5.72,5.23,32.22,2.1428401703326827,0.0,,,,,,,
2019-10-09,-30.34,35.98,-66.32,8.23,3.48,32.22,2.044413510584352,0.0,,,,,,,
2019-12-05,-25.15,45.14,-70.29,4.54,-2.09,32.22,2.1226212327367104,0.0,,,,,,,
2020-02-04,-23.76,52.49,-76.25,0.3,-3.17,32.22,2.3116067814903096,0.0,,,,,,,
2020-04-01,-17.52,13.74,-31.26,42.71,27.21,32.22,2.2763758183907954,0.0,,,,,,,
2020-05-29,-13.32,40.47,-53.79,22.37,-3.7,32.22,2.32140002608495,0.0,,,,,,,
2020-07-27,-8.96,48.57,-57.53,19.0,-4.98,32.22,2.236465740272377,0.0,,,,,,,
2020-09-22,-10.9,51.8,-62.7,14.33,0.87,32.22,2.2107878108438648,0.0,,,,,,,
2020-11-17,-14.43,64.37,-78.8,0.02,-9.12,32.22,2.396803926763628,0.0,,,,,,,
2021-01-15,-10.67,70.52,-81.19,5.53,5.01,32.22,2.5397177357721508,0.0,,,,,,,
2021-03-16,-6.26,78.86,-85.12,3.92,3.92,32.22,2.5954862412836475,0.0,,,,,,,
2021-05-12,-4.58,82.17,-86.75,4.95,3.98,32.22,2.598771701162609,0.0,,,,,,,
2021-07-09,-1.24,94.62,-95.86,0.62,-2.25,32.22,2.593563210735753,0.0,,,,,,,
2021-09-03,15.67,101.38,-85.71,8.5,4.45,32.22,2.615588046393895,0.0,,,,,,,
