Date,rate_DE_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence
2015-01,-1.496427380995302,-1.4158767825039886,-0.1,38.5,8.5
2015-02,4.448091901143414,3.8087683830261287,0.6,44.9,8.5
2015-03,1.4081382460961134,1.863213309067957,-0.5,21.8,8.5
2015-04,4.494394199643836,2.705403087071012,1.8,66.7,8.5
2015-05,7.732467567698165,3.691123745218916,4.0,93.9,8.5
2015-06,11.83326777005198,1.4295410189628657,10.4,100.0,8.5
2015-07,8.342172215181233,3.451188956765594,4.9,56.3,8.5
2015-08,-6.629302270465409,-2.9928658807542474,-3.6,1.4,8.5
2015-09,-14.398158402392724,-5.108890132703281,-9.3,0.0,8.5
2015-10,-9.07800547094344,2.98453736724853,-12.1,6.2,8.5
2015-11,-6.9400935704367335,3.189229120526993,-10.1,22.6,8.5
2015-12,-9.785150577285062,1.2520984996448936,-11.0,19.2,8.5
2016-01,-8.493788498505294,-3.685946853969402,-4.8,42.6,8.5
2016-02,-4.347413535674405,-3.7001237115859897,-0.6,58.5,8.5
2016-03,-7.379906597213736,2.8921031060791247,-10.3,21.9,8.5
2016-04,1.47839292196128,3.106893773299002,-1.6,54.7,8.5
2016-05,-0.756685621685449,4.7547172845911145,-5.5,40.0,8.5
2016-06,-1.5814593353952522,4.891021471296053,-6.5,36.2,8.5
2016-07,-5.541903886531951,8.533865088364179,-14.1,7.5,8.5
2016-08,2.907659690284748,8.374859351094589,-5.5,40.0,8.5
2016-09,4.548329049202704,8.11559801950763,-3.6,47.2,8.5
2016-10,7.995364038527031,5.945112060785296,2.1,68.7,8.5
2016-11,22.22898077305881,9.693076492309572,12.5,87.7,8.5
2016-12,25.66693840155885,11.653985162173996,14.0,92.3,8.5
2017-01,29.714087154660906,13.252594648088722,16.5,97.6,8.5
2017-02,31.79566873894799,17.217226258383867,14.6,90.3,8.5
2017-03,30.867303901105323,16.861353960398095,14.0,88.5,8.5
2017-04,33.309504005984266,17.612138724879213,15.7,93.5,8.5
2017-05,45.28397425993897,18.77622275856212,26.5,98.2,8.5
2017-06,46.13480308604241,19.012340247344973,27.1,91.7,8.5
2017-07,50.453515324522826,20.96173879148904,29.5,95.8,8.5
2017-08,34.90358354718346,20.794108290172787,14.1,61.0,8.5
2017-09,45.930531819498825,22.74164486321739,23.2,79.4,8.5
2017-10,53.21937993721528,25.02929296146736,28.2,89.5,8.5
2017-11,71.3811267437829,28.24514620632597,43.1,98.3,8.5
2017-12,78.002782604259,29.25477972743822,48.7,97.3,8.5
2018-01,87.44677995288119,35.74806857835486,51.7,93.0,8.5
2018-02,79.45905044400693,30.03108952569964,49.4,88.3,8.5
2018-03,72.45499404366164,26.24511495520145,46.2,84.0,8.5
2018-04,49.07363800220492,26.169777648468017,22.9,52.6,8.5
2018-05,63.576967411677046,28.67101880630793,34.9,68.7,8.5
2018-06,52.540774256449474,29.054513386212832,23.5,53.4,8.5
2018-07,56.92531578089157,33.05477737484341,23.9,53.9,8.5
2018-08,54.829715692696745,36.67536167992487,18.2,46.2,8.5
2018-09,61.53017130650609,36.7859260627053,24.7,55.0,8.5
2018-10,44.5463486134325,26.8518886951719,17.7,45.6,8.5
2018-11,64.24839249791596,28.72987270087528,35.5,69.5,8.5
2018-12,57.86518597658752,16.935568929474943,40.9,76.8,8.5
2019-01,72.4609112089448,25.84602913394216,46.6,84.5,8.5
2019-02,71.28604490722019,29.455609422938032,41.8,78.0,8.5
2019-03,66.56353401868851,31.42822059818957,35.1,69.0,8.5
2019-04,71.44085246556806,36.14627201117236,35.3,69.3,8.5
2019-05,44.18819214312237,27.01417016964871,17.2,44.9,8.5
2019-06,70.30228690013291,35.386537946701054,34.9,68.7,8.5
2019-07,69.15719120010964,36.77848475412227,32.4,65.4,8.5
2019-08,57.28377131592144,34.01523796289616,23.3,53.1,8.5
2019-09,71.109544116433,36.119796805082885,35.0,68.9,8.5
2019-10,75.5822124287942,38.55936569034355,37.0,71.6,8.5
2019-11,68.36552738994102,42.95866480531557,25.4,55.9,8.5
2019-12,73.34081884828296,46.56639256308421,26.8,57.8,8.5
2020-01,57.70435119765915,45.839234306657815,11.9,37.7,8.5
2020-02,54.80584443269836,33.48047600089177,21.3,50.4,8.5
2020-03,36.79676451197065,16.515744233118347,20.3,49.1,8.5
2020-04,43.10961787814063,31.137650988707662,12.0,37.9,8.5
2020-05,49.55057475130717,36.913150179952005,12.6,38.7,8.5
2020-06,54.5993761922184,38.90832539719029,15.7,42.9,8.5
2020-07,72.5960726208625,46.49920368452196,26.1,56.9,8.5
2020-08,104.43302500282188,56.02155061526177,48.4,86.9,8.5
2020-09,114.97149851480314,49.481029334249406,65.5,98.2,8.5
2020-10,117.63929480650428,45.06871336393352,72.6,94.8,8.5
2020-11,150.2466122054347,60.242494130358246,90.0,98.6,8.5
2020-12,156.21508401575323,65.43734227389824,90.8,97.4,8.5
2021-01,172.94891806574904,62.981546484981685,110.0,92.8,8.5
2021-02,227.32153565372735,66.67014085560756,160.7,100.0,8.5
2021-03,248.70109269366543,73.41405108202765,175.3,96.1,8.5
2021-04,242.77220273849576,81.63293883700705,161.1,89.0,8.5
2021-05,231.0384555077608,81.89112807675068,149.1,83.0,8.5
2021-06,221.61319267318467,85.02869456716023,136.6,76.7,8.5
2021-07,227.1345560893584,88.54688291511108,138.6,77.7,8.5
2021-08,239.3485638516956,93.06937656529746,146.3,81.6,8.5
2021-09,199.3891470361437,83.1089181495918,116.3,66.5,8.5
2021-10,203.61085397763875,94.9833487489949,108.6,62.6,8.5
2021-11,204.22504569443328,92.5344599396901,111.7,64.2,8.5
2021-12,200.6485656695468,100.2466192515759,100.4,58.5,8.5
2022-01,227.62160152613995,88.76621671086365,138.9,77.9,8.5
2022-02,211.11669533898436,82.25157975459099,128.9,72.8,8.5
