Date,rate_AXP_5D,rate_VOO_20D
2016-01,0.0,0.7475
2016-02,3.0238,0.3631
2016-03,12.0805,6.1635
2016-04,17.2838,4.8532
2016-05,14.8333,5.5092
2016-06,4.5973,4.9516
2016-07,10.0753,8.0529
2016-08,10.8409,7.2728
2016-09,7.087,6.525
2016-10,10.7329,4.0384
2016-11,19.0985,7.3996
2016-12,20.6382,9.0221
2017-01,22.9965,10.0556
2017-02,27.0755,13.4646
2017-03,23.8719,12.6934
2017-04,23.0476,13.0265
2017-05,18.1963,13.8264
2017-06,28.219,13.7461
2017-07,28.7017,15.2839
2017-08,28.4895,14.8547
2017-09,33.569,16.4705
2017-10,39.9769,18.391
2017-11,41.4424,21.1572
2017-12,42.041,21.8357
2018-01,40.9394,27.5767
2018-02,31.4589,19.4887
2018-03,22.5769,15.9328
2018-04,28.1415,14.9578
2018-05,26.6104,17.1859
2018-06,25.3785,17.444
2018-07,26.8738,20.9505
2018-08,34.1075,24.1299
2018-09,33.7059,24.1209
2018-10,28.2991,14.1084
2018-11,37.6817,15.0224
2018-12,16.0929,4.4886
2019-01,24.9872,12.5608
2019-02,30.4228,15.8612
2019-03,30.8234,17.612
2019-04,35.4074,21.8639
2019-05,33.0404,16.0646
2019-06,35.3464,19.9808
2019-07,35.4268,21.2252
2019-08,33.3506,18.3328
2019-09,30.5688,20.1882
2019-10,26.964,20.3259
2019-11,29.4151,24.2116
2019-12,33.4743,27.349
2020-01,38.9731,26.2815
2020-02,31.8851,19.8213
2020-03,19.6076,15.7478
2020-04,28.6188,30.3559
2020-05,19.7368,35.9447
2020-06,27.7059,35.2146
2020-07,23.9161,39.5903
2020-08,34.3562,48.5304
2020-09,29.6082,40.6583
2020-10,23.0481,35.284
2020-11,34.6221,43.8758
2020-12,35.6161,48.4488
2021-01,28.4874,45.6177
2021-02,38.7952,42.6536
2021-03,44.8678,44.2697
2021-04,51.5054,51.1309
2021-05,57.3585,46.9645
2021-06,53.5289,49.5312
2021-07,51.7595,52.4159
2021-08,48.094,56.1018
2021-09,48.8156,48.0813
2021-10,53.9633,56.0144
2021-11,34.2286,53.5374
2021-12,41.6292,55.8343
2022-01,45.7331,46.4571
2022-02,52.5605,38.1483
2022-03,49.1174,42.2675
2022-04,38.8246,34.5494
2022-05,39.7682,36.0289
2022-06,18.552,21.1749
2022-07,29.4571,31.8752
2022-08,27.4021,26.0562
2022-09,13.8137,14.2993
2022-10,20.7656,23.2183
2022-11,27.9507,29.7022
2022-12,20.7755,24.5108
2023-01,39.789,29.2932
2023-02,37.7114,25.9536
2023-03,35.5626,29.4041
2023-04,33.1378,31.1074
2023-05,27.6568,31.3785
2023-06,39.8365,39.5074
2023-07,35.5853,43.6112
2023-08,29.5503,39.288
2023-09,21.7726,32.2789
2023-10,17.4874,29.0551
2023-11,34.7413,40.4823
2023-12,47.4156,46.4584
2024-01,57.8765,48.2956
2024-02,71.8942,55.4714
2024-03,77.5845,59.9707
2024-04,72.5621,54.3559
2024-05,76.2339,58.7198
2024-06,69.3563,63.7565
2024-07,84.8571,62.4775
2024-08,76.4675,65.2821
2024-09,72.2977,63.7333
2024-10,71.7141,61.5953
2024-11,81.3326,70.4058
2024-12,75.9201,65.7986
2025-01,87.7708,69.6123
2025-02,77.3238,66.3646
2025-03,58.0798,60.3871
2025-04,58.5177,59.1236
2025-05,74.3537,68.5307
2025-06,75.6363,76.5585
2025-07,65.2823,79.9077
2025-08,78.4966,82.9229
2025-09,78.2995,88.6543
2025-10,93.3166,92.3724
2025-11,94.9535,92.0168
2025-12,96.6416,91.3981
2026-01,89.9834,93.9446
