Date,rate_T_5D,rate_VOO_20D
2016-01,1.9198,0.7475
2016-02,3.4327,0.3631
2016-03,8.0004,6.1635
2016-04,7.0257,4.8532
2016-05,6.3461,5.5092
2016-06,16.2429,4.9516
2016-07,15.9092,8.0529
2016-08,8.4179,7.2728
2016-09,6.5885,6.525
2016-10,-2.4742,4.0384
2016-11,2.5176,7.3996
2016-12,12.5505,9.0221
2017-01,12.2997,10.0556
2017-02,10.489,13.4646
2017-03,9.1336,12.6934
2017-04,5.4561,13.0265
2017-05,2.5174,13.8264
2017-06,0.1936,13.7461
2017-07,5.1316,15.2839
2017-08,0.7473,14.8547
2017-09,5.2783,16.4705
2017-10,-8.2413,18.391
2017-11,-0.5065,21.1572
2017-12,6.3017,21.8357
2018-01,4.0425,27.5767
2018-02,-4.1801,19.4887
2018-03,-5.8347,15.9328
2018-04,-11.8789,14.9578
2018-05,-12.465,17.1859
2018-06,-12.6652,17.444
2018-07,-10.9356,20.9505
2018-08,-10.696,24.1299
2018-09,-5.9355,24.1209
2018-10,-8.9296,14.1084
2018-11,-8.17,15.0224
2018-12,-15.9342,4.4886
2019-01,-9.1542,12.5608
2019-02,-5.7577,15.8612
2019-03,-4.8741,17.612
2019-04,-4.038,21.8639
2019-05,-5.1677,16.0646
2019-06,3.9024,19.9808
2019-07,7.5791,21.2252
2019-08,11.2137,18.3328
2019-09,19.0208,20.1882
2019-10,17.5035,20.3259
2019-11,13.7277,24.2116
2019-12,18.5585,27.349
2020-01,15.4676,26.2815
2020-02,5.8398,19.8213
2020-03,5.9314,15.7478
2020-04,10.1433,30.3559
2020-05,6.5905,35.9447
2020-06,4.5906,35.2146
2020-07,3.5171,39.5903
2020-08,4.2275,48.5304
2020-09,-0.3112,40.6583
2020-10,-3.269,35.284
2020-11,2.9462,43.8758
2020-12,4.1398,48.4488
2021-01,2.8654,45.6177
2021-02,0.0742,42.6536
2021-03,3.7215,44.2697
2021-04,9.8953,51.1309
2021-05,2.7475,46.9645
2021-06,0.5706,49.5312
2021-07,0.365,52.4159
2021-08,-1.9045,56.1018
2021-09,-3.3609,48.0813
2021-10,-7.2727,56.0144
2021-11,-16.114,53.5374
2021-12,-11.1711,55.8343
2022-01,-6.5081,46.4571
2022-02,-8.4027,38.1483
2022-03,-9.1378,42.2675
2022-04,-2.9113,34.5494
2022-05,3.4164,36.0289
2022-06,1.4298,21.1749
2022-07,-3.0396,31.8752
2022-08,-8.358,26.0562
2022-09,-19.6103,14.2993
2022-10,-2.6051,23.2183
2022-11,1.9255,29.7022
2022-12,0.9848,24.5108
2023-01,8.8777,29.2932
2023-02,1.9191,25.9536
2023-03,5.0235,29.4041
2023-04,-0.5409,31.1074
2023-05,-3.7208,31.3785
2023-06,-2.7894,39.5074
2023-07,-9.9104,43.6112
2023-08,-8.1156,39.288
2023-09,-6.5922,32.2789
2023-10,-6.3472,29.0551
2023-11,0.8062,40.4823
2023-12,2.0463,46.4584
2024-01,9.273,48.2956
2024-02,3.9738,55.4714
2024-03,6.6226,59.9707
2024-04,3.2878,54.3559
2024-05,11.373,58.7198
2024-06,16.6996,63.7565
2024-07,19.0917,62.4775
2024-08,22.8827,65.2821
2024-09,33.5864,63.7333
2024-10,34.97,61.5953
2024-11,38.3333,70.4058
2024-12,35.6329,65.7986
2025-01,42.7629,69.6123
2025-02,64.4274,66.3646
2025-03,58.1666,60.3871
2025-04,49.9726,59.1236
2025-05,49.9432,68.5307
2025-06,55.6307,76.5585
2025-07,48.4107,79.9077
2025-08,58.1308,82.9229
2025-09,51.9896,88.6543
2025-10,34.2856,92.3724
2025-11,40.868,92.0168
2025-12,34.1606,91.3981
2026-01,27.9569,94.3419
