Date,rate_NVDA_5D,rate_VOO_20D
2015-01,-3.4633768584057645,-1.5188106994628805
2015-02,11.663196456904211,3.8071548614502015
2015-03,2.494772187855099,0.9869915199279822
2015-04,7.998528048285847,1.746649777221676
2015-05,6.337373203891028,2.44557802073162
2015-06,-4.399863580739916,0.0477788151332481
2015-07,-4.852086638020337,2.0360785684585547
2015-08,8.003220375516351,-4.434962299770772
2015-09,17.961744761173428,-6.094776074981678
2015-10,34.03884068563716,2.297229421442193
2015-11,47.09807597156739,2.398871879577636
2015-12,48.79383688337644,0.3435002535306486
2016-01,29.21281159343572,-4.526557715824664
2016-02,36.71760762688816,-4.447745886739096
2016-03,52.39048546180969,2.1719586634636023
2016-04,48.77651465964408,2.32467264556886
2016-05,92.43566987848368,3.915392897288017
2016-06,88.69838135213053,4.007228348982972
2016-07,123.82804760727662,7.591775329971306
2016-08,134.55306333085258,7.342805546715159
2016-09,155.00545648702507,7.01739108796553
2016-10,157.81339582430346,4.798159965515159
2016-11,226.14510385727948,8.494418986320508
2016-12,267.322249029432,10.390341252136247
2017-01,265.36412827701355,11.90246522316567
2017-02,230.7185304707648,15.76018224843343
2017-03,246.08488820515416,15.283830584662317
2017-04,223.2501968626488,15.934839063710182
2017-05,337.409175549913,16.994714904022224
2017-06,327.1291944713328,17.136501713906572
2017-07,368.7874414104936,18.9736925904751
2017-08,377.4927312422128,18.720222916342987
2017-09,392.0372641084094,20.55445778386736
2017-10,456.2342419226821,22.72429947487968
2017-11,427.8765965048906,25.801433193842584
2017-12,397.791894904746,26.69480600243648
2018-01,518.9227033618473,32.97908996923346
2018-02,496.6678428805276,27.216471037449
2018-03,459.20736972262006,23.439744465065004
2018-04,432.27732031785314,23.331218156954137
2018-05,485.6464420765557,25.716755588531505
2018-06,439.4734543377275,26.03138059199135
2018-07,447.2131258970367,29.88566169027849
2018-08,516.1793496097754,33.36297087114124
2018-09,505.6570044465095,33.39187290672634
2018-10,346.2592298364516,23.634908928404474
2018-11,240.61834799399503,25.43081725947063
2018-12,174.15465031982475,13.860635073292029
2019-01,191.39974583698304,22.54734863220216
2019-02,208.9705891168425,26.04938015926585
2019-03,254.92325984226545,27.9375848657168
2019-04,252.8835409517628,32.51378915102978
2019-05,160.88871522359304,23.55288253996108
2019-06,212.76787928983327,31.70746644661646
2019-07,217.3849963485027,33.027550350052984
2019-08,211.66251319104984,30.28603517324884
2019-09,220.10259557386743,32.31782403972232
2019-10,265.3441273636315,34.65152610533118
2019-11,289.4100038374248,38.90058036994937
2019-12,317.6593391271676,42.3757375306927
2020-01,314.47785480541785,41.62131794775688
2020-02,367.9897689508732,29.54275714002339
2020-03,351.12350420580265,12.971094481348988
2020-04,394.3508466804599,27.260374048673185
2020-05,493.2600211184696,32.88550932716603
2020-06,527.2644219196396,34.818231083542564
2020-07,592.3546097161159,42.1724457252727
2020-08,761.4691681117824,51.40199652796207
2020-09,760.7158142637612,44.99920210647584
2020-10,687.3865743161947,40.68796979737619
2020-11,731.6613043506562,55.41066487492456
2020-12,700.6258915796299,60.41116171191489
2021-01,687.1910620683352,57.97925022980974
2021-02,721.4039402294558,61.51733532948813
2021-03,690.4867602458645,68.00672906283329
2021-04,778.7266543045433,75.92919607355688
2021-05,840.2326600045319,76.1124550617903
2021-06,1044.8988500772325,79.0925600173564
2021-07,1003.3292334529298,82.44037034139633
2021-08,1152.6045528484171,86.77097590213351
2021-09,1046.1964753332154,77.06186966993751
2021-10,1299.0269825849205,88.49487365382554
2021-11,1668.241183704616,86.06099395306907
2021-12,1474.1232399386029,93.48970149922091
2022-01,1196.2321375825918,82.32639628734147
2022-02,1177.179756804402,75.96183893006425
2022-03,1314.4368799395793,81.7283606013385
2022-04,851.4064975225378,64.93004590160929
2022-05,848.2328668828131,64.61974903844201
2022-06,662.438935479894,50.39305991916867
2022-07,804.9488202146513,63.58332537053979
2022-08,644.830921031979,56.17969894893196
2022-09,493.7400947416451,41.27468835067749
2022-10,554.3421504663681,52.22624656155237
2022-11,713.3922019923741,60.02453574411075
2022-12,596.046115378568,50.26395245432119
2023-01,822.412946966299,59.1694123548391
2023-02,986.1529217056228,54.60521239101528
2023-03,1187.977201554233,59.76582423957824
2023-04,1174.9173513149804,61.69379283391368
2023-05,1622.4991863563775,61.85998597799562
2023-06,1808.4429298400707,71.72744069019801
2023-07,1988.9461540847933,76.66096919111105
2023-08,2086.330305216364,73.06741222715833
2023-09,1809.7442341058493,64.21149535506628
2023-10,1674.4885823356426,60.05627348520157
2023-11,1917.306227244696,74.10481203863355
2023-12,2017.5619055248064,81.347917112088
2024-01,2508.131270388865,83.5070406467091
2024-02,3224.471732364484,92.24760152270346
2024-03,3664.220632995947,97.6881831646647
2024-04,3468.4859152793897,88.93486053581576
2024-05,4389.379953728225,97.60024187088014
2024-06,4916.205459965019,103.75723367475427
2024-07,4611.318438592156,105.20664733919608
2024-08,4665.782553049203,109.2004625124809
2024-09,4708.704277960697,112.81713242281896
2024-10,5113.711782990401,109.86680152835366
2024-11,5284.912750082208,121.24141072419484
2024-12,5306.5067702372535,120.68166010864512
