Date,rate_UNI-USD_5D,rate_VOO_20D
2019-10,0.0,1.32
2019-11,0.0,5.3881
2019-12,-22.5617,8.7011
2020-01,10.5794,7.6459
2020-02,-19.0655,0.9808
2020-03,-84.4213,-3.2402
2020-04,-76.7849,11.9832
2020-05,-75.0879,17.8326
2020-06,-77.2595,17.1158
2020-07,-72.4101,21.727
2020-08,-84.0564,31.1186
2020-09,-62.0814,22.9785
2020-10,-74.0613,17.4237
2020-11,-75.999,26.4325
2020-12,-87.3127,31.2757
2021-01,-74.9171,28.4044
2021-02,-87.9286,25.3655
2021-03,-28.6876,27.1049
2021-04,25.6785,34.3391
2021-05,-24.9264,30.0198
2021-06,-75.5316,32.7591
2021-07,-71.5784,35.8383
2021-08,-73.9638,39.7647
2021-09,-85.8575,31.4089
2021-10,-75.2945,39.772
2021-11,-72.7066,37.2405
2021-12,-80.3544,39.706
2022-01,-86.8463,29.9026
2022-02,-84.4879,21.2125
2022-03,-80.7474,25.5553
2022-04,-76.159,17.4782
2022-05,-56.1112,19.0379
2022-06,-63.0333,3.4822
2022-07,-64.8421,14.6865
2022-08,-60.2797,8.5876
2022-09,-82.2023,-3.7583
2022-10,429.1024,5.5627
2022-11,337.9983,12.3301
2022-12,310.2637,6.8828
2023-01,945.2724,11.8723
2023-02,2876.6183,8.3681
2023-03,2683.0996,11.9694
2023-04,2010.1195,13.7521
2023-05,1824.3761,14.0327
2023-06,4810.6661,22.5546
2023-07,16571.5863,26.8677
2023-08,11933.6225,22.3352
2023-09,12148.3222,15.0005
2023-10,15314.1994,11.6243
2023-11,98067.7243,23.587
2023-12,14939.0621,29.8627
2024-01,12139.2964,31.8055
2024-02,18436.6032,39.3486
2024-03,15500.6253,44.0916
2024-04,12294.5475,38.2253
2024-05,8322.3348,42.8129
2024-06,7565.5454,48.1289
2024-07,7678.4953,46.8098
2024-08,7060.459,49.7796
2024-09,7239.4552,48.1826
2024-10,7321.8079,45.9568
2024-11,8993.2241,55.2553
2024-12,8575.6759,50.4484
2025-01,9261.6668,54.4736
2025-02,7509.8866,51.0803
2025-03,7434.8561,44.8348
2025-04,7223.4976,35.0675
