Date,rate_315960.KS_5D,rate_VOO_20D
2019-01,0.0,2.9826
2019-02,-3.1332,6.231
2019-03,-4.752,7.9077
2019-04,0.8701,12.1214
2019-05,-6.9699,3.4505
2019-06,-0.5633,11.1643
2019-07,-1.5766,12.2918
2019-08,-3.7369,9.5795
2019-09,2.9413,12.018
2019-10,2.1564,14.127
2019-11,1.841,18.0324
2019-12,11.433,20.8364
2020-01,9.5045,21.1311
2020-02,1.0154,9.4017
2020-03,-11.3767,-6.4332
2020-04,-5.2656,8.3489
2020-05,-4.0857,12.5695
2020-06,-3.3251,14.292
2020-07,4.3542,21.1686
2020-08,4.9668,29.8073
2020-09,9.8953,22.5041
2020-10,9.2835,19.32
2020-11,24.1083,33.1506
2020-12,40.415,36.8942
2021-01,46.3338,36.1613
2021-02,52.6894,39.3167
2021-03,54.9626,45.2664
2021-04,52.3098,52.5445
2021-05,51.7217,52.4837
2021-06,51.9137,55.0746
2021-07,41.0736,58.0018
2021-08,34.2683,61.8483
2021-09,30.7713,52.4681
2021-10,28.6077,63.0115
2021-11,24.2243,60.5081
2021-12,34.1429,67.7498
2022-01,29.0505,53.5064
2022-02,27.1765,50.4563
2022-03,25.3433,55.7094
2022-04,21.933,39.8836
2022-05,23.0258,39.4896
2022-06,7.483,26.1465
2022-07,13.7653,38.3657
2022-08,13.2937,31.3873
2022-09,-0.2578,17.4528
2022-10,6.402,27.6007
2022-11,13.391,34.8147
2022-12,2.1056,26.0772
2023-01,14.9386,34.4194
2023-02,14.722,30.082
2023-03,18.4926,34.8141
2023-04,21.3715,36.5398
2023-05,27.2615,36.6304
2023-06,29.1651,45.7403
2023-07,36.1629,49.9199
2023-08,30.777,46.8093
2023-09,27.53,37.9613
2023-10,19.8702,34.5695
2023-11,31.853,47.5538
2023-12,39.3978,54.6435
2024-01,33.4382,56.8838
2024-02,48.0282,64.9039
2024-03,56.0653,69.8463
2024-04,53.635,61.5906
2024-05,53.8638,69.5376
2024-06,72.2043,75.1399
2024-07,60.1742,76.3565
2024-08,48.8807,79.9384
2024-09,40.7661,84.1495
2024-10,39.3629,81.2683
2024-11,31.1393,91.6981
2024-12,29.0867,86.649
2025-01,36.9054,91.2072
2025-02,31.9578,87.5649
2025-03,35.5572,75.3282
2025-04,33.851,72.9014
2025-05,42.9273,83.7138
2025-06,66.3247,92.9248
2025-07,73.0738,96.5967
2025-08,69.9821,99.89
2025-09,92.5801,107.4644
2025-10,149.3784,111.5716
2025-11,140.0536,110.8789
2025-12,171.5124,111.5276
2026-01,250.9653,114.3614
