Date,rate_463050.KS_5D,rate_VOO_20D
2023-08,0.0,5.1312
2023-09,-9.1599,-3.7327
2023-10,-14.4109,-7.1163
2023-11,-7.7888,6.0372
2023-12,6.652,13.2672
2024-01,-9.5868,14.8158
2024-02,2.2367,22.9808
2024-03,15.2975,28.0452
2024-04,5.6815,19.812
2024-05,3.7466,27.8992
2024-06,13.2298,33.632
2024-07,24.7591,34.9472
2024-08,21.5268,38.6565
2024-09,6.5638,41.9906
2024-10,13.3389,39.1935
2024-11,9.5408,49.8056
2024-12,13.413,44.8362
2025-01,18.7884,48.4877
2025-02,22.0143,44.9513
2025-03,16.8511,32.7917
2025-04,15.8912,30.4441
2025-05,22.2751,41.3822
2025-06,21.4268,50.7217
2025-07,25.2214,54.5102
2025-08,24.3222,57.9371
2025-09,30.6297,64.5593
2025-10,40.3667,68.7997
2025-11,71.3361,68.2331
2025-12,64.0321,69.0099
2026-01,55.864,68.7263
