Date,rate_KMI_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-03-03,-1.27,4.16,-5.43,12.82,-47.56,1.78,3.01,0.0
2015-04-29,3.47,3.8,-0.33,65.66,-4.7,2.96,2.14,0.0
2015-06-25,-6.38,3.4,-9.78,1.47,-18.05,2.96,2.24,0.0
2015-08-21,-23.41,-2.77,-20.64,17.88,14.14,2.96,2.7,0.0
2015-10-19,-23.07,0.19,-23.26,19.0,8.11,2.96,2.73,0.0
2015-12-15,-58.31,0.99,-59.3,1.77,-0.41,2.96,3.06,0.0
2016-02-12,-62.02,-8.03,-53.99,12.52,3.49,2.96,3.1,0.0
2016-04-12,-57.01,1.51,-58.52,5.56,-1.71,2.96,3.33,0.0
2016-06-08,-56.45,4.64,-61.09,1.61,0.35,2.96,3.49,0.0
2016-08-04,-51.89,6.55,-58.44,5.68,0.41,2.96,3.68,0.0
2016-09-30,-45.86,6.55,-52.41,14.95,5.04,2.96,3.48,0.0
2016-11-28,-48.26,8.53,-56.79,8.22,-2.44,2.96,3.11,0.0
2017-01-26,-45.55,12.65,-58.2,6.05,2.24,2.96,2.27,0.0
2017-03-24,-47.37,14.65,-62.02,2.78,2.78,2.96,1.8,0.0
2017-05-22,-50.0,17.16,-67.16,0.0,0.0,2.96,2.0,0.0
2017-07-19,-48.88,20.55,-69.43,2.07,2.07,2.96,2.04,0.0
2017-09-14,-48.87,21.78,-70.65,0.42,0.41,2.96,2.18,0.0
2017-11-09,-51.39,25.33,-76.72,0.49,0.49,2.96,2.23,0.0
2018-01-09,-49.81,32.87,-82.68,0.0,-1.19,2.96,2.42,0.0
2018-03-08,-52.92,32.18,-85.1,3.95,-4.62,2.96,2.48,0.0
2018-05-04,-52.52,27.87,-80.39,9.09,-1.98,2.96,2.33,0.0
2018-07-02,-50.83,30.25,-81.08,8.33,2.57,2.96,2.32,0.0
2018-08-28,-50.67,38.61,-89.28,0.0,-3.17,2.96,2.46,0.0
2018-10-24,-52.37,26.38,-78.75,12.11,11.05,2.96,2.46,0.0
2018-12-21,-53.49,14.29,-67.78,23.91,9.8,2.96,2.49,0.0
2019-02-21,-45.87,31.47,-77.34,13.63,-2.65,2.96,2.57,0.0
2019-04-18,-44.92,36.81,-81.73,8.91,-4.34,2.96,2.39,0.0
2019-06-17,-42.09,36.1,-78.19,12.71,-0.6,2.96,2.14,0.0
2019-08-13,-41.59,37.04,-78.63,12.24,3.31,2.96,1.97,0.0
2019-10-09,-41.75,35.98,-77.73,13.21,4.5,2.96,1.75,0.0
2019-12-05,-42.28,45.14,-87.42,2.79,-3.07,2.96,1.67,0.0
2020-02-04,-38.99,52.49,-91.48,1.79,0.56,2.96,1.71,0.0
2020-04-01,-56.4,13.74,-70.14,24.27,15.47,2.96,1.8,0.0
2020-05-29,-49.28,40.47,-89.75,3.96,-4.7,2.96,1.75,0.0
2020-07-27,-52.34,48.57,-100.91,0.1,-3.34,2.96,1.78,0.0
2020-09-22,-55.39,51.8,-107.19,7.75,7.75,2.96,1.8,0.0
2020-11-17,-52.87,64.37,-117.24,1.26,-2.03,2.96,1.9,0.0
2021-01-15,-48.83,70.52,-119.35,3.91,3.91,2.96,1.99,0.0
2021-03-16,-47.03,78.86,-125.89,1.67,1.14,2.96,2.19,0.0
2021-05-12,-40.52,82.17,-122.69,7.63,6.86,2.96,2.28,0.0
2021-07-09,-38.5,94.62,-133.12,0.41,-3.6,2.96,2.52,0.0
2021-09-03,-45.16,101.38,-146.54,0.28,0.28,2.96,2.68,0.0
2021-11-01,-44.27,103.4,-147.67,0.65,-7.46,2.96,2.68,0.0
2021-12-29,-47.02,110.49,-157.51,0.0,-2.87,2.96,2.71,0.0
2022-02-25,-44.62,91.86,-136.48,13.11,-1.67,2.96,2.83,0.0
2022-04-25,-41.62,86.8,-128.42,18.13,6.38,2.96,3.02,0.0
2022-06-22,-46.71,63.12,-109.83,29.71,1.8,2.96,2.97,0.0
2022-08-18,-39.94,84.98,-124.92,20.31,-5.58,2.96,3.3,0.0
2022-10-14,-43.78,53.85,-97.63,37.32,7.26,2.96,2.86,0.0
2022-12-12,-41.83,70.93,-112.76,27.89,-1.16,2.96,2.39,0.0
2023-02-09,-41.0,73.66,-114.66,26.7,-3.97,2.96,2.15,0.0
2023-04-10,-41.38,73.97,-115.35,26.27,-4.3,2.96,1.88,0.0
2023-06-06,-43.31,81.01,-124.32,20.68,-3.75,2.96,1.7,0.0
2023-08-03,-41.28,88.91,-130.19,17.02,-1.06,2.96,1.58,0.0
2023-09-29,-43.45,79.47,-122.92,21.56,5.35,2.96,1.49,0.0
2023-11-27,-41.02,90.05,-131.07,16.48,-9.47,2.96,1.39,0.0
2024-01-25,-40.6,103.14,-143.74,8.58,-3.71,2.96,1.37,0.0
2024-03-22,-38.18,115.96,-154.14,2.1,-1.63,2.96,1.42,0.0
2024-05-20,-32.83,118.46,-151.29,3.88,-5.64,2.96,1.52,0.0
2024-07-18,-29.08,126.6,-155.68,4.38,4.38,2.96,1.68,0.0
2024-09-13,-28.57,129.28,-157.85,3.07,-1.71,2.96,1.78,0.0
2024-10-18,-17.57,137.88,-155.45,4.51,2.28,2.96,1.85,0.0
