Date,rate_F_5D,rate_VOO_20D
2016-01,0.0,0.7475
2016-02,3.7793,0.3631
2016-03,9.5527,6.1635
2016-04,9.5494,4.8532
2016-05,7.2684,5.5092
2016-06,-3.3305,4.9516
2016-07,-1.6633,8.0529
2016-08,-1.6898,7.2728
2016-09,-5.5937,6.525
2016-10,-6.5933,4.0384
2016-11,-4.4881,7.3996
2016-12,-3.1027,9.0221
2017-01,0.156,10.0556
2017-02,1.3445,13.4646
2017-03,-6.0281,12.6934
2017-04,-5.6857,13.0265
2017-05,-8.2365,13.8264
2017-06,-7.3794,13.7461
2017-07,-5.7465,15.2839
2017-08,-6.9218,14.8547
2017-09,1.1859,16.4705
2017-10,4.7715,18.391
2017-11,6.4351,21.1572
2017-12,5.8828,21.8357
2018-01,-4.98,27.5767
2018-02,-7.8191,19.4887
2018-03,-3.3755,15.9328
2018-04,-0.5888,14.9578
2018-05,2.143,17.1859
2018-06,-2.2248,17.444
2018-07,-9.682,20.9505
2018-08,-14.4825,24.1299
2018-09,-16.1527,24.1209
2018-10,-11.5373,14.1084
2018-11,-15.2694,15.0224
2018-12,-30.4764,4.4886
2019-01,-18.2408,12.5608
2019-02,-18.0423,15.8612
2019-03,-17.5154,17.612
2019-04,0.1499,21.8639
2019-05,-4.8379,16.0646
2019-06,-2.3208,19.9808
2019-07,-7.5145,21.2252
2019-08,-10.7136,18.3328
2019-09,-10.6014,20.1882
2019-10,-14.5535,20.3259
2019-11,-9.6693,24.2116
2019-12,-7.0728,27.349
2020-01,-10.1627,26.2815
2020-02,-15.659,19.8213
2020-03,-26.626,15.7478
2020-04,-21.6074,30.3559
2020-05,-11.5469,35.9447
2020-06,-0.2804,35.2146
2020-07,-0.7528,39.5903
2020-08,2.6512,48.5304
2020-09,-3.546,40.6583
2020-10,6.9658,35.284
2020-11,16.6806,43.8758
2020-12,15.2132,48.4488
2021-01,29.224,45.6177
2021-02,41.0879,42.6536
2021-03,39.4969,44.2697
2021-04,30.5439,51.1309
2021-05,62.8464,46.9645
2021-06,62.3272,49.5312
2021-07,55.1389,52.4159
2021-08,44.1438,56.1018
2021-09,55.943,48.0813
2021-10,87.1255,56.0144
2021-11,113.3735,53.5374
2021-12,116.2269,55.8343
2022-01,107.8084,46.4571
2022-02,96.7571,38.1483
2022-03,88.9404,42.2675
2022-04,54.0168,34.5494
2022-05,53.6788,36.0289
2022-06,28.4394,21.1749
2022-07,67.9739,31.8752
2022-08,74.9979,26.0562
2022-09,28.2589,14.2993
2022-10,52.5515,23.2183
2022-11,57.6109,29.7022
2022-12,51.7896,24.5108
2023-01,65.1233,29.2932
2023-02,63.8499,25.9536
2023-03,56.5066,29.4041
2023-04,46.288,31.1074
2023-05,42.0348,31.3785
2023-06,78.2677,39.5074
2023-07,56.6537,43.6112
2023-08,43.5463,39.288
2023-09,46.4984,32.2789
2023-10,33.6905,29.0551
2023-11,33.057,40.4823
2023-12,57.6347,46.4584
2024-01,50.997,48.2956
2024-02,63.888,55.4714
2024-03,65.6109,59.9707
2024-04,47.7683,54.3559
2024-05,45.4672,58.7198
2024-06,49.8901,63.7565
2024-07,28.8979,62.4775
2024-08,34.9072,65.2821
2024-09,27.0213,63.7333
2024-10,24.7329,61.5953
2024-11,27.6507,70.4058
2024-12,13.4202,65.7986
2025-01,15.3451,69.6123
2025-02,12.6207,66.3646
2025-03,18.173,60.3871
2025-04,15.5036,59.1236
2025-05,21.2996,68.5307
2025-06,22.8364,76.5585
2025-07,26.5218,79.9077
2025-08,31.2735,82.9229
2025-09,27.6637,88.6543
2025-10,31.5242,92.3724
2025-11,34.2644,92.0168
2025-12,32.3421,91.3981
2026-01,36.8625,93.3563
