Date,rate_ECL_5D,rate_VOO_20D
2016-01,1.3996,0.7475
2016-02,-4.3348,0.3631
2016-03,2.423,6.1635
2016-04,4.8117,4.8532
2016-05,5.4551,5.5092
2016-06,5.7318,4.9516
2016-07,4.6982,8.0529
2016-08,7.7908,7.2728
2016-09,6.0754,6.525
2016-10,-0.9883,4.0384
2016-11,1.2138,7.3996
2016-12,1.7108,9.0221
2017-01,3.795,10.0556
2017-02,6.773,13.4646
2017-03,7.718,12.6934
2017-04,10.3765,13.0265
2017-05,12.9354,13.8264
2017-06,12.4293,13.7461
2017-07,10.9439,15.2839
2017-08,11.6526,14.8547
2017-09,7.52,16.4705
2017-10,8.7936,18.391
2017-11,12.7245,21.1572
2017-12,11.1214,21.8357
2018-01,13.4803,27.5767
2018-02,7.1969,19.4887
2018-03,12.6813,15.9328
2018-04,18.4783,14.9578
2018-05,16.1559,17.1859
2018-06,13.9167,17.444
2018-07,13.7325,20.9505
2018-08,21.0648,24.1299
2018-09,25.7767,24.1209
2018-10,22.2126,14.1084
2018-11,27.3865,15.0224
2018-12,16.7103,4.4886
2019-01,24.7679,12.5608
2019-02,32.5319,15.8612
2019-03,37.9836,17.612
2019-04,42.8202,21.8639
2019-05,38.9887,16.0646
2019-06,43.016,19.9808
2019-07,44.2295,21.2252
2019-08,40.4683,18.3328
2019-09,34.4011,20.1882
2019-10,29.67,20.3259
2019-11,25.4308,24.2116
2019-12,29.4487,27.349
2020-01,30.9557,26.2815
2020-02,26.05,19.8213
2020-03,21.0107,15.7478
2020-04,50.428,30.3559
2020-05,64.2074,35.9447
2020-06,54.3214,35.2146
2020-07,40.3837,39.5903
2020-08,47.014,48.5304
2020-09,46.0442,40.6583
2020-10,32.0214,35.284
2020-11,50.7095,43.8758
2020-12,46.1064,48.4488
2021-01,36.4398,45.6177
2021-02,33.2051,42.6536
2021-03,35.9304,44.2697
2021-04,41.6899,51.1309
2021-05,35.9002,46.9645
2021-06,30.2232,49.5312
2021-07,38.6541,52.4159
2021-08,40.9337,56.1018
2021-09,35.0418,48.0813
2021-10,37.8099,56.0144
2021-11,38.3707,53.5374
2021-12,41.2389,55.8343
2022-01,27.3332,46.4571
2022-02,16.978,38.1483
2022-03,17.3325,42.2675
2022-04,12.4562,34.5494
2022-05,10.5684,36.0289
2022-06,1.39,21.1749
2022-07,8.6816,31.8752
2022-08,7.6763,26.0562
2022-09,-4.8805,14.2993
2022-10,3.4603,23.2183
2022-11,-12.8723,29.7022
2022-12,-16.1902,24.5108
2023-01,-12.1647,29.2932
2023-02,-16.8201,25.9536
2023-03,-16.1937,29.4041
2023-04,-14.9037,31.1074
2023-05,-15.5564,31.3785
2023-06,-7.6949,39.5074
2023-07,-9.3692,43.6112
2023-08,-9.2028,39.288
2023-09,-15.9506,32.2789
2023-10,-19.9839,29.0551
2023-11,-8.9215,40.4823
2023-12,-5.4218,46.4584
2024-01,-5.4275,48.2956
2024-02,7.2503,55.4714
2024-03,10.3261,59.9707
2024-04,6.9328,54.3559
2024-05,9.5554,58.7198
2024-06,12.4221,63.7565
2024-07,8.8273,62.4775
2024-08,18.0525,65.2821
2024-09,19.1654,63.7333
2024-10,12.3301,61.5953
2024-11,12.514,70.4058
2024-12,6.1522,65.7986
2025-01,13.2542,69.6123
2025-02,21.6272,66.3646
2025-03,15.9031,60.3871
2025-04,19.5536,59.1236
2025-05,26.0982,68.5307
2025-06,24.4499,76.5585
2025-07,19.1874,79.9077
2025-08,22.2319,82.9229
2025-09,20.6483,88.6543
2025-10,12.8106,92.3724
2025-11,20.9225,92.0168
2025-12,15.5241,91.3981
2026-01,19.1174,94.3419
