Date,rate_NVO_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-8.3766,-0.6039
2016-03,-0.0702,5.2168
2016-04,2.3806,3.9893
2016-05,2.2373,4.6886
2016-06,-2.3539,4.1237
2016-07,3.5687,7.1795
2016-08,-14.664,6.3603
2016-09,-22.5442,5.6281
2016-10,-31.8121,3.196
2016-11,-32.8953,6.7601
2016-12,-25.4935,8.3626
2017-01,-24.8503,10.2536
2017-02,-24.8682,13.6522
2017-03,-23.9082,12.7005
2017-04,-12.4144,12.9818
2017-05,-3.1785,13.693
2017-06,-1.9162,13.5288
2017-07,-2.9173,15.0481
2017-08,10.2725,14.5515
2017-09,10.9988,16.1037
2017-10,14.1358,17.9557
2017-11,17.9888,20.6805
2017-12,21.4657,21.3029
2018-01,25.6071,28.0338
2018-02,15.7704,22.1441
2018-03,11.7274,18.3021
2018-04,6.121,18.0902
2018-05,7.1673,20.2208
2018-06,3.6826,20.3415
2018-07,11.6782,23.8746
2018-08,10.9845,27.0072
2018-09,6.4474,27.7347
2018-10,-2.652,18.1437
2018-11,5.1231,19.7418
2018-12,3.7523,8.5778
2019-01,5.8913,17.1263
2019-02,9.9414,20.3748
2019-03,18.8939,22.0514
2019-04,10.8959,26.2651
2019-05,6.4994,17.5943
2019-06,14.8835,25.308
2019-07,7.469,26.4355
2019-08,17.6163,23.7232
2019-09,16.6989,26.1617
2019-10,24.2718,28.2707
2019-11,25.7119,32.1761
2019-12,28.9619,35.3247
2020-01,35.5343,35.2749
2020-02,28.734,23.5454
2020-03,34.2632,7.7105
2020-04,40.4685,21.425
2020-05,45.3441,26.7132
2020-06,43.3893,28.4357
2020-07,42.1613,35.3124
2020-08,43.9605,43.9511
2020-09,50.4351,37.6938
2020-10,37.5391,33.4637
2020-11,43.7234,47.2943
2020-12,48.682,51.8455
2021-01,48.15,50.305
2021-02,50.7344,53.4604
2021-03,43.7263,59.4101
2021-04,56.7668,66.6882
2021-05,66.1718,66.6274
2021-06,75.2214,69.2184
2021-07,92.2768,72.1455
2021-08,107.0768,75.992
2021-09,97.1832,66.6118
2021-10,124.4015,77.1553
2021-11,115.7953,74.6519
2021-12,124.3553,81.397
2022-01,98.4129,70.7122
2022-02,102.9684,64.6001
2022-03,119.3127,69.8532
2022-04,123.2875,54.0273
2022-05,114.5267,53.6333
2022-06,114.8935,40.2902
2022-07,122.1495,52.5094
2022-08,102.6611,45.531
2022-09,89.0267,31.5965
2022-10,105.1517,41.7445
2022-11,133.3001,48.9584
2022-12,151.5006,39.838
2023-01,157.8914,48.5632
2023-02,159.9319,44.2258
2023-03,193.2472,48.9578
2023-04,205.3285,50.6836
2023-05,190.7732,50.7741
2023-06,190.9228,59.884
2023-07,187.3324,64.3798
2023-08,230.0471,60.953
2023-09,220.6818,52.6248
2023-10,237.7908,48.7132
2023-11,253.3206,61.6976
2023-12,255.9925,68.3392
2024-01,294.8404,71.0275
2024-02,308.6714,79.0476
2024-03,337.5306,83.99
2024-04,333.5245,75.7344
2024-05,353.2353,83.6813
2024-06,374.2078,89.2836
2024-07,336.9031,90.5002
2024-08,356.3646,94.0822
2024-09,290.7232,98.2932
2024-10,264.528,95.412
2024-11,245.1566,105.8418
2024-12,175.9883,99.9875
2025-01,170.9531,105.351
2025-02,189.0094,101.7087
2025-03,123.4369,89.4719
2025-04,112.7137,87.0451
2025-05,127.6972,97.8575
2025-06,118.5843,107.0685
2025-07,48.285,110.7404
2025-08,79.108,114.0337
2025-09,76.0632,121.6081
2025-10,56.1332,125.7153
2025-11,55.2646,125.0226
2025-12,59.5623,124.0393
2026-01,89.1898,128.5087
