Date,rate_446770_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return,sma60_ta,sma120_ta,sma240_ta,is_uptrend,Wave_Stage,Elliott_Factor,EMA_Max_Divergence,Normalized_Max_Divergence
2022-11-15 00:00:00,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,
2023-01-17 00:00:00,-1.9,-0.97,-0.93,64.8,-16.62,2.65,0.0,,,,,,,,
2023-03-20 00:00:00,15.0,-2.87,17.87,97.84,-2.16,18.43,0.04,,,,,,,,
2023-05-19 00:00:00,28.09,6.29,21.8,99.46,30.7,21.96,0.01,,,,,,,,
2023-08-08 00:00:00,41.23,17.77,23.46,70.22,-6.55,36.6,2.18,,,,,,,,
2023-10-12 00:00:00,38.57,10.65,27.92,80.33,3.34,36.6,0.72,,,,,,,,
2023-12-08 00:00:00,44.25,20.92,23.33,69.92,-9.23,36.6,0.55,,,,,,,,
2024-02-13 00:00:00,86.45,34.03,52.42,100.0,20.53,52.42,0.0,,,,,,,,
2024-04-15 00:00:00,111.04,37.32,73.72,99.28,12.42,74.31,0.05,,,,,,,,
2024-06-17 00:00:00,144.82,53.87,90.95,97.93,12.63,93.03,0.2,,,,,,,,
2024-08-14 00:00:00,119.58,51.32,68.26,68.92,-19.51,102.43,6.37,,,,,,,,
2024-09-27 00:00:00,117.14,62.19,54.95,56.82,-7.72,102.43,8.85,24607.75,24225.96,20824.35,True,wave_5,0.4,102.42999999995952,1.0000000000003952
