Date,rate_AMZN_5D,rate_VOO_20D
2015-01,16.646511428594614,-1.51882910156248
2015-02,17.964758499622356,3.8071257731119967
2015-03,10.612238521456716,0.986964778900168
2015-04,22.946066342067727,1.7466588836670072
2015-05,21.09463294386864,2.445591728210461
2015-06,19.287820541994915,0.0477663748605028
2015-07,44.14772217899563,2.0360472745895475
2015-08,33.17577509588665,-4.43497417958576
2015-09,29.882038212060948,-6.094763901519762
2015-10,55.211388713359845,2.297218595331385
2015-11,59.88809916738671,2.3988573589325046
2015-12,57.66920637868003,0.343465715261626
2016-01,33.72292730328017,-4.526563192640021
2016-02,23.859894270229344,-4.447791700744618
2016-03,31.1282132560313,2.171952146053324
2016-04,43.5724430689251,2.3246863511029447
2016-05,54.42900141909388,3.915388722737645
2016-06,50.06062832282719,4.007253548873124
2016-07,56.358918305993086,7.591781109619156
2016-08,55.69076589350475,7.342793983096185
2016-09,66.68174127182094,7.017408350164267
2016-10,54.48248210063187,4.798178873476777
2016-11,44.65118679700297,8.494419050216685
2016-12,42.74864907594682,10.39033191406251
2017-01,54.90951562934656,11.902437877948469
2017-02,56.81848542356492,15.760155580308698
2017-03,62.334698666521504,15.28381222043722
2017-04,67.09035669821708,15.934820806569071
2017-05,77.15021297488214,16.9947053909302
2017-06,69.96977053520756,17.136483155527426
2017-07,71.24212016065418,18.973701075315464
2017-08,67.81447017515067,18.72021334214644
2017-09,62.55977659972976,20.55443929111258
2017-10,84.82131431788038,22.72430766732354
2017-11,94.2479260267814,25.80144264856976
2017-12,90.53494788753665,26.694798047452384
2018-01,133.344826376275,32.97909041314377
2018-02,139.77742114298164,27.21648050944012
2018-03,126.1364250063062,23.43975369930272
2018-04,141.49627733594613,23.33122656677995
2018-05,147.74210189429922,25.71672129331317
2018-06,154.79697859237365,26.03138928666229
2018-07,162.72023582407562,29.885679240313443
2018-08,193.34011970783868,33.36301359744604
2018-09,187.702639455474,33.39184743018775
2018-10,126.35198574156456,23.63487457632512
2018-11,136.51764793849986,25.430825044949867
2018-12,107.62705698901782,13.86062619547943
2019-01,135.0472886499882,22.54733147857666
2019-02,121.83159030548732,26.049363102632416
2019-03,138.29026642294116,27.93760097356943
2019-04,154.91704067195138,32.513805069545576
2019-05,132.23905581143168,23.552874231691742
2019-06,145.25676050187025,31.707498599243177
2019-07,139.18522790303402,33.027533808844446
2019-08,125.27529774857403,30.28605899663559
2019-09,118.02566425561083,32.317839955560125
2019-10,121.08624082042402,34.65152618330618
2019-11,122.0216345413923,38.90059595769246
2019-12,125.7756023018712,42.37578458016815
2020-01,143.1683007456334,41.621286074730655
2020-02,125.90494755645784,29.54274108014787
2020-03,131.71429790145902,12.971102133750945
2020-04,191.45695480059848,27.26037400148833
2020-05,184.9862928924055,32.88550918775617
2020-06,218.75785777300516,34.81824611208333
2020-07,261.87703356031113,42.17246053213233
2020-08,290.4807573031619,51.4020105859508
2020-09,252.47469689173695,44.999185883985234
2020-10,236.41025820660252,40.68795354483164
2020-11,247.60613374281596,55.41064867856769
2020-12,253.8424070501001,60.41113052044176
2021-01,244.977244260382,57.97927938213865
2021-02,229.5824970015017,61.517319414774605
2021-03,226.6558061390488,68.00671347919263
2021-04,262.72988032913827,75.92916590970522
2021-05,234.06990930474723,76.11243952501738
2021-06,253.40162594783757,79.09257364886322
2021-07,238.7770026400149,82.44036892290121
2021-08,250.26528870745648,86.77091640359384
2021-09,228.62889316061649,77.06185362122699
2021-10,234.5343491336466,88.49487188012917
2021-11,244.9953378134739,86.06097799528216
2021-12,225.28305606712456,93.48972805884873
2022-01,189.4611477729055,82.32638066589004
2022-02,194.9250569779462,75.96183727317025
2022-03,210.70238989401403,81.72837273016849
2022-04,135.11325887037663,64.93004424748798
2022-05,125.95369198070632,64.61973370420668
2022-06,98.41596007291038,50.39307211865438
2022-07,150.69576068410146,63.58333773695905
2022-08,133.97354907378843,56.17968414364067
2022-09,107.27916340593072,41.27471451300764
2022-10,86.86823437070848,52.22624549616766
2022-11,75.31036099927128,60.02453459397954
2022-12,51.877268003645625,50.26395131604695
2023-01,85.77388359132591,59.16942452465759
2023-02,68.93626763496496,54.60522456151791
2023-03,84.43659130787373,59.76583628791809
2023-04,87.44303332569106,61.69379171035314
2023-05,113.388254814938,61.8599979697583
2023-06,129.4803174172235,71.72743943956988
2023-07,134.04186037933368,76.6609679525082
2023-08,140.31374329852605,73.06742396276569
2023-09,120.1327277163065,64.21148106852117
2023-10,129.27055246360726,60.05627225266221
2023-11,150.31233899113428,74.10481073231168
2023-12,158.88904713541874,81.34791581775076
2024-01,162.97272118423206,83.50703936413855
2024-02,197.79554407608185,92.24761298109176
2024-03,202.079301648042,97.68815656450818
2024-04,191.32748635679008,88.93484672944736
2024-05,192.0100256032149,97.60024063331204
2024-06,217.98190817848288,103.75723250128708
2024-07,205.82785889287248,105.20664617584492
2024-08,190.2917201998173,109.20046135907296
2024-09,201.3467530741005,112.81713127918567
2024-10,199.76843292707957,109.8668003943307
2024-11,232.39972289616665,121.24140959962206
2024-12,248.7395038748852,115.09322924130024
2025-01,275.58351831445924,119.90914713981503
2025-02,240.19680854000697,118.31140993053155
